Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1998,24.976999,,,-7.364,,17.612999,,-7.923,,,,,,,9.69,-2.679,,2.703,,0.0,-0.024,7.011,-2.65,4.361,0.286,,,4.074999,0.0,4.075,0.0,,4.075,4.075,,81.500979,0.049999,0.05,0.053333,81.500979,0.05,0.05,0.053333,
06/30/1998,40.264,,,-14.048,,26.216,,-11.404,,,,,,,14.812,-4.391,,4.447,,0.0,-0.056,10.421,-4.033,6.388,0.0,,,6.388,0.0,6.388,0.0,,6.388,6.388,,84.659977,0.076667,0.076667,0.076667,84.659977,0.076667,0.076667,0.076667,
09/30/1998,48.089001,,,-20.521,,27.568001,,-12.219,,,,,,,15.349,-3.539,,3.579,,0.0,-0.04,11.81,-4.5,7.31,0.0,,,7.31,0.0,7.31,0.0,,7.31,7.31,,96.224978,0.076667,0.076667,0.076667,96.224978,0.076667,0.076667,0.076667,
12/31/1998,50.132999,,,-22.118999,,28.014,,-12.427,,,,,,,15.587,-4.112,,4.137,,0.0,-0.025,11.475,-4.213,7.261999,4.125,,,3.137,0.0,3.137,0.0,,3.137,3.137,,96.314975,0.026667,0.076667,0.076667,96.410979,0.026667,0.076667,0.076667,
03/31/1999,67.569,,,-17.139,,50.43,,-23.269,,,,,,,27.161,-12.036,11.948,12.719,-0.771,,0.088,15.125,-5.617,9.508,0.705,,,8.803,,8.803,0.0,0.0,8.803,8.803,,110.315972,0.17,0.173333,0.173333,111.281972,0.166667,0.173333,0.173333,
06/30/1999,84.939,,,-24.712,,60.227,,-27.243,,,,,,,32.984,-12.526,12.579,13.343,-0.764,,-0.053,20.458,-7.275,13.183,,,,13.183,,13.183,0.0,,13.183,13.183,,110.279972,0.223333,0.223333,0.223333,111.251972,0.223333,0.223333,0.223333,
09/30/1999,148.657,,,-44.847,,103.81,,-41.996,,,,,,,61.814,-11.923,11.79,14.536,-2.746,0.0,0.133,49.891,-18.947,30.944,0.0,,,30.944,0.0,30.944,0.0,,30.944,30.944,,220.982945,0.15,0.15,0.15,226.118943,0.146667,0.146667,0.146667,
12/31/1999,150.538,,,-45.286,,105.252,,-49.174,,,,,,,56.078,-14.773,8.547,14.773,-6.226,,6.226,41.305,,25.644,0.0,,,,0.0,25.644,0.0,,25.644,25.644,,215.006546,0.265,0.265,0.265,219.993145,0.265,0.265,0.265,
03/31/2000,135.195,,,-30.375,,104.82,,-46.14,,,,,,,58.68,-30.926,10.011,14.032,-4.021,,20.915,27.754,-17.958,9.796,,,,9.796,,9.796,,,9.796,9.796,,313.541922,0.03,0.03,0.03,320.79192,0.03,0.03,0.03,
06/30/2000,143.442,,,-37.586,,105.856,,-46.32,,,,,,,59.536,-8.634,7.141,10.124,-2.983,0.0,1.493,50.902,-19.782,31.12,4.685,,,26.435,0.0,26.435,0.0,0.0,26.435,26.435,,285.493262,0.09,0.105,0.105,291.683927,0.09,0.105,0.105,
