Date,Assets,Cash & Near Cash Items,Interbanking Assets,Short-Term Investments,Net Loans,Total Loans,Reserve for Losses on Loans,Long-Term Investments,Net Fixed Assets,Other Assets,Customers' Acceptance Liability,Total Assets,Liabilities & Shareholders' Equity,Demand Deposits,Interest Bearing Deposits,Saving Deposits,Time Deposits,Other Deposits,Customer Deposits,ST Borrowings & Repos,Other Short-Term Liabilities,Long-Term Borrowings,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Source: Bloomberg
03/31/1990,,325.694,91.077003,85.75,4714.393066,4774.924805,-60.532001,2220.600098,146.610001,248.235001,38.620998,7870.97998,,915.604004,5311.90918,,5311.90918,0.0,6227.513184,825.919983,159.721996,144.505997,0,0,172.824005,340.494995,513.319,
06/30/1990,,357.656006,168.897995,91.124001,4871.376953,4935.900879,-64.524002,2319.528076,153.970001,284.162994,13.202,8259.917969,,925.906982,5620.312012,,5620.312012,0.0,6546.219238,913.203003,124.261997,150.768005,0,0,173.014999,352.450989,525.465988,
09/30/1990,,349.881012,86.675003,93.110001,5161.637207,5230.404785,-68.767998,2397.586914,166.781006,318.209015,12.5,8586.379883,,932.237,5894.396973,,5894.396973,0.0,6826.633789,941.513,130.224998,150.660004,0,0,173.212997,364.13501,537.348007,
12/31/1990,,403.872009,60.700001,84.125,5460.583024,5531.39502,-70.811996,2449.264893,178.897003,323.869995,44.551998,9005.864258,,1052.610962,6175.365844,824.900024,5350.46582,0.0,7227.977051,920.078979,162.029995,146.205002,0,0,173.231995,376.341003,549.572998,
03/31/1991,,327.73999,104.512001,83.454002,5513.435059,5585.273926,-71.838997,2472.811035,188.410004,330.098999,38.157001,9058.618164,,983.205994,6328.054199,,6328.054199,,7311.259766,876.03302,166.425999,142.106995,0,0,173.557999,389.234009,562.792007,
06/30/1991,,315.841003,67.867996,97.563004,5654.5,5729.555176,-75.055,2544.323975,198.792007,333.791992,28.923,9241.602539,,1000.969971,6347.65918,,6347.65918,,7348.628906,1027.765015,144.363003,142.03125,0,0,174.477005,404.337006,578.814011,
09/30/1991,,411.364014,80.024002,93.888,5811.808105,5891.842773,-80.035004,2985.687988,199.078995,352.385986,38.347,9972.583984,,1081.707031,7191.27002,,7191.27002,,8272.976562,751.916992,175.524002,142.016998,0,0,209.985992,420.162994,630.148987,
12/31/1991,,431.192993,58.598999,105.327003,5884.639229,5965.032227,-80.392998,3104.337891,203.539993,337.454987,33.049999,10158.139648,,1105.646973,7171.553223,2754.600098,4416.953125,,8277.200195,905.539001,175.820003,137.582001,0,0,225.987,436.013,662.0,
03/31/1992,,419.783997,84.221001,187.201996,5924.213867,6006.355957,-82.141998,3144.391113,211.136993,356.324005,36.964001,10364.240234,,1144.772949,7286.452148,,7286.452148,,8431.224609,927.526001,185.863995,139.371002,0,0,227.121002,453.130005,680.251007,
06/30/1992,,556.059021,109.642998,121.333,6416.008789,6506.453125,-90.444,3425.090088,251.447006,374.127014,28.021,11281.730469,,1383.258057,7846.063965,,7846.063965,,9229.322266,953.309998,159.731998,239.347656,0,0,228.082001,471.93399,700.015991,
09/30/1992,,511.971008,100.288002,156.470993,6631.759766,6726.195801,-94.435997,3550.575928,258.201996,363.468994,30.641001,11603.379883,,1386.541016,7860.765137,,7860.765137,,9247.305664,1117.417969,208.129007,239.328003,0,0,299.352997,491.843994,791.196991,
12/31/1992,,540.547974,99.499001,198.759003,7442.849144,7546.619141,-103.769997,3756.224121,269.937012,363.25,43.331001,12714.400391,,1597.753052,8484.488037,3564.699951,4919.788086,,10082.240234,1333.680054,182.480995,255.643005,0,0,342.501007,517.851013,860.35202,
03/31/1993,,463.200989,30.493999,148.664993,8009.509766,8121.471191,-111.960999,4048.481934,297.089996,387.355988,42.938,13427.740234,,1492.484009,9159.417969,,9159.417969,0.0,10651.900391,1259.760986,220.613003,371.834015,0,0,382.261993,541.364014,923.626007,
