Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,92.002998,,,,,,,,,,,,,,,,,,,,,,,,,,,3.804,,,3.804,3.804,,406.218158,0.009364,0.009364,0.009364,406.218158,0.009364,0.009364,0.009364,
03/31/1990,97.578003,,-51.526001,,46.052002,,-40.638,,,,5.414,0.546,,,,0.0,-0.546,5.96,-2.354,,,3.606,0.0,,,3.606,0.0,3.606,0.0,,3.606,3.606,,403.843213,0.008779,0.008779,,403.843213,0.008779,0.008779,0.008779,
06/30/1990,123.843002,,-63.349998,,60.493004,,-40.978001,,,,19.514999,0.641,,,,0.0,-0.641,20.155999,-7.962,,,12.194,0.0,,,12.193999,0.0,12.194,0.0,,12.194,12.194,,403.911552,0.030434,0.030434,,403.911552,0.030434,0.030434,0.030434,
09/30/1990,113.029999,,-59.727001,,53.302998,,-41.617001,,,,11.686,0.669,,,,0.0,-0.669,12.355,-4.88,,,7.475,0.0,,,7.475,0.0,7.475,0.0,,7.475,7.475,,403.997,0.018144,0.018144,,403.997,0.018144,0.018144,0.018144,
12/31/1990,101.945999,,-55.502998,,46.443001,,-40.153,,,,6.29,0.604,,,,0.0,-0.604,6.894,-2.723,,,4.171,0.0,,,4.171,0.0,4.171,0.0,,4.171,4.171,,404.073877,0.010535,0.010535,,404.073877,0.010535,0.010535,0.010535,
03/31/1991,104.630997,,-54.23,,50.400997,,-44.263,,,,6.138,0.51,,,,0.0,-0.51,6.648,-2.626,,,4.022,0.0,,,4.022,0.0,4.022,0.0,,4.022,4.022,,404.253279,0.00995,0.00995,,404.253279,0.00995,0.00995,0.00995,
06/30/1991,135.610001,,-68.588997,,67.021004,,-45.081001,,,,21.940001,0.559,,,,0.0,-0.559,22.499001,-8.887,,,13.612,0.0,,,13.612,0.0,13.612,0.0,,13.612,13.612,,404.441218,0.033946,0.033946,,404.441218,0.033946,0.033946,0.033946,
09/30/1991,124.515999,,-65.07,,59.445999,,-45.719002,,,,13.727,0.541,,,,0.0,-0.541,14.268,-5.636,,,8.632,0.0,,,8.632,0.0,8.632,0.0,,8.632,8.632,,404.56082,0.02107,0.02107,,404.56082,0.02107,0.02107,0.02107,
12/31/1991,110.797997,,-60.105,,50.692997,,-42.568001,,,,8.125,0.524,,,,0.0,-0.524,8.649,-3.416,,,5.233,0.0,,,5.233,0.0,5.233,0.0,,5.233,5.233,,404.680421,0.012876,0.012876,,404.680421,0.012876,0.012876,0.012876,
03/31/1992,117.448997,,-60.708,,56.740997,,-48.716,,,,8.025,0.383,,,,0.0,-0.383,8.408,-3.321,,,5.087,0.0,,,5.087,0.0,5.087,0.0,,5.087,5.087,,404.86836,0.012291,0.012291,,404.86836,0.012291,0.012291,0.012291,
