Date,Assets,Total Investments,Fixed Income-Trading/AFS & ST Inv,Loans & Mortgages,Equity Securities,Real Estate Investments,Other Investments,Cash & Near Cash Items,Net Receivables,Deferred Policy Acquisition Costs,Other Assets,Total Assets,Liabilities & Shareholders' Equity,Life Policy Benefits,Other Insurance Reserves,Total Insurance Reserves,Short-Term Borrowings,Other Short-Term Liabilities,Long-Term Borrowings,Other Long-Term Liabilities,Total Liabilities,Total Preferred Equity,Minority Interest,Share Capital & APIC,Retained Earnings & Other Equity,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2016,,80632,72054,1517,300,215.0,6546,5228,15340,6293,114437,221930,,33372,113043,146415,7390,,1910,51353,207068,,,13597,1265,14862,221930,
03/31/2017,,79293,71836,1512,290,242.0,5413,5812,14327,6500,117256,223188,,33622,115365,148987,7177,,1907,50001,208072,,,13610,1506,15116,223188,
06/30/2017,,81809,75056,1513,278,302.0,4660,4443,14023,6464,117589,224328,,34352,115566,149918,7121,,3016,47808,207863,,50.0,14521,1894,16465,224328,
09/30/2017,,81659,75145,1522,265,407.0,4320,1698,14232,6414,119276,223279,,36035,116857,152892,4569,,3615,48372,209448,,65.0,12419,1347,13831,223279,
12/31/2017,,82338,76045,1523,232,433.0,4105,1857,14126,6286,119585,224192,,36616,118257,154873,4169,,3612,46958,209612,,65.0,12433,2082,14580,224192,
03/31/2018,,81049,74779,1517,160,441.0,4152,1888,14167,6083,115810,218997,,36223,114385,150608,4244,,3609,46863,205324,,65.0,12433,1175,13673,218997,
06/30/2018,,80928,74857,1458,153,449.0,4011,2135,14200,5968,112981,216212,,35816,111587,147403,4265,,3607,47437,202712,,65.0,12445,990,13500,216212,
09/30/2018,,81329,75428,1443,150,444.0,3864,2144,14226,6050,113197,216946,,35748,111736,147484,4043,,3966,48504,203997,,65.0,12470,414,12949,216946,
12/31/2018,,83181,76302,1421,140,451.0,4867,4145,14421,5717,98830,206294,,36209,98256,134465,5057,,3963,48326,191811,,65.0,12474,1944,14483,206294,
03/31/2019,,86240,80150,1385,150,453.0,4102,3864,14817,5680,105829,216430,,78334,108216,186550,3990,19.0,4364,6443,201366,0.0,65.0,12890,2109,15064,216430,
06/30/2019,,89937,83082,1342,153,462.0,4898,3981,14978,5492,106824,221212,,81221,109255,190476,4094,14.0,4365,5922,204871,0.0,65.0,12894,3382,16341,221212,
09/30/2019,,96634,88067,1332,148,458.0,6629,4289,15117,5317,104519,225876,,84765,107007,191772,5291,0.0,4365,6688,208116,0.0,65.0,12898,4797,17760,225876,
12/31/2019,,95782,88747,1292,147,,5596,2877,15444,5448,107708,227259,,85457,110218,195675,4391,0.0,4365,6591,211022,425.0,65.0,12484,3263,16237,227259,
03/31/2020,,104732,91197,1250,122,,12163,8930,15862,4862,89567,223953,,87941,92177,180118,10988,0.0,4365,8043,203514,425.0,65.0,12487,7462,20439,223953,
06/30/2020,,107172,97124,1201,129,,8718,7325,15882,4856,100132,235367,,92179,102751,194930,7876,0.0,3979,7608,214393,828.0,65.0,12480,7601,20974,235367,
