Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2009,5858,0,0,0,1341,1341,0,688,0,680.0,542.0,-534.0,799,48,87.0,598,2828,807,2279.0,-1472.0,57,57,2166,1423,1285,138,695,3030,,3292,1430,0.0,0.0,1862,0,0,0.0,0.0,0,327.0,0,3292,56,0,56.0,56.0,571,0.0,21.0,74.0,149,627,3919,0,2348,,,0.0,0,-444,1904,35,1939,5858,
04/03/2010,5431,0,0,0,1185,1185,0,584,0,,,,726,48,,612,2495,762,,,61,61,2113,1292,1292,0,773,2936,,3039,1171,,,1868,0,0,,,0,,0,3039,0,0,,,607,,,,607,607,3646,0,2124,,,0.0,0,-367,1757,28,1785,5431,
07/03/2010,5623,0,0,0,1281,1281,0,629,0,,,,718,50,,599,2628,743,,,127,127,2125,1292,1292,0,783,2995,,3126,1323,,,1803,0,0,,,0,,0,3126,0,0,,,495,,,,495,495,3621,0,2305,2.969396,2302.030604,0.0,0,-328,1977,25,2002,5623,
10/02/2010,6158,0,0,0,1568,1568,0,854,0,745.0,491.0,-382.0,803,49,71.0,621,3225,737,2349.0,-1612.0,123,123,2073,1491,1323,168,533,2933,,3810,1734,,,2076,0,0,,,0,245.0,0,3810,55,0,55.0,55.0,531,,94.0,,192,586,4396,0,2136,,,0.0,0,-398,1738,24,1762,6158,
12/31/2010,6204,0,0,0,1571,1571,0,843,0,724.0,508.0,-389.0,705,49,103.0,492,3119,806,2425.0,-1619.0,137,137,2142,1601,1396,205,492,3085,,3846,1731,0.0,0.0,2115,0,0,0.0,0.0,0,224.0,0,3846,96,0,96.0,96.0,507,0.0,93.0,78.0,112,603,4449,0,2077,2.945285,2074.054715,0.0,0,-345,1732,23,1755,6204,
04/02/2011,9429,3116,3116,0,1551,1551,0,859,0,691.0,514.0,-346.0,675,58,65.0,496,6201,810,2455.0,-1645.0,143,143,2275,1583,1397,186,634,3228,,3830,1580,,,2250,0,0,,,0,234.0,0,3830,0,0,,,670,,95.0,80.0,261,670,4500,0,5019,3.0,5016.0,0.0,-81,-9,4929,0,4929,9429,
07/02/2011,9556,3026,3026,0,1843,1843,0,744,0,559.0,454.0,-269.0,700,98,71.0,549,6313,806,2484.0,-1678.0,122,122,2315,1599,1423,176,618,3243,,4004,1728,,,2276,0,0,,,0,194.0,0,4004,0,0,,,648,,99.0,79.0,276,648,4652,0,5054,3.0,5051.0,,-137,-13,4904,0,4904,9556,
10/01/2011,9477,3078,3078,0,1774,1774,0,746,0,465.0,504.0,-223.0,752,50,108.0,497,6350,803,2456.0,-1653.0,125,125,2199,1591,1431,160,558,3127,,3942,1708,,,2234,0,0,,,0,178.0,0,3942,0,0,,,587,,95.0,77.0,237,587,4529,0,5220,3.0,5217.0,,-169,-103,4948,0,4948,9477,
12/31/2011,9730,3451,3451,0,1780,1780,0,701,0,455.0,474.0,-228.0,680,93,101.0,484,6612,805,2424.0,-1619.0,119,119,2194,1580,1433,147,521,3118,,4074,1666,0.0,0.0,2408,0,0,0.0,0.0,0,162.0,0,4074,97,0,97.0,97.0,471,0.0,95.0,70.0,144,568,4642,0,5455,3.0,5452.0,,-249,-118,5088,0,5088,9730,
03/31/2012,9392,3065,3065,0,1711,1711,0,569,0,401.0,387.0,-219.0,954,93,141.0,721,6299,801,2433.0,-1632.0,123,123,2169,1571,1434,137,505,3093,,3754,1530,,,2224,0,0,,,0,144.0,0,3754,97,0,97.0,97.0,450,,98.0,64.0,144,547,4301,0,5525,3.0,5522.0,,-335,-99,5091,0,5091,9392,
