Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1999,36.486,26.948,26.948,0.0,5.858,,,0.71,,,,,0.839,,,,34.355,1.925,2.523,-0.598,0.0,,0.206,0.0,0.0,0.0,0.206,2.131,,3.54,3.54,,,,0.0,0.0,0.0,0.0,,,4.041,,,4.041,7.581,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,7.581,0.0,45.750999,0.0,,-16.846001,28.904999,0.0,28.904999,36.485999,
09/30/1999,42.846001,24.797001,24.797001,0.0,10.353,,,0.618,0.198,,0.42,,3.994,,,,39.762001,2.834,3.623,-0.789,0.0,,0.25,,0.0,,0.25,3.084,,2.7,2.7,,,,0.0,0.0,0.0,0.0,,,8.173,,,8.173,10.873,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,10.873,0.0,45.759998,0.0,,-13.787,31.972999,0.0,31.972999,42.845999,
12/31/1999,85.18,59.983002,59.983002,0.0,15.965,15.965,,0.915,0.411,,0.504,0.0,4.22,,,,81.083,3.803,4.934,-1.131,0.0,,0.294,,0.0,,0.294,4.097,,3.51,3.51,,,,0.0,0.0,0.0,0.0,,,11.311,,,11.311,14.821,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,14.821,0.0,79.305,0.0,-5.559,-3.387,70.359,0.0,70.359,85.18,
03/31/2000,94.389,61.224998,61.224998,0.0,21.146999,21.147,,1.566,0.566,,1.0,0.0,4.883,,,,88.820999,5.273,6.914,-1.641,0.0,,0.295,,0.0,,0.295,5.568,,4.792,4.792,,,,0.0,0.0,0.0,0.0,,,14.158001,,,14.158001,18.950001,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,18.950001,0.0,79.556999,0.0,-1.413,-2.705,75.438999,0.0,75.438999,94.389,
06/30/2000,106.125999,56.224998,56.224998,0.0,26.912001,26.912,,1.63,0.775,,0.855,0.0,10.606,,,,95.373001,9.211,11.532,-2.321,0.0,,1.542,,0.0,,1.542,10.753,,4.664,4.664,,,,0.0,0.0,0.0,0.0,,,18.034999,,,18.034999,22.698999,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,22.698999,0.0,83.503998,0.0,2.432,-2.509,83.426998,0.0,83.426998,106.125997,
09/30/2000,122.419998,53.016998,53.016998,0.0,38.237,38.237,,5.231,3.186,,2.045,0.0,4.148,,,,100.633003,13.524,16.622999,-3.099,0.0,,8.263,,0.0,,8.263,21.787,,10.561,10.561,,,,0.0,0.0,0.0,0.0,,,24.174001,,,24.174001,34.735001,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,34.735001,0.0,87.418999,0.0,3.848,-3.582,87.684999,0.0,87.684999,122.42,
12/31/2000,117.384003,36.023,12.151,23.872,28.450001,,,16.625,4.763,,11.862,,8.917,,,,90.014999,18.08,,,0.0,,9.289,,0.0,,9.289,27.368999,,14.006,14.006,,,,0.0,0.0,0.0,0.0,,,23.288999,,,23.288999,37.294998,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,37.294998,0.0,87.313004,0.0,,-7.224,80.089004,0.0,80.089004,117.384002,
03/31/2001,100.082001,30.278999,30.278999,0.0,25.113001,,,8.845,3.515,,8.37,-3.04,8.169,,,,72.405998,17.812,,,0.0,,9.864,,0.0,,9.864,27.676001,,3.905,3.905,,,,0.0,0.0,0.0,0.0,,,23.543,,,23.543,27.448,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,27.448,0.0,87.620003,0.0,,-14.986,72.634003,0.0,72.634003,100.082003,
06/30/2001,134.123001,68.597,68.597,0.0,25.636999,,,4.164,2.21,,5.23,-3.276,9.389,,,,107.787003,16.737,,,0.0,,9.599,,0.0,,9.599,26.335999,,3.722,3.722,,,,0.0,0.0,0.0,0.0,,,23.305001,,,23.305001,27.027,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,0.0,27.027,0.0,123.392998,0.0,,-16.297001,107.095997,0.0,107.095997,134.122997,
09/30/2001,124.663002,69.783001,18.320999,51.462002,22.628,,,2.602,1.347,,3.283,-2.028,6.885,,,,101.898003,15.496,22.943001,-7.447,0.0,,7.269,0.0,0.0,0.0,7.269,22.765,,4.46,4.46,,,,0.0,0.0,0.0,0.0,,,22.547999,,,22.547999,27.007999,0.0,0.0,0.0,0.0,,1.167,,,,,,1.167,1.167,28.174999,0.0,123.392998,0.0,,-26.905001,96.487997,0.0,96.487997,124.662997,
