Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1996,2673.199951,204.800003,204.800003,0.0,520.099976,,,,461.700012,,,,,86.599998,,,,,1273.199951,730.0,,,0.0,670.0,,,,,,670.0,1400.0,,198.800003,198.800003,,,,5.8,,,,,,339.499972,,,,339.499972,544.099976,590.700012,,,,,693.700012,,,693.700012,1284.400024,1828.5,0.0,262.200012,,,0.0,,582.5,844.700012,0.0,844.700012,2673.200012,
12/31/1996,2606.399902,62.5,62.5,0.0,525.299988,,,,518.400024,,,,,93.599998,,,,,1199.800049,731.400024,1579.400024,-848.0,0.0,675.200012,,,,,,675.200012,1406.600037,,241.699997,241.699997,,,,4.5,,,,,,339.599991,,,,339.599991,585.799988,443.399994,,,,,705.700012,,,705.700012,1149.100006,1734.899994,0.0,264.0,,,0.0,,607.5,871.5,0.0,871.5,2606.399994,
03/31/1997,2609.0,84.400002,84.400002,0.0,561.900024,,,,478.0,,,,,75.900002,,,,,1200.199951,714.799988,,,0.0,694.0,,,,,,694.0,1408.799988,,201.600006,201.600006,,,,5.7,,,,,,333.79997,,,,333.79997,541.099976,431.399994,,,,,702.799988,,,702.799988,1134.199982,1675.299958,0.0,292.799988,,,0.0,,640.900024,933.700012,0.0,933.700012,2608.99997,
06/30/1997,2608.7,46.200001,46.200001,0.0,562.0,,,,506.899994,,,,,126.5,,,,,1241.599976,705.900024,1578.900024,-873.0,0.0,661.200012,,,,,,661.200012,1367.100036,,216.300003,216.300003,,,,5.3,,,,,,338.299997,,,,338.299997,559.9,386.0,,,,,705.599976,,,705.599976,1091.599976,1651.499976,0.0,286.600006,,,-21.700001,,692.299977,957.199982,0.0,957.199982,2608.699958,
09/30/1997,2639.300049,32.900002,32.900002,0.0,533.400024,,,,550.400024,,,,,127.0,,,,,1243.699951,701.599976,1596.599976,-895.0,0.0,694.0,,,,,,694.0,1395.599976,,210.5,210.5,,,,3.4,,,,,,334.500024,,,,334.500024,548.400024,409.600006,,,,,717.299988,,,717.299988,1126.899994,1675.300018,0.0,306.0,,,-42.099998,,700.099998,964.0,0.0,964.0,2639.300018,
12/31/1997,2898.2,88.1,53.7,34.4,576.0,576.0,,,697.9,212.8,561.2,145.5,-221.6,82.0,,,,,1444.0,753.8,1708.9,-955.1,0.0,700.4,186.5,186.5,0.0,,,513.9,1454.2,,267.9,267.9,,,,4.7,,,,,,328.8,,,,328.8,601.4,330.4,,,,,721.8,,,721.8,1052.2,1653.6,0.0,483.3,,,-60.2,822.6,-1.1,1244.6,0.0,1244.6,2898.2,
03/31/1998,3006.2,51.4,51.4,0.0,623.3,623.3,,,698.5,197.3,571.2,146.7,-216.7,81.8,,,,,1455.0,778.1,,,0.0,773.1,251.3,251.3,0.0,,,521.8,1551.2,,258.1,258.1,,,,4.1,,,,,,328.0,,,,328.0,590.2,432.9,,,,,727.1,,,727.1,1160.0,1750.2,0.0,469.2,,,-42.0,830.5,-1.7,1256.0,0.0,1256.0,3006.2,
06/30/1998,3037.5,124.200005,89.800003,34.400002,576.5,,,,706.700012,194.699997,356.899994,155.100006,,84.800003,,,,,1492.199951,791.200012,1793.199951,-1002.0,0.0,754.099976,251.300003,,,,,502.799973,1545.299988,,244.699997,244.699997,,,,3.0,,,,,,276.800003,,,,276.800003,524.5,446.0,,,,,765.799988,,,765.799988,1211.799988,1736.299988,0.0,485.899994,,,-34.400002,,849.69999,1301.199982,0.0,1301.199982,3037.49997,
09/30/1998,2985.1,68.4,68.4,0.0,540.9,540.9,,,670.1,180.7,520.8,143.0,-174.4,108.9,,,,,1388.3,806.2,,,0.0,790.6,257.4,257.4,0.0,,,533.2,1596.8,,214.0,214.0,,,,2.4,,,,,,325.0,,,,325.0,541.4,369.6,,,,,735.5,,,735.5,1105.1,1646.5,0.0,486.8,,,-24.0,883.2,-7.4,1338.6,0.0,1338.6,2985.1,
12/31/1998,3175.5,74.8,74.8,,534.7,534.7,,,659.9,196.1,471.6,133.4,-141.2,95.1,,,,,1364.5,1003.6,2022.6,-1019.0,,807.4,256.0,256.0,0.0,,,551.4,1811.0,,227.0,227.0,,,,68.2,,,,,,327.1,,,,327.1,622.3,446.8,,,,,766.5,,,766.5,1213.3,1835.6,,487.1,,,-67.6,923.9,-3.5,1339.9,,1339.9,3175.5,
