Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,EBITDA,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Net Utility Plant,Source: Bloomberg
12/31/1989,43.613998,43.512001,43.512001,,7.690315,1.303594,1.018983,0.49,0.49,0.49,0.49,0.49,0.49,0.245,-0.169516,-0.169516,0.042349,9.08683,,22.327143,
03/31/1990,43.652,43.731998,43.731998,,8.580605,1.831565,1.548569,0.815,0.815,0.815,0.815,0.815,0.815,0.245,2.784666,2.784666,0.030354,9.730871,,22.702672,
06/30/1990,44.074001,43.966,43.966,,3.590979,0.4004,0.118956,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.245,0.848292,0.848292,0.013795,9.409992,,22.84467,
09/30/1990,44.32,44.202,44.202,,3.012262,0.255305,-0.016651,-0.23,-0.23,-0.23,-0.23,-0.23,-0.23,0.245,-0.43317,-0.43317,0.020894,8.96514,,23.308778,
12/31/1990,46.549999,45.105999,45.105999,,6.547599,1.358821,1.062963,0.525,0.525,0.525,0.525,0.525,0.525,0.255,-0.233095,-0.233095,0.024232,9.550849,,22.611214,
03/31/1991,47.085999,46.866001,46.866001,,8.086438,1.668054,1.383668,0.735,0.735,0.735,0.735,0.735,0.735,0.255,1.442666,1.442666,0.056726,10.07,,22.72495,
06/30/1991,47.326,47.208,47.208,,3.374873,0.445581,0.16315,-0.055,-0.055,-0.055,-0.055,-0.055,-0.055,0.255,1.044505,1.044505,0.009487,9.789355,,23.065988,
09/30/1991,47.574001,47.459999,47.459999,,2.743953,0.285756,0.005057,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,0.255,-0.096966,-0.096966,0.016753,9.421449,,23.614285,
12/31/1991,47.812,47.698002,47.698002,,6.293723,1.226404,0.924714,0.44,0.44,0.44,0.44,0.44,0.44,0.255,-0.054698,-0.054698,0.055133,9.645675,,23.868798,
03/31/1992,48.110001,47.976002,47.976002,,8.238994,1.862452,1.562552,0.895,0.895,0.895,0.895,0.895,0.895,0.255,2.572015,2.572015,0.150405,10.324215,,24.086302,
06/30/1992,48.360001,48.240002,48.240002,,3.654478,0.497575,0.198735,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,0.26,1.076368,1.076368,0.070079,10.063172,,24.380003,
09/30/1992,48.599998,48.599998,48.599998,,2.52749,0.249938,-0.058827,-0.155,-0.155,-0.155,-0.155,-0.155,-0.155,0.26,-0.345885,-0.345885,0.024691,9.713992,,24.722901,
12/31/1992,49.0,48.799999,48.799999,,6.846312,1.245902,0.92418,0.435,0.435,0.435,0.435,0.435,0.435,0.26,-0.67418,-1.258197,0.059184,9.873469,,24.789795,
03/31/1993,49.200001,49.0,49.0,,9.146939,1.904082,1.585714,0.895,0.895,0.895,0.895,0.895,0.895,0.26,2.444898,1.855102,0.347561,10.569105,,24.969512,
06/30/1993,49.400002,49.400002,49.400002,,4.002024,0.475708,0.161943,-0.07,-0.07,-0.07,-0.07,-0.07,-0.07,0.26,0.94332,0.421053,0.45749,10.291498,,25.117409,
09/30/1993,49.599998,49.599998,49.599998,,3.030242,0.260081,-0.054435,-0.17,-0.17,-0.17,-0.17,-0.17,-0.17,0.26,-1.080645,-1.909274,0.066532,9.919355,,25.472824,
12/31/1993,50.0,49.799999,49.799999,,7.267068,1.339357,1.038153,0.505,0.505,0.505,0.505,0.505,0.505,0.26,-1.317269,-1.909639,0.086,10.186,,25.562,
03/31/1994,50.200001,50.200001,50.200001,,9.964144,2.025896,1.729084,0.985,0.985,0.985,0.985,0.985,0.985,0.26,4.346613,3.639442,0.159363,10.964143,,25.83267,
06/30/1994,50.599998,50.400002,50.400002,,3.793651,0.444444,0.142857,-0.095,-0.095,-0.095,-0.095,-0.095,-0.095,0.26,0.337302,-0.224206,0.067194,10.620554,,24.990119,
09/30/1994,50.8,50.400002,50.400002,,2.90873,0.204365,-0.075397,-0.225,-0.225,-0.225,-0.225,-0.225,-0.225,0.26,-0.732143,-1.303571,0.064961,10.206693,,25.188976,
12/31/1994,51.200001,51.0,51.0,,6.447059,1.468627,1.160784,0.015,0.015,0.015,0.015,0.015,0.015,0.26,-0.303922,-0.82549,0.082031,9.986328,,25.166015,
03/31/1995,51.400002,51.400002,51.400002,,8.719844,2.064202,1.756809,0.705,0.705,0.705,0.705,0.705,0.705,0.13,4.577821,4.027237,0.70428,10.486381,,25.315173,
06/30/1995,54.799999,52.599998,52.599998,,3.374525,0.585551,0.285171,0.005,0.005,0.005,0.005,0.005,0.005,0.13,0.652091,0.096958,1.430657,10.569343,,23.992702,
09/30/1995,54.900002,54.8,54.8,,1.979927,0.25365,-0.023723,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.13,-0.813869,-1.490876,0.067395,10.151184,,24.346082,
