Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
10/30/2015,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,,0.0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,
01/29/2016,45122.0,6322.0,6322.0,0.0,7802.0,4887.0,2915.0,1619.0,657.0,189.0,773.0,0.0,7830,3.0,4333.0,3305.0,23573.0,1649.0,,,2291.0,114.0,2177.0,17609.0,16983.0,8406.0,8577.0,623.0,21549.0,,17093.0,12881.0,4212.0,2981.0,0,0.0,0.0,,2981.0,5236,4089.0,7.0,1599,25310.0,10650.0,10650.0,0.0,0.0,,7590,0.0,,,,3494.0,18240.0,43550.0,0.0,5727.0,5727.0,,0.0,-3937.0,-218.0,1572.0,0.0,1572.0,45122.0,
04/29/2016,43879.0,6139.0,6139.0,0.0,7930.0,5075.0,2855.0,1655.0,670.0,235.0,750.0,0.0,5040,3.0,1719.0,3286.0,20764.0,1684.0,,,2291.0,101.0,2190.0,19140.0,18460.0,9797.0,8663.0,677.0,23115.0,,16605.0,12412.0,4193.0,2465.0,0,,,,2465.0,4878,4484.0,6.0,331,23948.0,10679.0,10679.0,,,,7520,,,,,3030.0,18199.0,42147.0,0.0,5681.0,5681.0,,,-3883.0,-191.0,1607.0,125.0,1732.0,43879.0,
07/29/2016,68916.0,7226.0,7226.0,0.0,8124.0,5257.0,2867.0,1446.0,503.0,188.0,755.0,0.0,7451,5.0,4125.0,3244.0,24247.0,1562.0,,,2375.0,104.0,2271.0,40732.0,16001.0,8406.0,7595.0,24726.0,44669.0,,17885.0,14050.0,3835.0,2500.0,0,,,,2500.0,5438,4154.0,3.0,1497,25823.0,33836.0,33836.0,,,,6887,,,,,2730.0,40723.0,66546.0,0.0,5682.0,5682.0,,0.0,-3309.0,-129.0,2244.0,126.0,2370.0,68916.0,
10/28/2016,125632.0,10679.0,8822.0,1857.0,11879.0,8830.0,3049.0,3504.0,973.0,789.0,1742.0,0.0,10345,8.0,5904.0,4245.0,36407.0,5805.0,,,6675.0,4285.0,2390.0,76745.0,75411.0,38840.0,36571.0,1326.0,89225.0,,22089.0,14644.0,7445.0,8388.0,0,,,,8388.0,10892,7907.0,1.0,1660,41369.0,47284.0,47284.0,,,,16973,,,,,9065.0,64257.0,105626.0,0.0,19925.0,19925.0,,-175.0,-5366.0,-317.0,14067.0,5939.0,20006.0,125632.0,
02/03/2017,118206.0,11449.0,9474.0,1975.0,12642.0,9420.0,3222.0,2538.0,925.0,503.0,1110.0,0.0,4144,5.0,0.0,3944.0,30773.0,5653.0,,,6453.0,3802.0,2651.0,75327.0,73963.0,38910.0,35053.0,1359.0,87433.0,,21480.0,14422.0,7058.0,6329.0,0,0.0,0.0,,6329.0,10326,8431.0,3.0,0,38135.0,43061.0,43061.0,0.0,0.0,,17770,0.0,,,,9336.0,60831.0,98966.0,0.0,20199.0,20199.0,,-752.0,-5609.0,-364.0,13474.0,5766.0,19240.0,118206.0,
05/05/2017,116040.0,11174.0,9554.0,1620.0,12089.0,8834.0,3255.0,2466.0,872.0,506.0,1088.0,0.0,4655,4.0,,4551.0,30384.0,5438.0,,,6513.0,3772.0,2741.0,73705.0,72213.0,38930.0,33283.0,1488.0,85656.0,,21337.0,15064.0,6273.0,4842.0,0,,,,4842.0,10457,8330.0,6.0,0,36636.0,44948.0,44948.0,,,,16765,,,,,8429.0,61713.0,98349.0,0.0,20057.0,7.72,20049.28,-1113.0,-6859.0,-252.0,11833.0,5858.0,17691.0,116040.0,
08/04/2017,117494.0,11228.0,9213.0,2015.0,13189.0,9716.0,3473.0,2594.0,926.0,538.0,1130.0,0.0,5194,9.0,0.0,5078.0,32205.0,5400.0,,,7221.0,4022.0,3199.0,72668.0,70987.0,39407.0,31580.0,1672.0,85289.0,,23534.0,16916.0,6618.0,7686.0,0,,,,7686.0,10906,8878.0,0.0,0,42126.0,41374.0,41374.0,,,,16725,,,,,7847.0,58099.0,100225.0,0.0,20095.0,20095.0,,-1136.0,-7805.0,126.0,11280.0,5989.0,17269.0,117494.0,
11/03/2017,118394.0,13714.0,11706.0,2008.0,12832.0,9189.0,3643.0,2582.0,787.0,607.0,1188.0,0.0,5397,6.0,,5312.0,34525.0,5378.0,,,7590.0,4273.0,3317.0,70901.0,69176.0,39330.0,29846.0,1719.0,83869.0,,23584.0,16711.0,6873.0,6235.0,0,,,,6235.0,10923,9161.0,2.0,0,40742.0,45416.0,45416.0,,,,16648,,,,,7485.0,62064.0,102806.0,0.0,19927.0,19927.0,,-1440.0,-8742.0,136.0,9881.0,5707.0,15588.0,118394.0,
02/02/2018,124193.0,16129.0,13942.0,2187.0,15640.0,11721.0,3919.0,2678.0,967.0,514.0,1197.0,0.0,5881,14.0,,5812.0,40328.0,5390.0,,,7887.0,4163.0,3724.0,70588.0,68185.0,39920.0,28265.0,2389.0,83865.0,,26177.0,18334.0,7843.0,7873.0,0,0.0,0.0,,7873.0,11789,9210.0,1.0,0,45839.0,43998.0,43998.0,0.0,0.0,,16487,0.0,0.0,0.0,0.0,7276.0,60485.0,106324.0,0.0,19889.0,19889.0,,-1440.0,-6860.0,514.0,12103.0,5766.0,17869.0,124193.0,
