Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,59.122002,16.214,16.112,0.102,12.4,,,,1.264,,,,,2.273,,,,,,,32.151001,22.483999,43.060001,-20.576,,,4.487,,,,4.487,26.970999,,0.843,0.843,,,,0.029,,,,,,4.419,,,4.419,5.291,0.067,,,,,1.313,,,,,,1.313,1.38,6.671,,10.287,,,-0.411,,42.575001,52.451001,,52.451001,59.122001,
06/30/1990,67.389999,9.225,9.133,0.092,17.919001,,,,1.341,,,,,3.179,,,,,,,31.664,29.972,51.305,-21.333,,,5.754,,,,5.754,35.726,,1.1,1.1,,,,3.768,,,,,,4.167,,,4.167,9.035,2.485,,,,,1.5,,,,,,1.5,3.985,13.02,,10.287,,,-0.411,,44.494,54.37,,54.37,67.39,
09/30/1990,78.024002,9.613,9.521,0.092,18.472,,,,1.092,,,,,2.914,,,,,,,32.091,38.375999,61.185001,-22.809,,,7.557,,,,7.557,45.933,,0.992,0.992,,,,0.785,,,,,,6.004,,,6.004,7.781,12.285,,,,,1.399,,,,,,1.399,13.684,21.465,,10.287,,,-0.411,,46.682999,56.558999,,56.558999,78.023999,
12/31/1990,91.111,7.286,7.208,0.078,22.749001,,,,1.374,,,,,2.512,,,,,,,33.921001,48.026001,71.567001,-23.541,,,9.164,,,,9.164,57.190001,,2.416,2.416,,,,1.702,,,,,,7.195,,,7.195,11.313,19.684,,,,,0.843,,,,,,0.843,20.527,31.84,,10.287,,,-0.411,,49.395001,59.271001,,59.271001,91.111001,
03/31/1991,92.200996,2.884,2.806,0.078,24.167,,,,1.545,,,,,2.335,,,,,,,30.931,50.762001,76.335999,-25.573999,,,10.508,,,,10.508,61.270001,,3.353,3.353,,,,1.723,,,,,,5.839,,,5.839,10.915,19.238001,,,,,0.943,,,,,,0.943,20.181001,31.096001,,10.287,,,-0.476,,51.294001,61.105,,61.105,92.201001,
06/30/1991,97.112,4.909,4.846,0.063,24.618999,,,,1.602,,,,,2.595,,,,,,,33.724998,52.076,79.596001,-27.52,,,11.311,,,,11.311,63.387,,2.84,2.84,,,,1.744,,,,,,5.901,,,5.901,10.485,20.516001,,,,,2.625,,,,,,2.625,23.141001,33.626,,10.287,,,-0.476,,53.675001,63.486001,,63.486001,97.112001,
09/30/1991,101.114998,5.198,5.198,,27.393,,,,1.711,,,,,2.629,,,,,,,36.931,52.087002,80.545998,-28.459,,,12.097,,,,12.097,64.184002,,2.362,2.362,,,,1.756,,,,,,8.389,,,8.389,12.507,19.834999,,,,,2.478,,,,,,2.478,22.312999,34.819999,,10.287,,,-0.476,,56.483999,66.294999,,66.294999,101.114998,
12/31/1991,107.002998,10.421,10.421,,27.636,,,,1.672,,,,,2.563,,,,,,,42.292,51.880001,82.175003,-30.295,,,12.831,,,,12.831,64.711001,,1.941,1.941,,,,1.777,,,,,,8.57,,,8.57,12.288,19.389999,,,,,5.214,,,,,,5.214,24.604,36.892,,10.287,,,-0.476,,60.300001,70.111001,,70.111001,107.003001,
03/31/1992,106.858002,9.918,9.918,,27.309,,,,1.665,,,,,2.294,,,,,,,41.186001,51.618999,83.875999,-32.257,,,14.053,,,,14.053,65.672,,2.208,2.208,,,,1.793,,,,,,6.501,,,6.501,10.502,17.93,,,,,5.956,,,,,,5.956,23.886,34.388,,12.088,,,-0.476,,60.858,72.47,,72.47,106.858,
06/30/1992,109.176003,12.334,12.334,,26.01,,,,1.447,,,,,2.685,,,,,,,42.476002,50.731998,85.272003,-34.540001,,,15.968,,,,15.968,66.699999,,2.624,2.624,,,,1.809,,,,,,5.103,,,5.103,9.536,17.469999,,,,,6.711,,,,,,6.711,24.180999,33.717,,12.088,,,-0.476,,63.846998,75.458999,,75.458999,109.175998,
09/30/1992,116.626099,17.808533,17.808533,,24.101097,,,,1.305286,,,,,3.20344,,,,,,,46.418358,50.25634,87.392754,-37.136414,,,19.951405,,,,19.951405,70.207745,,3.732481,3.732481,,,,1.978881,,,,,,6.826676,,,6.826676,12.538038,15.310158,,,,,7.530144,,,,,,7.530144,22.840302,35.37834,,15.671239,,,-0.476,,66.05234,81.247579,,81.247579,116.625919,
