Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
01/31/1990,10202,794,773,21.0,2459,,,,2021,,,,,444,,,,,,,5718,2946,5086.0,-2140.0,0.0,,,1538.0,,,,,1538.0,4484,,1378,1378,,,,1444,,,,,,1006,,,1006,3828,338,,,,,402,,,,402,740,4568,0.0,524.0,,,,,5110,5634,0.0,5634,10202,
04/30/1990,10499,953,934,19.0,2514,,,,2042,,,,,482,,,,,,,5991,3013,5233.0,-2220.0,0.0,,,1495.0,,,,,1495.0,4508,,1381,1381,,,,1455,,,,,,1023,,,1023,3859,336,,,,,404,,,,404,740,4599,0.0,604.0,,,,,5296,5900,0.0,5900,10499,
07/31/1990,10794,1007,951,56.0,2576,,,,2119,,,,,491,,,,,,,6193,3074,5372.0,-2298.0,0.0,,,1527.0,,,,,1527.0,4601,,1444,1444,,,,1623,,,,,,987,,,987,4054,235,,,,,416,,,,416,651,4705,0.0,666.0,,,,,5423,6089,0.0,6089,10794,
10/31/1990,11395,1077,1077,0.0,2883,,,,2092,,,,,458,,,,,,,6510,3201,5565.0,-2364.0,0.0,,,1684.0,,,,,1684.0,4885,,660,660,,,,1896,,,,,,1887,,,1887,4443,139,,,,,450,,,,450,589,5032,0.0,739.0,,,,,5624,6363,0.0,6363,11395,
01/31/1991,11126,766,766,,2806,,,,2077,,,,,433,,,,,,,6082,3197,5563.0,-2366.0,0.0,,,1847.0,,,,,1847.0,5044,,1478,1478,,,,1378,,,,,,1069,,,1069,3925,143,,,,,464,,,,464,607,4532,0.0,821.0,,,,,5773,6594,0.0,6594,11126,
05/01/1991,11503,1024,1024,,2877,,,,2116,,,,,452,,,,,,,6469,3226,5679.0,-2453.0,0.0,,,1808.0,,,,,1808.0,5034,,1564,1564,,,,1173,,,,,,1179,,,1179,3916,192,,,,,468,,,,468,660,4576,0.0,922.0,,,,,6005,6927,0.0,6927,11503,
07/31/1991,11523,770,770,,2694,,,,2288,,,,,701,,,,,,,6453,3254,5802.0,-2548.0,0.0,,,1816.0,,,,,1816.0,5070,,1502,1502,,,,1121,,,,,,1090,,,1090,3713,190,,,,,484,,,,484,674,4387,0.0,1002.0,,,,,6134,7136,0.0,7136,11523,
10/31/1991,11973,1120,625,495.0,2976,,,,2273,,,,,347,,,,,,,6716,3345,5961.0,-2616.0,0.0,,,1912.0,,,,,1912.0,5257,,686,686,,,,1201,,,,,,2176,,,2176,4063,188,,,,,453,,,,453,641,4704,0.0,1010.0,,,,,6259,7269,0.0,7269,11973,
01/31/1992,12276,973,944,29.0,3044,,,,2410,,,,,435,,,,,,,6862,3374,6142.0,-2768.0,0.0,,,2040.0,,,,,2040.0,5414,,1826,1826,,,,855,,,,,,1229,,,1229,3910,338,,,,,446,,,,446,784,4694,0.0,1099.0,,,,,6483,7582,0.0,7582,12276,
04/30/1992,12555,1152,896,256.0,3070,,,,2386,,,,,452,,,,,,,7060,3453,6217.0,-2764.0,0.0,,,2042.0,,,,,2042.0,5495,,1749,1749,,,,679,,,,,,1455,,,1455,3883,424,,,,,460,,,,460,884,4767,0.0,979.0,,,,,6809,7788,0.0,7788,12555,
