Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1989,572.421021,,-452.932007,,119.489014,,-68.302002,,,51.187,-14.593,,15.443,,-0.85,36.594,-14.685,21.909,-1.452,,,23.361,0.0,23.361,0.0,,23.361,23.361,,164.84512,0.142222,0.133333,,164.84512,0.142222,0.133333,0.133333,
12/31/1989,594.590027,,-468.191986,,126.398041,,-70.156998,,,56.241001,-14.51,,15.719,,-1.209,41.731001,-16.290001,25.441,0.42,,,25.021,0.0,25.021,0.0,,25.021,25.021,,164.936246,0.151111,0.154074,,164.936246,0.151111,0.154074,0.154074,
03/31/1990,636.463013,,-502.273987,,134.189026,,-70.607002,,,63.582001,-14.195,,14.657,,-0.462,49.387001,-19.673,29.714001,0.0,,,29.714001,0.0,29.714001,0.0,,29.714001,29.714001,,164.997002,0.180741,0.180741,,164.997002,0.180741,0.180741,0.180741,
06/30/1990,649.093994,,-503.721008,,145.372986,,-73.745003,,,71.627998,-16.066,,16.32,,-0.254,55.561998,-22.179001,33.382999,0.0,,,33.382997,0.0,33.382999,0.0,,33.382999,33.382999,,165.067875,0.201481,0.201481,0.201481,165.067875,0.201481,0.201481,0.201481,
09/30/1990,615.591003,,-489.816986,,125.774017,,-71.235001,,,54.539001,-14.201,,15.11,,-0.909,40.338002,-16.436001,23.902,0.0,,,23.902001,0.0,23.902,0.0,,23.902,23.902,,164.743874,0.145185,0.145185,,164.743874,0.145185,0.145185,0.145185,
12/31/1990,616.799011,,-494.898987,,121.900024,,-74.761002,,,47.139,-14.194,,15.269,,-1.075,32.945,-13.837,19.108,0.0,,,19.108,0.0,19.108,0.0,,19.108,19.108,,162.772875,0.118519,0.118519,,162.772875,0.118519,0.118519,0.118519,
03/31/1991,603.747009,,-489.730988,,114.016022,,-71.453003,,,42.563,-14.667,,15.16,,-0.493,27.896,-14.089,13.807,0.0,,,13.807,0.0,13.807,0.0,,13.807,13.807,,162.026998,0.085926,0.085926,,162.026998,0.085926,0.085926,0.085926,
06/30/1991,604.677979,,-502.93399,,101.743989,,-72.085999,,,29.658001,-27.369,,13.83,,13.539,2.289001,0.062,2.351,0.0,,,2.351001,0.0,2.351,0.0,,2.351,2.351,,162.487691,0.014815,0.014815,0.014815,162.487691,0.014815,0.014815,0.014815,
09/30/1991,573.663025,,-466.532013,,107.131012,,-68.331001,,,38.799999,-13.034,,13.807,,-0.773,25.765999,-10.463,15.303,52.261002,,,-36.958003,0.0,-36.958,0.0,,-36.958,-36.958,,162.705374,-0.228148,0.094815,,162.705374,-0.228148,0.094815,0.094815,
12/31/1991,571.518982,,-470.614014,,100.904968,,-69.906998,,,30.997999,-12.29,,12.937,,-0.647,18.707999,-6.719,11.989,0.0,,,11.988999,0.0,11.989,0.0,,11.989,11.989,,162.782995,0.074074,0.074074,,162.782995,0.074074,0.074074,0.074074,
03/31/1992,606.106995,,-493.75,,112.356995,,-71.399002,,,40.958,-13.473,,13.273,,0.2,27.485,-11.519,15.966,0.0,,,15.966,0.0,15.966,0.0,,15.966,15.966,,163.029376,0.097778,0.097778,,163.029376,0.097778,0.097778,0.097778,
06/30/1992,624.518982,,-494.903992,,129.61499,,-73.223999,,,56.390999,-22.959,,12.173,,10.786,33.431999,-13.211,20.221001,0.0,,,20.220999,0.0,20.221001,0.0,,20.221001,20.221001,,162.997319,0.124444,0.124444,0.124444,162.997319,0.124444,0.124444,0.124444,
09/30/1992,608.174011,,-493.71701,,114.457001,,-77.473999,,,36.983002,-10.708,,11.395,,-0.687,26.275001,-10.247,16.028,0.0,,,16.028001,0.0,16.028,0.0,,16.028,16.028,,163.390496,0.097778,0.097778,,163.390496,0.097778,0.097778,0.097778,
12/31/1992,588.676025,,-475.859985,,112.81604,,-75.009003,,,37.806999,-13.747,,11.837,,1.91,24.059999,-9.384,14.676,0.0,,,14.676,0.0,14.676,0.0,,14.676,14.676,,163.447878,0.088889,0.088889,,163.447878,0.088889,0.088889,0.088889,
03/31/1993,607.224976,,-492.619995,,114.60498,,-73.785004,,,40.82,-15.345,,11.598,,3.747,25.475,-10.541,14.934,0.0,,,14.934,0.0,14.934,0.0,,14.934,14.934,,163.639439,0.091852,0.091852,,163.639439,0.091852,0.091852,0.091852,
06/30/1993,685.247986,,-542.757996,,142.48999,,-84.497002,,,57.993,-25.737,,12.226,,13.511,32.256,-12.838,19.417999,0.0,,,19.418,0.0,19.417999,0.0,,19.417999,19.417999,,163.618313,0.118519,0.118519,0.118519,163.618313,0.118519,0.118519,0.118519,
09/30/1993,607.411011,,-494.053986,,113.357025,,-72.769997,,,40.587002,-11.323,,11.611,,-0.288,29.264002,-13.199,16.065001,0.0,,,16.065001,0.0,16.065001,0.0,,16.065001,16.065001,,164.079648,0.097778,0.097778,,164.079648,0.097778,0.097778,0.097778,
12/31/1993,592.226013,,-485.144989,,107.081024,,-70.07,,,37.011002,-14.028,,10.206,,3.822,22.983001,-8.922,14.061,4.207,,,9.854002,0.0,9.854,0.0,,9.854,9.854,,164.26463,0.059259,0.085926,,164.26463,0.059259,0.085926,0.085926,
03/31/1994,677.353027,,-537.963989,,139.389038,,-78.417,,,60.972,-71.185001,,7.791,,63.394001,-10.213001,-8.87,-19.083,0.0,,,-19.083001,0.0,-19.083,0.0,,-19.083,-19.083,,164.591323,-0.115556,-0.115556,,164.591323,-0.115556,-0.115556,-0.115556,
06/30/1994,699.346985,,-536.213013,,163.133972,,-81.411003,,,81.723,-11.308,,8.224,,3.084,70.415,-29.283001,41.132,0.316,,,40.815999,0.0,40.816002,0.0,,40.816002,40.816002,,165.030747,0.248889,0.248889,0.248889,165.030747,0.248889,0.248889,0.248889,
09/30/1994,712.45697,,-550.526978,,161.929992,,-81.535004,,,80.394997,-7.036,,7.224,,-0.188,73.358997,-29.709999,43.648998,0.0,,,43.648998,0.0,43.648998,0.0,,43.648998,43.648998,,165.266997,0.263704,0.263704,,165.266997,0.263704,0.263704,0.263704,
