Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2007,41.753,,-22.422,,19.331,,-8.279,,,,,,11.052,0.44,-0.396,,,,,-0.044,11.492,-4.507,6.985,0.0,,,6.985,-0.372,6.613,0.0,0.0,6.613,6.613,,42.909,0.15,0.15,0.15,45.602,0.15,0.15,0.15,
06/30/2007,43.952,,-23.633,,20.319,,-10.213,,,,,,10.106,0.109,-0.117,,,,,0.008,10.215,-3.611,6.604,0.0,,,6.604,-0.216,6.388,0.0,0.0,6.388,6.388,,42.974,0.15,0.15,0.15,45.631,0.14,0.14,0.14,
09/30/2007,47.905,,-26.2,,21.705,,-8.891,,,,,,12.814,0.507,-0.198,0.0,,0.0,,-0.309,13.321,-3.505,9.816,0.0,,,9.816,-1.259,8.557,0.0,0.0,8.557,8.557,,43.362,0.2,0.2,0.2,45.731,0.19,0.19,0.19,
12/31/2007,55.067,,-31.44,,23.627,,-11.275,,,,,,12.352,0.23,0.037,,,0.0,,-0.267,12.582,-3.899,8.683,0.0,,,8.683,-0.346,8.337,0.0,0.0,8.337,8.337,,43.82,0.19,0.19,0.19,46.021,0.18,0.18,0.18,
03/31/2008,52.876,,-28.476,,24.4,,-11.86,,,,,,12.54,-0.048,0.095,,,,,-0.047,12.492,-3.997,8.495,0.0,,,8.495,-0.346,8.149,0.0,0.0,8.149,8.149,,44.095,0.18,0.18,0.18,46.041,0.18,0.18,0.18,
06/30/2008,55.994,,-29.047,,26.947,,-14.174,,,,,,12.773,0.306,0.183,,,0.3,,-0.789,13.079,-4.058,9.021,0.0,,,9.021,-0.469,8.552,0.0,0.0,8.552,8.552,,44.355,0.19,0.19,0.19,46.132,0.19,0.19,0.19,
09/30/2008,62.012,,-32.59,,29.422,,-12.333,8.203,3.735,,,4.13,17.089,-0.297,0.194,,,0.0,,0.103,16.792,-5.31,11.482,0.0,,,11.482,-0.589,10.893,0.0,0.0,10.893,10.893,0.0,44.685,0.24,0.24,0.24,46.375,0.23,0.23,0.23,
12/31/2008,58.194,,-31.663,,26.531,,-11.737,7.384,3.315,,,4.353,14.794,-0.593,0.305,,,0.0,,0.288,14.201,-4.746,9.455,0.0,,,9.455,-0.395,9.06,0.0,0.0,9.06,9.06,0.0,44.886,0.2,0.2,0.2,46.337,0.2,0.2,0.2,
03/31/2009,45.408,45.408,-29.547,29.547,15.861,0.0,-13.836,8.179,3.189,4.99,4.142,1.515,2.025,-0.538,,0.39,,,,0.148,1.487,-0.461,1.026,0.0,0.0,0.0,1.026,0.245,1.271,0.0,0.0,1.271,1.271,0.0,45.094,0.03,0.03,0.03,46.152,0.03,0.03,0.03,
06/30/2009,40.385,40.385,-28.613,28.613,11.772,0.0,-13.058,8.824,3.88,4.944,4.734,-0.5,-1.286,-0.403,,0.367,,,,0.036,-1.689,0.524,-1.165,0.0,0.0,0.0,-1.165,-0.064,-1.229,0.0,0.0,-1.229,-1.229,0.0,45.431,-0.03,-0.03,-0.03,45.431,-0.03,-0.03,-0.03,
09/30/2009,45.808,45.808,-29.085,29.085,16.723,0.0,-13.075,8.546,3.788,4.758,4.569,-0.04,3.648,-0.341,0.266,,,,,0.075,3.307,-1.041,2.266,0.0,0.0,0.0,2.266,-0.011,2.255,0.0,0.0,2.255,2.255,0.0,45.573,0.05,0.05,0.05,46.695,0.05,0.05,0.05,
12/31/2009,54.293,54.293,-34.381,34.381,19.912,0.0,-15.242,10.097,4.3,5.797,5.098,0.047,4.67,-0.006,0.229,,,,,-0.223,4.664,-1.507,3.157,0.0,0.0,0.0,3.157,-0.035,3.122,0.0,0.0,3.122,3.122,0.0,45.849,0.07,0.07,0.07,47.006,0.07,0.07,0.07,
03/31/2010,51.204,51.204,-30.657,30.657,20.547,0.0,-15.216,11.166,4.338,6.828,4.158,-0.108,5.331,-0.274,,0.208,,,,0.066,5.057,-1.633,3.424,0.0,0.0,0.0,3.424,-0.027,3.397,0.0,0.0,3.397,3.397,0.0,46.098,0.07,0.07,0.07,47.191,0.07,0.07,0.07,
06/30/2010,67.258,67.258,-36.797,36.797,30.461,0.0,-14.75,12.316,4.932,7.384,4.729,-2.295,15.711,-0.217,,0.191,,,,0.026,15.494,-5.149,10.345,0.0,0.0,0.0,10.345,-0.039,10.306,0.0,0.0,10.306,10.306,0.0,46.22,0.22,0.22,0.22,47.333,0.22,0.22,0.22,
09/30/2010,79.809,79.809,-39.878,39.878,39.931,0.0,-19.386,12.327,4.527,7.8,4.981,2.078,20.545,-0.672,0.35,,,,,0.322,19.873,-6.558,13.315,0.0,0.0,0.0,13.315,-0.089,13.226,0.0,0.0,13.226,13.226,0.0,46.533,0.28,0.28,0.28,47.7,0.28,0.28,0.28,
12/31/2010,100.985,100.985,-45.466,45.466,55.519,0.0,-16.705,11.936,5.303,6.633,5.292,-0.523,38.814,0.014,0.439,0.439,0.0,,,-0.453,38.828,-11.56,27.268,0.0,0.0,0.0,27.268,-0.206,27.062,0.0,0.0,27.062,27.062,0.0,46.835,0.58,0.58,0.58,48.141,0.56,0.56,0.56,
