Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/2000,,,,,,,,,,,,,,,,,,,,,,128927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/2001,211991.0,1268.0,1268.0,0.0,4957.0,,,1857.0,1897.0,,,,,9979.0,11514.0,,,11564.0,,178934.0,138737.0,127907,10830.0,,,40197.0,202012.0,,1855.0,1855.0,,,,17.0,,,,,10805.0,,,10805.0,12677.0,20176.0,,,,19138.0,,,,,19138.0,39314.0,51991.0,0.0,156061.0,,,0.0,,464.0,156525.0,3475.0,160000.0,211991.0,
06/30/2001,210822.0,1357.0,1357.0,0.0,5106.0,5106.0,,1644.0,1987.0,,,,,10094.0,11973.0,,,11313.0,,177442.0,167939.0,126618,41321.0,,,9503.0,200728.0,,1976.0,1976.0,,,,20.0,,,,,10047.0,,,10047.0,12043.0,20457.0,,,,18754.0,,,,,18754.0,39211.0,51254.0,0.0,156415.0,,,0.0,-376.0,48.0,156087.0,3481.0,159568.0,210822.0,
09/30/2001,209204.0,1505.0,1505.0,0.0,5359.0,,,1691.0,1844.0,,,,,10399.0,12263.0,,,9142.0,,177400.0,137592.0,126942,10650.0,,,39808.0,198805.0,,2022.0,2022.0,,,,24.0,,,,,10477.0,,,10477.0,12523.0,20725.0,,,,18153.0,,,,,18153.0,38878.0,51401.0,0.0,155642.0,,,0.0,,-1380.0,154262.0,3541.0,157803.0,209204.0,
12/31/2001,208559.0,719.0,719.0,0.0,6054.0,,,1791.0,1710.0,,,,,10274.0,12684.0,16402.0,-3718.0,6886.0,,178715.0,169058.0,128338,40720.0,,,9657.0,198285.0,,2257.0,2257.0,,,,48.0,,,,,10667.0,,,10667.0,12972.0,22792.0,,,,17133.0,,,,,17133.0,39925.0,52897.0,2.0,155214.0,,,0.0,-3238.0,93.0,152071.0,3591.0,155662.0,208559.0,
03/31/2002,160357.0,857.0,857.0,0.0,4904.0,,,1900.0,1875.0,,,,,9536.0,12850.0,,,6178.0,,131793.0,125325.0,80178,45147.0,,,6468.0,150821.0,,2105.0,2105.0,,,,102.0,,,,,10332.0,,,10332.0,12539.0,28380.0,,,,17064.0,,,,,17064.0,45444.0,57983.0,0.0,155380.0,,,0.0,,-57413.0,97967.0,4407.0,102374.0,160357.0,
06/30/2002,160120.0,1709.0,1709.0,0.0,5012.0,,,1668.0,1782.0,,,,,10201.0,13199.0,,,5475.0,,131245.0,125245.0,80178,45067.0,,,6000.0,149919.0,,2144.0,2144.0,,,,87.0,,,,,10646.0,,,10646.0,12877.0,27935.0,,,,16440.0,,,,,16440.0,44375.0,57252.0,2.0,155093.0,,,0.0,-57086.0,-339.0,97670.0,5198.0,102868.0,160120.0,
09/30/2002,160888.0,2349.0,2349.0,0.0,4858.0,,,1731.0,1876.0,,,,,10814.0,11763.0,,,5002.0,,133309.0,127150.0,81688,45462.0,,,6159.0,150074.0,,1918.0,1918.0,,,,89.0,,,,,10995.0,,,10995.0,13002.0,28244.0,,,,16707.0,,,,,16707.0,44951.0,57953.0,2.0,155135.0,,,0.0,,-57119.0,98018.0,4917.0,102935.0,160888.0,
12/31/2002,115518.0,1730.0,1730.0,0.0,4846.0,,,1376.0,2883.0,,,,,10835.0,11534.0,15819.0,-4285.0,5094.0,,88055.0,81192.0,36986,44206.0,,,6863.0,104683.0,,2244.0,2244.0,,,,155.0,,,,,11065.0,,,11065.0,13464.0,27354.0,,,,16845.0,,,,,16845.0,44199.0,57663.0,0.0,155179.0,,,0.0,-101934.0,-428.0,52817.0,5038.0,57855.0,115518.0,
03/31/2003,121208.0,3687.0,3687.0,0.0,4267.0,,,2202.0,1998.0,,,,,12154.0,12086.0,,,4283.0,,92685.0,87096.0,39838,47258.0,,,5589.0,109054.0,,1897.0,1897.0,,,,519.0,,,,,10670.0,,,10670.0,13086.0,30940.0,,,,17803.0,,,,,17803.0,48743.0,61829.0,2.0,155269.0,,,0.0,,-102015.0,53256.0,6123.0,59379.0,121208.0,
