Date,Market Capitalization,Cash & Equivalents,Preferred Equity,Minority Interest,Total Debt,Enterprise Value,Total Capital,Total Debt/Total Capital,Total Debt/EV,EV/Market Cap,EV/EBITDA,EV/EBIT,EV/Book Value,Diluted Market Cap,Diluted Enterprise Value,EV per Share,Trailing 12 Month Values for Ratios,Source: Bloomberg
03/31/1998,,-59.921001,0.0,0.6,307.099989,,286.93099,107.029216,,,,,,,,,,
06/30/1998,1597.345463,-132.910004,0.0,0.36,333.474006,1798.269465,377.769005,88.274581,0.185442,1.125786,,,40.930226,1602.784519,1803.708521,13.884696,,
09/30/1998,1240.476279,-168.035004,0.0,0.476,355.458991,1428.376267,420.725992,84.487053,0.248855,1.151474,,,22.045905,1260.615621,1448.515608,11.03496,,
12/31/1998,1558.677461,-185.580994,0.0,0.671,371.787004,1745.554472,461.164004,80.619259,0.212991,1.119895,7.329181,11.2759,19.677975,1588.366299,1775.243309,13.499408,,
03/31/1999,1562.033476,-179.311005,0.0,0.635,391.411007,1774.768479,499.326006,78.387867,0.220542,1.136191,6.96441,10.731847,16.543331,1592.843106,1805.578108,13.776317,,
06/30/1999,1511.646907,-156.257004,0.0,0.326,400.796998,1756.512901,524.998002,76.342576,0.228178,1.161986,6.544117,9.946054,14.17972,1559.558004,1804.423999,13.734721,,
09/30/1999,1428.472515,-146.975006,0.0,0.453,408.353001,1690.30351,518.883001,78.698474,0.241586,1.183294,5.990882,8.988729,15.355647,1477.324471,1739.155466,13.568234,,
12/31/1999,1639.520295,-171.490005,0.0,0.596,417.557013,1886.183302,536.965013,77.762424,0.221377,1.150448,6.280202,9.332921,15.87536,1687.336425,1933.999432,15.387177,,
03/31/2000,2183.388496,-187.059998,0.0,0.428,436.847004,2433.603502,563.212004,77.563511,0.179506,1.114599,7.57851,11.09603,19.323975,2262.5674,2512.782406,20.143557,,
06/30/2000,2769.271259,-122.002998,0.0,0.397,428.489986,3076.155247,539.662984,79.399551,0.139294,1.110818,9.17524,13.316343,27.76915,2865.202413,3172.086401,25.957802,,
09/30/2000,2918.616757,-137.248993,0.0,0.472,429.808987,3211.64875,562.771988,76.373557,0.133828,1.100401,9.093312,13.133375,24.240505,3007.719051,3300.751045,27.235135,,
12/31/2000,3382.179433,-149.919998,0.0,0.538,409.362004,3642.159439,557.768,73.392881,0.112395,1.076868,10.068251,14.411267,24.631154,3519.814424,3779.79443,31.095284,,
03/31/2001,3318.102118,-223.031998,0.0,0.091,393.949991,3489.111112,561.954993,70.103477,0.112908,1.051538,9.535175,13.472928,20.779155,3410.901985,3581.910978,29.896587,,
06/30/2001,3778.11736,-59.382999,0.0,0.114,365.366005,4084.214366,582.066011,62.770545,0.089458,1.081018,10.895335,15.15754,18.85724,3878.554512,4184.651518,34.805481,,
