Date,Revenue,Cost of Revenue,Gross Profit,Other Operating Income,Operating Expenses,Operating Income or Losses,Interest Expense,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Normalized Income,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/2000,20829.0,-16231.0,4598.0,0.0,-1435.0,3163.0,-192.0,-24.0,619.0,3566.0,-1495.0,2071.0,0.0,-44.0,2027.0,0,2027.0,2027.0,0.95,0.95,2144.295898,,,
09/30/2000,25640.0,-20837.0,4803.0,,-1578.0,3225.0,-226.0,-13.0,986.0,3972.0,-2071.0,1901.0,0.0,128.0,2029.0,0,2029.0,2029.0,0.94,0.94,2144.295898,,,
12/31/2000,27844.0,-22111.0,5733.0,,-2205.0,3528.0,-240.0,-3.0,752.0,4037.0,-1819.0,2218.0,0.0,-66.0,2152.0,0,2152.0,2152.0,1.01,1.01,2144.295898,,,
03/31/2001,24056.0,-18600.0,5456.0,,-1455.0,4001.0,0.0,7.0,612.0,4620.0,-2011.0,2609.0,0.0,-81.0,2528.0,0,2528.0,2528.0,1.18,1.18,2140.0,,,
06/30/2001,24593.0,-19445.0,5148.0,,-1664.0,3484.0,0.0,24.0,852.0,4360.0,-1799.0,2561.0,0.0,-83.0,2478.0,0,2478.0,2478.0,1.17,1.17,2126.399902,,,
09/30/2001,22042.0,-17762.0,4280.0,,-1688.0,2592.0,0.0,-30.0,546.0,3108.0,-1406.0,1702.0,0.0,-46.0,1656.0,0,1656.0,1656.0,0.78,0.78,2112.199951,,,
12/31/2001,19889.599609,-16451.339844,3438.259766,,-2174.174072,1264.08606,0.0,-20.889,-6.433,1236.76406,-599.218018,637.546021,0.0,-25.648001,611.89801,0,611.89801,611.898041,0.29,0.29,2101.399902,,,
03/31/2002,25701.078125,-21519.140625,4181.9375,,-1843.364258,2338.576172,-164.842896,-20.519989,591.654785,2744.868073,-1192.885742,1551.983398,0.0,-4.787998,1547.195312,0,1547.195312,1547.194332,0.74,0.74,2100.599609,,,
06/30/2002,28984.65625,-24726.078125,4258.578125,,-2048.316406,2210.251953,-170.420898,-24.811996,594.841797,2609.860856,-1162.911133,1446.948242,0.0,-2.612,1444.336914,0,1444.336914,1444.337723,0.688,0.688,2098.5,,,
09/30/2002,29812.765625,-25170.359375,4642.40625,,-1883.919922,2758.486328,-268.956787,-19.515991,561.089844,3031.103394,-1387.476562,1643.626953,0.0,-39.031982,1604.59375,0,1604.59375,1604.594849,0.77,0.77,2088.398438,,,
12/31/2002,29129.410156,-24351.339844,4778.070312,0.0,-2456.479004,2321.573975,-252.423004,46.167999,411.312012,2526.630981,-1089.437012,1437.192993,0.0,-49.764999,1387.428955,0,1387.428955,1387.42897,0.67,0.67,2083.698975,,,
03/31/2003,30065.394531,-24475.640625,5589.753906,,-1902.002808,3687.750244,-209.035858,-9.50163,1534.792725,5004.005481,-2004.843994,2999.161621,142.52446,-55.333023,3086.353027,0,3086.353027,2943.828464,1.44,1.51,2043.699951,1.51,2043.900024,
06/30/2003,25367.115234,-21284.244141,4082.871094,,-1965.690186,2117.181396,-158.353134,-53.840065,507.785706,2412.773903,-1009.237244,1403.536499,0.0,-29.031406,1374.505127,0,1374.505127,1374.505253,0.68,0.68,2036.699951,0.68,2037.400024,
09/30/2003,26334.279297,-22089.650391,4244.628906,,-1962.009644,2282.620361,-187.466721,-8.521214,458.015259,2544.647685,-1173.797241,1370.850342,0.0,-64.441681,1306.408691,0,1306.408691,1306.408763,0.64,0.64,2033.5,0.64,2034.400024,
12/31/2003,25386.861328,-21096.904297,4289.957031,,-2563.805664,1726.151489,-178.706268,-43.79562,447.520752,1951.170353,-940.850769,1010.319641,0.0,-45.305813,965.013855,0,965.013855,965.013771,0.48,0.48,2033.099976,0.48,2034.0,
03/31/2004,27870.751953,-22832.439453,5038.3125,,-1754.458984,3283.851807,-149.72406,-12.477006,914.180603,4035.831344,-1731.904297,2303.927002,0.0,-68.143646,2235.783447,0,2235.783447,2235.783401,1.1,1.099638,2033.199951,,,
06/30/2004,31134.394531,-25746.640625,5387.753906,,-2339.472412,3048.282715,-152.812347,-20.408163,883.026367,3758.088572,-1692.384277,2065.704346,0.0,-73.668495,1992.036011,0,1992.036011,1992.035799,0.98,0.98,2029.099976,0.98,2031.099976,
09/30/2004,34837.0,-28666.230469,6170.769531,,-2002.617188,4168.152344,-149.178055,9.814345,1020.201172,5048.989806,-2276.4375,2772.55249,0.0,-124.151466,2648.401123,0,2648.401123,2648.40084,1.31,1.31,2018.199951,1.31,2020.699951,
12/31/2004,35343.300781,-30312.625,5030.675781,,-2357.638428,2673.03833,-155.387695,1.38739,1300.447021,3819.485046,-1686.141479,2133.343506,0.0,-62.432556,2070.911133,0,2070.911133,2070.911011,1.03,1.03,2012.300049,1.03,2016.099976,
03/31/2005,33023.339844,-26803.203125,6220.136719,,-1736.842163,4483.29541,0.0,0.0,586.27002,5069.56543,-1955.606445,3113.95874,0.0,-59.954235,3054.004639,0,3054.004639,3054.004749,1.52,1.52,2011.5,1.51,2017.5,
