Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,172.617996,2.684,2.684,0.0,25.896999,,,0.0,,,,,10.248,,,,,38.828999,130.664001,338.886993,-208.223007,0.0,,3.125,,,,,,3.125,133.789001,,6.629,6.629,,,,3.412,,,,,,11.914999,,,11.914999,21.955999,19.455999,,,,,1.006,,,,1.006,20.461999,42.417999,3.25,113.903,,,0.0,,13.047,130.2,0.0,130.2,172.617999,
06/30/1990,172.492004,0.0,0.0,0.0,20.259001,,,0.0,,,,,12.851,,,,,33.110001,136.235992,348.0,-211.764008,0.0,,3.146,,,,,,3.146,139.381992,,6.902,6.902,,,,7.475,,,,,,12.097001,,,12.097001,26.474001,17.247999,,,,,1.04,,,,1.04,18.287999,44.762,3.25,114.574997,,,0.0,,9.905,127.729997,0.0,127.729997,172.491997,
09/30/1990,228.901993,37.919998,37.919998,0.0,30.57,,,0.0,,,,,7.809,,,,,76.299004,147.134003,362.734985,-215.600998,0.0,,5.469,,,,,,5.469,152.603003,,10.002,10.002,,,,7.615,,,,,,16.228002,,,16.228002,33.845001,19.834,,,,,1.075,,,,1.075,20.909,54.754001,0.0,162.880005,,,0.0,,11.268,174.148005,0.0,174.148005,228.902005,
12/31/1990,271.415985,48.766998,48.766998,0.0,26.257999,,,0.0,,,,,7.121,,,,,82.146004,167.725998,386.683014,-218.957001,0.0,,21.544001,,,,,,21.544001,189.269999,,10.308,10.308,,,,14.451,,,,,,14.645999,,,14.645999,39.404999,59.471001,,,,,1.201,,,,1.201,60.672001,100.076999,0.0,162.940002,,,0.0,,8.178,171.118003,0.221,171.339003,271.416002,
03/31/1991,354.167999,20.870001,20.870001,0.0,30.424999,,,0.0,,,,,19.511999,,,,,70.806999,270.731995,498.087006,-227.354996,0.0,,12.629,,,,,,12.629,283.360994,,16.469,16.469,,,,18.836,,,,,,22.133999,,,22.133999,57.438999,125.023003,,,,,3.893,,,,3.893,128.916003,186.355002,0.0,163.220993,,,0.0,,4.386,167.606993,0.206,167.812993,354.167995,
06/30/1991,347.983002,17.031,17.031,0.0,31.761,,,0.0,,,,,17.955,,,,,66.747002,268.51001,500.713989,-232.203995,0.0,,12.726,,,,,,12.726,281.23601,,11.964,11.964,,,,22.68,,,,,,23.326001,,,23.326001,57.970001,118.125999,,,,,5.351,,,,5.351,123.476999,181.447001,0.0,163.662003,,,0.0,,2.629,166.291003,0.245,166.536003,347.983003,
09/30/1991,360.516998,28.687,28.687,0.0,29.711,,,0.0,,,,,27.164,,,,,85.561996,263.268005,501.036987,-237.768997,0.0,,11.687,,,,,,11.687,274.955006,,10.676,10.676,,,,31.697001,,,,,,26.887002,,,26.887002,69.260002,115.123001,,,,,4.311,,,,4.311,119.434001,188.694003,0.0,165.100006,,,0.0,,6.463,171.563006,0.26,171.823006,360.517009,
12/31/1991,376.979004,56.120998,56.120998,0.0,37.487,,,0.0,,,,,24.117001,,,,,117.724998,237.281998,470.941986,-233.660004,0.0,,21.972,,,,,,21.972,259.253998,,10.119,10.119,,,,36.481998,,,,,,24.771003,,,24.771003,71.372002,71.166,,,,,3.835,,,,3.835,75.001,146.373002,2.99,233.084,,,-1.75,,-4.017,230.306999,0.299,230.605999,376.979001,
03/31/1992,353.306,59.855,59.855,0.0,26.368999,,,0.0,,,,,15.205,,,,,101.429001,233.695999,471.415985,-237.720001,0.0,,18.181,,,,,,18.181,251.876999,,8.631,8.631,,,,33.969002,,,,,,23.789998,,,23.789998,66.389999,61.171001,,,,,2.992,,,,2.992,64.163002,130.553001,2.99,233.610001,,,-1.75,,-12.408,222.442001,0.311,222.753001,353.306002,
06/30/1992,330.579987,51.94,13.488,38.452,26.385,,,0.0,,,,,14.494,,,,,92.819,230.020996,470.873993,-240.852997,0.0,,7.74,,,,,,7.74,237.760996,,5.61,5.61,,,,33.360001,,,,,,21.315999,,,21.315999,60.285999,50.043999,,,,,2.353,,,,2.353,52.396999,112.682998,2.99,233.973007,,,-1.75,,-17.652,217.561007,0.336,217.897007,330.580005,
