Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1994,5036.0,,,,,,-4634.0,,402.0,46.0,,77.0,,0.0,-123.0,448.0,-176.0,272.0,37.0,,,235.0,0.0,235.0,-15.0,,220.0,220.0,,372.200012,0.59,0.69,,372.200012,0.59,0.69,0.69,
06/30/1994,5562.0,,,,,,-5109.0,,453.0,-27.0,,78.0,,0.0,-51.0,426.0,-167.0,259.0,0.0,,,259.0,0.0,259.0,-15.0,,244.0,244.0,,373.200012,0.655,0.655,,373.200012,0.655,0.655,0.655,
09/30/1994,5704.0,,,,,,-5261.0,,443.0,-67.0,,76.0,,0.0,-9.0,376.0,-122.0,254.0,0.0,,,254.0,0.0,254.0,-15.0,,239.0,239.0,,380.0,0.64,0.64,,380.0,0.64,0.64,0.64,
12/31/1994,6604.0,,,,,,-6123.0,,481.0,-56.0,,73.0,,0.0,-17.0,425.0,-155.0,270.0,0.0,,,270.0,0.0,270.0,-15.0,,255.0,255.0,,378.200012,0.675,0.675,,378.200012,0.675,0.675,0.675,
03/31/1995,5644.0,,,,,,-5189.0,,455.0,-222.0,,79.0,,0.0,143.0,233.0,-96.0,137.0,0.0,,,137.0,0.0,137.0,-15.0,,122.0,122.0,,377.0,0.325,0.325,,377.0,0.325,0.325,0.325,
06/30/1995,5606.0,,,,,,-5136.0,,470.0,-556.0,,73.0,,0.0,483.0,-86.0,33.0,-53.0,0.0,,,-53.0,0.0,-53.0,-15.0,,-68.0,-68.0,,378.600006,-0.18,-0.18,,378.600006,-0.18,-0.18,-0.18,
09/30/1995,5551.0,,,,,,-5041.0,,510.0,-46.0,,70.0,,0.0,-24.0,464.0,-177.0,287.0,0.0,,,287.0,0.0,287.0,-15.0,,272.0,272.0,,380.0,0.715,0.715,0.715,380.0,0.715,0.715,0.715,
12/31/1995,6052.0,,,,,,-5515.0,,537.0,-59.0,,66.0,,0.0,-7.0,478.0,-167.0,311.0,0.0,,,311.0,0.0,311.0,-15.0,,296.0,296.0,,378.200012,0.78,0.78,0.78,378.200012,0.78,0.78,0.78,
03/31/1996,5109.0,,,,,,-4637.0,,472.0,-41.0,,71.0,,0.0,-30.0,431.0,-159.0,272.0,0.0,,,272.0,0.0,272.0,-15.0,,257.0,257.0,,378.600006,0.675,0.675,0.675,417.885986,0.615,0.615,0.615,
06/30/1996,7076.0,,,,,,-6383.0,,693.0,-188.0,,189.0,,0.0,-1.0,505.0,-206.0,299.0,0.0,,,299.0,0.0,299.0,-15.0,,284.0,284.0,,380.399994,0.75,0.75,0.75,423.880005,0.67,0.67,0.67,
