Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,55.966,84.475998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,28.0,93.958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,95.309998,90.213997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,343.291992,125.445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,160.231003,145.003998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,156.714996,117.624001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,197.746994,93.244003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,194.479996,84.036003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.479996,,,
03/31/1992,320.96701,67.429001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,125.446999,98.043999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,352.93399,38.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,197.837006,203.479004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,64.217003,29.750999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,151.378006,111.962997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,272.881989,22.794001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,237.692001,523.612976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,5.0,132.889999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,194.613998,164.647003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,264.149994,105.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,465.343994,91.441002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.343994,,,
03/31/1995,314.799988,139.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,197.5,192.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,317.600006,194.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1995,298.0,269.200012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298.0,,,
03/31/1996,347.700012,1668.699951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1996,-1.6,191.199997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1996,496.299988,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1996,417.600006,364.700012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1997,490.100006,284.399994,,,,,,,-596.0,,,,,,,,214.5,980.799988,-766.299988,,,,,-810.5,-114.500012,0.0,-114.200012,0.0,0.0,0.0,-0.3,,-220.399994,,,
06/30/1997,676.599976,277.799988,,,,,,,-724.099976,,,,,,,,-678.0,1608.199951,-2286.199951,,,,,-46.099976,-15.100006,0.0,-14.600006,0.0,0.0,0.0,-0.5,,-62.599998,,,
09/30/1997,688.0,366.600006,,,,,,,-1140.400024,,,,,,,,-936.800049,2794.899902,-3731.699951,,,,,-203.599976,-78.399976,0.0,-78.099976,0.0,0.0,0.0,-0.3,,-530.799988,,,
