Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,127.220001,131.408997,-287.480988,-47.789001,-76.640999,,,,,
06/30/1990,,95.058998,156.947998,-56.504002,-20.475,175.028,,,,,
09/30/1990,,155.423004,191.324997,68.928001,35.166,450.84201,,,,,
12/31/1990,,91.047997,184.792007,29.832001,138.774002,444.446014,,,444.446014,,
03/31/1991,,59.622002,176.931,53.886002,-72.887001,217.552002,,,,,
06/30/1991,,-80.268997,337.757996,-64.660004,111.528999,304.358002,,,,,
09/30/1991,,-207.528,287.084991,-126.779999,34.884998,-12.338,,,,,
12/31/1991,,-59.966999,177.011002,879.895996,144.382996,1141.322998,,,1141.322998,,
03/31/1992,,60.564999,147.688995,-261.380005,-10.363,-63.488998,,,,,
06/30/1992,,64.538002,122.643997,570.557007,-96.485001,661.254028,,,,,
09/30/1992,,75.063004,94.998001,-248.802994,338.109009,259.367004,,,,,
12/31/1992,,82.095001,89.973,-386.684998,-71.872002,-286.489014,,,-286.489014,,
03/31/1993,,304.17099,79.098999,-120.019997,24.66,287.910004,,,,,
06/30/1993,,136.028,58.043999,426.721985,-61.709999,559.083984,,,,,
09/30/1993,,150.451004,51.006001,113.396004,-8.497,306.355988,,,,,
12/31/1993,,146.065994,48.834,-326.612,-45.625,-177.337006,,,-177.337006,,
03/31/1994,,184.0,27.0,111.0,171.0,493.0,,,,,
06/30/1994,,208.0,44.0,-484.0,33.0,-199.0,,,,,
09/30/1994,,130.0,39.0,439.0,7.0,615.0,,,,,
12/31/1994,,212.0,42.0,204.0,-12.0,446.0,,,,,
03/31/1995,,212.0,46.0,13.0,27.0,298.0,,,,,
06/30/1995,,220.0,49.0,-7.0,-47.0,215.0,,,,,
09/30/1995,,238.0,49.0,25.0,31.0,343.0,,,,,
