Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,LT Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/1991,65626,29952,743,29209,4120,,,0.0,0.0,0.0,0.0,0.0,716,,,,34788,902,,,12577,,,,17359,1610,1610.0,0.0,,15749,30838,,3149,3149,,,,462,462.0,0.0,0.0,,,43438,,,43438,47049,847,847.0,0.0,0.0,,12298,,,,,,12298,13145,60194,0.0,2275,,,-534,3487,204,5432,0.0,5432,65626,
09/30/1991,64790,30715,1308,29407,4055,,,0.0,0.0,0.0,0.0,0.0,719,,,,35489,915,,,12462,,,,15924,1479,1479.0,0.0,,14445,29301,,2980,2980,,,,424,424.0,0.0,0.0,,,43878,,,43878,47282,944,944.0,0.0,0.0,,10998,,,,,,10998,11942,59224,0.0,2275,,,-535,3555,271,5566,0.0,5566,64790,
03/31/1992,67053,6873,1624,5249,3821,,,0.0,0.0,0.0,0.0,0.0,723,,,,11417,964,,,38429,,,,16243,1463,,,,14780,55636,,3046,3046,,,,392,392.0,0.0,0.0,,,45679,,,45679,49117,948,948.0,0.0,0.0,,11240,,,,,,11240,12188,61305,0.0,2277,,,-534,3661,344,5748,0.0,5748,67053,
06/30/1992,67533,6249,1261,4988,3648,,,0.0,0.0,0.0,0.0,0.0,687,,,,10584,967,,,39399,,,,16583,1440,,,,15143,56949,,3113,3113,,,,399,399.0,0.0,0.0,,,45789,,,45789,49301,948,948.0,0.0,0.0,,11585,,,,,,11585,12533,61834,0.0,2287,,,-540,3731,221,5699,0.0,5699,67533,
09/30/1992,68304,6538,1258,5280,3443,,,0.0,0.0,0.0,0.0,0.0,752,,,,10733,0,,,39668,,,,17903,1407,,,,16496,57571,,3064,3064,,,,462,462.0,0.0,0.0,,,46485,,,46485,50011,884,884.0,0.0,0.0,,11658,,,,,,11658,12542,62553,0.0,2287,,,-540,3731,273,5751,0.0,5751,68304,
12/31/1992,69827,6465,1011,5454,3564,,,0.0,0.0,0.0,0.0,0.0,734,,,,10763,945,,,39628,,,,18491,1384,1384.0,0.0,,17107,59064,,3770,3770,,,,438,438.0,0.0,0.0,,,46707,,,46707,50915,929,929.0,0.0,0.0,,12239,,,,,,12239,13168,64083,0.0,2288,,,-537,3702,291,5744,0.0,5744,69827,
03/31/1993,78225,7156,1100,6056,4407,,,0.0,0.0,0.0,0.0,0.0,742,,,,12305,965,,,39961,,,,24994,1367,1367.0,0.0,,23627,65920,,4018,4018,,,,380,380.0,0.0,0.0,,,54688,,,54688,59086,1280,1280.0,0.0,0.0,,12071,,,,,,12071,13351,72437,0.0,2302,,,-547,3693,340,5788,0.0,5788,78225,
06/30/1993,80139,7495,1221,6274,3722,,,0.0,0.0,0.0,0.0,0.0,711,,,,11928,952,,,40774,,,,26485,1331,,,,25154,68211,,4020,4020,,,,514,514.0,0.0,0.0,,,56055,,,56055,60589,1279,1279.0,0.0,0.0,,12466,,,,,,12466,13745,74334,0.0,2303,,,-545,3727,320,5805,0.0,5805,80139,
09/30/1993,82162,7173,1069,6104,3631,,,0.0,0.0,0.0,0.0,0.0,779,,,,11583,941,,,41588,,,,28050,1305,,,,26745,70579,,4115,4115,,,,476,476.0,0.0,0.0,,,56906,,,56906,61497,1275,1275.0,0.0,0.0,,13758,,,,,,13758,15033,76530,0.0,2304,,,-545,3578,295,5632,0.0,5632,82162,
12/31/1993,84975,16792,1211,15581,4065,,,0.0,0.0,0.0,0.0,0.0,764,,,,21621,930,,,35147,,,,27277,1262,1262.0,0.0,,26015,63354,,4555,4555,,,,351,351.0,0.0,0.0,,,58586,,,58586,63492,1235,1235.0,0.0,0.0,,13673,,,,,,13673,14908,78400,0.0,2305,,,-545,3717,1098,6575,0.0,6575,84975,
03/31/1994,84887,4287,1381,2906,4246,,,0.0,0.0,0.0,0.0,0.0,767,,,,9300,923,,,46780,,,,27884,1231,,,,26653,75587,,4717,4717,,,,290,290.0,0.0,0.0,,,58417,,,58417,63424,1379,1379.0,0.0,0.0,,13988,,,,,,13988,15367,78791,0.0,2328,,,-565,3776,557,6096,0.0,6096,84887,
06/30/1994,84322,16768,1185,15583,3854,,,0.0,0.0,0.0,0.0,0.0,755,,,,21377,921,,,34135,,,,27889,1287,1287.0,0.0,,26602,62945,,4486,4486,,,,299,,,,,,58478,,,58478,63263,1379,,,,,13830,,,,,,13830,15209,78472,0.0,2330,,,-564,3856,228,5850,0.0,5850,84322,
09/30/1994,86004,22564,1662,20902,3999,,,0.0,0.0,0.0,0.0,0.0,889,,,,27452,913,,,29152,,,,28487,1188,,,,27299,58552,,4647,4647,,,,324,324.0,0.0,0.0,,,59116,,,59116,64087,1378,1378.0,0.0,0.0,,14639,,,,,,14639,16017,80104,0.0,2330,,,-564,3924,210,5900,0.0,5900,86004,
12/31/1994,86102,16648,1693,14955,3986,,,0.0,0.0,0.0,0.0,0.0,835,,,,21469,914,,,35964,,,,27755,1165,1165.0,0.0,,26590,64633,,4726,4726,,,,271,271.0,0.0,0.0,,,59430,,,59430,64427,1389,1389.0,0.0,0.0,,14475,,,,,,14475,15864,80291,0.0,2331,,,-564,4052,-8,5811,0.0,5811,86102,
03/31/1995,88847,4203,2243,1960,4202,,,0.0,0.0,0.0,0.0,0.0,920,,,,9325,901,,,50296,,,,28325,1152,1152.0,0.0,,27173,79522,,5111,5111,,,,232,232.0,0.0,0.0,,,60769,,,60769,66112,1426,1426.0,0.0,0.0,,15122,,,,,,15122,16548,82660,0.0,2348,,,-575,4289,125,6187,0.0,6187,88847,
06/30/1995,91734,15426,1707,13719,4207,,,0.0,0.0,0.0,0.0,0.0,1019,,,,20652,899,,,41187,,,,28996,1142,1142.0,0.0,,27854,71082,,5114,5114,,,,249,,,,,,61881,,,61881,67244,1467,,,,,16194,,,,,,16194,17661,84905,0.0,2356,,,-581,4439,615,6829,0.0,6829,91734,
09/30/1995,93749,26573,1775,24798,4169,,,0.0,0.0,0.0,0.0,0.0,1139,,,,31881,885,,,30754,,,,30229,1135,1135.0,0.0,,29094,61868,,5286,5286,,,,571,,,,,,63252,,,63252,69109,1068,,,,,17178,,,,,,17178,18246,87355,0.0,2459,,,-576,3817,694,6394,0.0,6394,93749,
12/31/1995,95903,3333,1559,1774,4268,,,0.0,0.0,0.0,0.0,0.0,908,,,,8509,864,,,55936,,,,30594,1118,1118.0,0.0,,29476,87394,,5408,5408,,,,414,414.0,0.0,0.0,,,63728,,,63728,69550,1066,1066.0,0.0,0.0,,18130,,,,,,18130,19196,88746,0.0,2623,,,-578,4041,1071,7157,0.0,7157,95903,
03/31/1996,95417,37418,1269,36149,4229,,,0.0,0.0,0.0,0.0,0.0,953,,,,42600,831,,,19951,,,,32035,1107,1107.0,0.0,,30928,52817,,5086,5086,,,,435,435.0,0.0,0.0,,,62657,,,62657,68178,1037,1037.0,0.0,0.0,,19339,,,,,,19339,20376,88554,0.0,2636,,,-584,4219,592,6863,0.0,6863,95417,
06/30/1996,95899,3001,1434,1567,4254,,,0.0,0.0,0.0,0.0,0.0,1021,,,,8276,814,,,53914,,,,32895,1097,1097.0,0.0,,31798,87623,,4983,4983,,,,406,406.0,0.0,0.0,,,62279,,,62279,67668,1037,1037.0,0.0,0.0,,20309,,,,,,20309,21346,89014,0.0,2642,,,-629,4388,484,6885,0.0,6885,95899,
