Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Capital Expenditures,Cash from Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,12.083,17.473,-6.778,2.264,25.042,,,,,,
06/30/1990,,13.439,14.808,-8.864,-0.931,18.452,,,,,,
09/30/1990,,15.036,14.799,-7.613,3.364,25.586,,,,,,
12/31/1990,,16.158001,15.397,15.053,-3.003,43.605,,,,,,
03/31/1991,,15.316,15.649,-5.075,10.54,36.43,,,,,,
06/30/1991,,16.004999,16.370001,16.32,-15.548,33.146999,,,,,,
09/30/1991,,17.205,17.610001,-3.859,-3.742,27.214001,,,,,,
12/31/1991,,18.028999,17.167999,21.861,-4.101,52.957001,,,,,,
03/31/1992,,21.777,18.863001,4.306,18.09,63.035999,,,,,,
06/30/1992,,23.841999,20.639,-16.181999,-19.191,9.108,,,,,,
09/30/1992,,24.068001,21.327999,69.689003,-10.136,104.948997,,,,,,
12/31/1992,,15.608,30.437,-17.695,1.154,29.504,,,,,,
03/31/1993,,33.064999,20.551001,3.311,13.202,70.128998,,,,,,
06/30/1993,,33.847,21.237,12.598,-0.424,67.258003,,,,,,
09/30/1993,,35.561001,19.653,10.011,-15.003,50.222,,,,,,
12/31/1993,,16.391001,26.063,39.297001,-101.597,-19.846001,,,,-19.846001,,
03/31/1994,,39.866001,15.391,-10.712,79.989998,124.535004,,,,,,
06/30/1994,,52.182999,18.879999,17.896,4.811,93.769997,,,,,,
09/30/1994,,48.16,14.958,-35.108002,19.648001,47.658001,,,,,,
12/31/1994,,28.120001,25.908001,16.229,5.864,76.121002,,,,76.121002,,
03/31/1995,,55.432999,22.830999,29.989,-22.562,85.691002,,-14.615,,,,
06/30/1995,,57.887001,16.759001,-23.948,25.804001,76.501999,,-16.429001,,,,
09/30/1995,,62.764,18.434999,-2.218,-58.743999,20.237,,-12.664,,,,
12/31/1995,,56.591999,17.76,-5.095,1.081,70.337997,-59.848999,-59.848999,,10.488998,,
03/31/1996,,17.084999,,,,97.949997,,-13.748,,,,
06/30/1996,,78.060997,,,,110.336998,,-19.621,,,,
09/30/1996,,69.141998,,,,110.651001,,-17.361,,,,
12/31/1996,,80.927002,,,,168.546997,-17.104,-17.104,,151.442997,,
03/31/1997,,85.313004,,,,94.973999,,-14.534,,,,
06/30/1997,,42.754002,,,,33.935001,,-28.597,,,,
09/30/1997,,13.356,,,,-37.393002,,-32.217999,,,,
12/31/1997,,105.399002,,,,308.372986,,-47.436001,,,,
03/31/1998,,114.859001,26.823999,-44.160999,-109.632004,-12.11,,-20.392,,,,
06/30/1998,,107.147003,25.686001,-36.307999,14.452,110.976997,-24.938,-24.938,,86.038997,,
09/30/1998,,63.144001,,,,201.567001,,-19.632999,,,,
12/31/1998,,90.153,,,,80.102997,,-30.243999,,,,
03/31/1999,,118.037003,26.917999,56.825001,76.632004,278.411987,,-16.645,,,,
06/30/1999,,120.528,29.441999,-46.256001,46.521,150.235001,,-22.728001,,,,
