Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
11/30/1989,43.671589,,,,,,-40.889851,,,2.781737,-0.9226,,1.159611,,0.0,,-0.237011,1.859137,-0.6693,1.189837,0.0,,,1.189837,0.0,1.189837,0.0,,1.189837,1.189837,,77.021996,0.015556,0.015556,,77.021996,0.015556,0.015556,0.015556,
02/28/1990,41.172363,,,,,,-38.81966,,,2.352703,-1.155332,,1.170176,,0.0,,-0.014844,1.197371,-0.3435,0.853871,0.0,,,0.853871,0.0,0.853871,0.0,,0.853871,0.853871,,77.011199,0.011111,0.011111,,77.011199,0.011111,0.011111,0.011111,
05/31/1990,49.907448,,,,,,-47.112972,,,2.794475,-0.9679,,1.13747,,0.0,,-0.16957,1.826575,-0.547968,1.278607,0.0,,,1.278607,0.0,1.278607,0.0,,1.278607,1.278607,,77.084996,0.016667,0.016667,,77.084996,0.016667,0.016667,0.016667,
08/31/1990,45.093113,,-136.220154,,-91.127041,,93.467903,,,2.340861,-0.795564,,1.172261,,0.0,,-0.376697,1.545297,-0.432032,1.113265,0.0,,,1.113265,0.0,1.113265,0.0,,1.113265,1.113265,,77.076001,0.014444,0.014444,,77.076001,0.014444,0.014444,0.014444,
11/30/1990,44.780937,,,,,,-41.393253,,,3.387685,-0.83122,,1.127339,,0.0,,-0.296119,2.556465,-0.871926,1.684539,0.0,,,1.684539,0.0,1.684539,0.0,,1.684539,1.684539,,77.166003,0.021667,0.021667,,77.166003,0.021667,0.021667,0.021667,
02/28/1991,41.479031,,-30.748724,,10.730307,,-7.329771,,,3.400536,-0.97207,,1.155886,,0.0,,-0.183816,2.428466,-0.822574,1.605892,0.0,,,1.605892,0.0,1.605892,0.0,,1.605892,1.605892,,73.097998,0.022222,0.022222,,73.097998,0.022222,0.022222,0.022222,
05/31/1991,49.631817,,-36.553486,,13.078331,,-8.735866,,,4.342465,-0.947277,,1.114422,,0.0,,-0.167145,3.395188,-1.1554,2.239788,0.0,,,2.239788,0.0,2.239788,0.0,,2.239788,2.239788,,72.090002,0.031111,0.031111,,72.090002,0.031111,0.031111,0.031111,
08/31/1991,40.666901,,-63.761902,,-23.095001,,27.275482,,,4.180481,-0.880282,,1.188412,,0.0,,-0.30813,3.300199,-1.1206,2.179599,0.0,,,2.179599,0.0,2.179599,0.0,,2.179599,2.179599,,72.845999,0.03,0.03,,72.845999,0.03,0.03,0.03,
11/30/1991,63.580025,,-45.745731,,17.834293,,-12.349519,,,5.484776,-1.65996,,1.78091,,0.0,,-0.12095,3.824816,-1.4152,2.409616,0.0,,,2.409616,0.0,2.409616,0.0,,2.409616,2.409616,,72.204002,0.033333,0.033333,,72.204002,0.033333,0.033333,0.033333,
02/29/1992,56.942169,,-39.731216,,17.210953,,-11.863457,,,5.347495,-1.969981,,2.037403,,0.0,,-0.067422,3.377514,-1.2497,2.127814,0.0,,,2.127814,0.0,2.127814,0.0,,2.127814,2.127814,,74.939999,0.028333,0.028333,,74.939999,0.028333,0.028333,0.028333,
05/31/1992,65.068146,,-46.239201,,18.828945,,-12.243455,,,6.585491,-1.35558,,1.459729,,0.0,,-0.104149,5.229911,-1.8731,3.356811,0.0,,,3.356811,0.0,3.356811,0.0,,3.356811,3.356811,,92.988001,0.035833,0.035833,,92.988001,0.035833,0.035833,0.035833,
08/31/1992,59.652206,,-42.968887,,16.683319,,-10.034552,,,6.648767,-1.197036,,1.232208,,0.0,,-0.035172,5.451731,-1.98963,3.462101,0.0,,,3.462101,0.0,3.462101,0.0,,3.462101,3.462101,,84.216003,0.0375,0.0375,,84.216003,0.0375,0.0375,0.0375,
