Date,Assets,Net Plant in Service,Gross Utility Plant in Service,Accum Depreciation for Plant Asset,Plant Construction in Progress,Net Nuclear Fuel,Total Utility Plant,Cash & Near Cash Items,Marketable Securities,Restricted Bond Proceeds,Net Accounts Receivable,Supplies And Fuel,Prepaid Expenses,Other Current Assets,Total Current Assets,Decommissioning Funds,Long-Term Investments,Investments in Associated Co.,Other Property & Equipment,Deferred Charges & Others,Total Long Term Assets,Total Assets,Liabilities & Shareholders' Equity,ST Portion of LT Debts,Short Term Debt,Accounts Payable,Other Accounts Payable and Accruals,Other Current Liabilities,Total Current Liabilities,Accum Deferred Income Taxes,Accumulated Deferred ITC,Long-Term Borrowings,Other Liabilities,Total Long-Term Liabilities,Common Stock,Additional Paid in Capital,Retained Earnings & Other Equity,Total Preferred Equity,Minority Interest,Total Equity,Total Capitalization & Liabilities,Source: Bloomberg
03/31/1990,,2057.0,4561.0,-2504,,0,2057.0,137,0,0,652,916,128,135,1840,0,0,,2444.0,723,3167.0,7064,,45,452,904,142,264,1807,603,87,1638,612,2940,1345,0.0,584,388,0,2317,7064,
06/30/1990,,1599.0,4413.0,-2814,,0,1599.0,136,0,0,513,953,104,272,1874,0,0,,2718.0,715,3433.0,6906,,93,482,869,164,392,2000,539,86,1761,600,2986,1359,0.0,233,328,0,1920,6906,
09/30/1990,,1859.0,4701.0,-2842,,0,1859.0,31,0,0,452,992,72,261,1736,0,0,,2520.0,684,3204.0,6799,,87,378,867,92,330,1754,523,86,1781,589,2979,1374,0.0,289,403,0,2066,6799,
12/31/1990,,1954.0,4794.0,-2840,,0,1954.0,187,0,0,602,1017,102,393,2199,0,0,,2498.0,624,3122.0,7275,,127,492,769,199,650,2237,500,84,1844,576,3004,1385,0.0,246,403,0,2034,7275,
03/31/1991,,1894.0,4853.0,-2959,,0,1894.0,202,0,0,569,873,94,225,1869,0,0,,2511.0,655,3166.0,6929,,183,389,548,266,553,1939,467,83,1778,553,2881,1409,0.0,297,403,0,2109,6929,
06/30/1991,,1871.0,4922.0,-3051,,0,1871.0,137,0,0,387,867,91,202,1593,0,0,,2551.0,653,3204.0,6668,,85,557,401,170,523,1736,471,82,1735,580,2868,1428,0.0,233,403,0,2064,6668,
09/30/1991,,1973.0,4996.0,-3023,,0,1973.0,71,0,0,341,893,79,430,1735,0,0,,2488.0,591,3079.0,6787,,52,723,435,206,497,1913,480,82,1689,552,2803,1443,0.0,225,403,0,2071,6787,
12/31/1991,,3334.0,5308.0,-1974,,0,3334.0,98,0,0,509,108,85,349,1064,0,0,,759.0,305,1064.0,5462,,25,123,314,63,402,927,345,80,1925,291,2641,1458,0.0,-17,453,0,1894,5462,
03/31/1992,,2209.0,5126.0,-2917,,0,2209.0,515,0,0,484,65,70,79,1143,0,0,,1660.0,502,2162.0,5514,,126,140,482,199,31,978,379,80,2157,502,3118,1479,0.0,-514,453,0,1418,5514,
06/30/1992,,3120.0,5191.0,-2071,,0,3120.0,485,0,0,361,76,46,153,1075,0,0,,139.0,662,801.0,4996,,240,0,472,140,30,882,320,78,1880,523,2801,1493,0.0,-633,453,0,1313,4996,
09/30/1992,,3140.0,5262.0,-2122,,0,3140.0,316,0,0,298,123,38,522,1259,0,0,,150.0,402,552.0,4951,,217,0,473,68,172,930,237,78,1808,551,2674,1499,0.0,-605,453,0,1347,4951,
12/31/1992,,3313.0,5466.0,-2153,,0,3313.0,432,0,0,477,69,62,569,1547,0,0,,0.0,554,554.0,5414,,217,215,226,58,449,1165,89,77,1915,1004,3085,859,0.0,-148,453,0,1164,5414,
03/31/1993,,3304.0,5513.0,-2209,,0,3304.0,420,0,0,456,36,20,112,1024,0,0,,0.0,568,568.0,4896,,166,0,471,90,132,859,68,76,1638,1055,2837,861,0.0,-114,453,0,1200,4896,
06/30/1993,,3314.0,5572.0,-2258,,0,3314.0,143,0,0,311,71,8,221,746,0,0,,0.0,575,575.0,4635,,9,27,445,45,88,614,115,75,1413,1030,2633,1032,0.0,-97,453,0,1388,4635,
09/30/1993,,3333.0,5643.0,-2310,,0,3333.0,125,0,0,295,125,14,412,957,0,0,,0.0,574,574.0,4864,,9,122,527,63,53,774,123,74,1409,1034,2640,1039,0.0,-42,453,0,1450,4864,
12/31/1993,,3158.0,5634.0,-2476,119.0,0,3277.0,152,0,0,469,86,30,557,1264,0,0,,10.0,1045,1055.0,5596,,58,267,216,62,860,1463,181,73,1394,1006,2654,1048,0.0,-22,453,0,1479,5596,
