Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/1997,3796.74292,40.631001,40.631001,0.0,127.514999,,,6.839,,,,,10.967,,,,,,,,185.951996,3559.712891,4113.845215,-554.132019,0.0,,51.077999,,,,,51.077999,3610.79089,,74.152,74.152,,,,11.116,,,,,,51.308995,,,,51.308995,136.576996,1601.14502,,,,,340.914001,,,,,340.914001,1942.059021,2078.636017,0.0,1627.232056,,,0.0,,90.875,1718.107056,0.0,1718.107056,3796.743073,
12/31/1997,3946.590088,71.712997,71.712997,0.0,191.932007,,,13.576,,,,,30.966999,,,,,,,,308.187988,3559.858887,4165.062012,-605.203003,0.0,,78.542999,,,,,78.542999,3638.401886,,176.697006,176.697006,,,,5.791,,,,,,79.063996,,,,79.063996,261.552002,1943.718018,,,,,192.475006,,,,,192.475006,2136.193024,2397.745026,0.0,2361.001953,,,-0.021,,-812.135982,1548.844971,0.0,1548.844971,3946.589996,
03/31/1998,4005.408936,74.152,74.152,0.0,185.380997,,,20.101999,,,,,26.608999,,,,,,,,306.243988,3563.763916,4250.545898,-686.781982,0.0,,135.401001,,,,,135.401001,3699.164917,,137.373993,137.373993,,,,10.052,,,,,,88.83301,,,,88.83301,236.259003,2099.155029,,,,,165.016998,,,,,165.016998,2264.172028,2500.43103,0.0,2351.916016,,,-5.593,,-841.344988,1504.978027,0.0,1504.978027,4005.409058,
06/30/1998,3998.420898,45.693001,45.693001,0.0,157.789993,,,20.752001,,,,,28.736,,,,,,,,252.970993,3541.530029,4305.943848,-764.414001,0.0,,203.919998,,,,,203.919998,3745.450027,,115.463997,115.463997,,,,3.772,,,,,,91.206004,,,,91.206004,210.442001,2139.083984,,,,,178.397995,,,,,178.397995,2317.481979,2527.923981,0.0,2351.918945,,,-6.799,,-874.622997,1470.496948,0.0,1470.496948,3998.420929,
09/30/1998,3992.625977,70.285004,70.285004,0.0,99.390999,,,17.459999,,,,,51.358002,,,,,,,,238.494003,3516.957031,4364.375,-847.495972,0.0,,237.175003,,,,,237.175003,3754.132034,,108.087997,108.087997,,,,1.712,,,,,,117.532995,,,,117.532995,227.332993,2164.259033,,,,,176.595001,,,,,176.595001,2340.854034,2568.187027,0.0,2352.00293,,,-9.911,,-917.653026,1424.438904,0.0,1424.438904,3992.625931,
12/31/1998,3481.313965,59.221001,59.221001,0.0,33.383999,,,15.221,,,,,94.162003,,,,,,,,201.988007,3034.10791,3964.218994,-930.111023,0.0,,245.218002,,,,,245.218002,3279.325912,,94.936996,94.936996,,,,306.520996,,,,,,125.373978,,,,125.373978,526.83197,1868.744019,,,,,296.661011,,,,,296.661011,2165.405029,2692.237,0.0,2349.003906,,,-10.388,,-1549.539002,789.076904,0.0,789.076904,3481.313904,
03/31/1999,3417.129,33.563,33.563,0.0,29.456,107.122,,13.45,13.45,0.0,0.0,,94.811,,,,,,,,171.28,3005.303,4003.844,-998.541,0.0,,240.546,0.0,,,,240.546,3245.849,,68.227,68.227,,,,339.282,,,,,,99.102,,,,99.102,506.611,1869.134,,,,,254.638,,,,,254.638,2123.772,2630.383,0.0,2349.079,,,-10.388,-1554.943,2.998,786.746,0.0,786.746,3417.129,
06/30/1999,3083.108,79.269,79.269,0.0,29.164,109.137,,13.929,13.929,0.0,0.0,,96.817,,,,,,,,219.179,2606.773,3372.056,-765.283,0.0,,257.156,0.0,,,,257.156,2863.929,,76.128,76.128,,,,69.951,,,,,,115.19,,,,115.19,261.269,1859.001,,,,,244.95,,,,,244.95,2103.951,2365.22,0.0,2349.103,,,-10.388,-1629.559,8.732,717.888,0.0,717.888,3083.108,
09/30/1999,2897.106,33.246,33.246,0.0,30.154,102.853,,12.902,12.902,0.0,0.0,,89.369,,,,,,,,165.671,2524.216,3228.72,-704.504,0.0,,207.219,0.0,,,,207.219,2731.435,,69.947,69.947,,,,0.856,,,,,,116.234,,,,116.234,187.037,1714.314,,,,,232.233,,,,,232.233,1946.547,2133.584,0.0,2349.236,,,-10.388,-1583.131,7.805,763.522,0.0,763.522,2897.106,
12/31/1999,2929.473,34.788,34.788,0.0,116.456,116.456,,13.721,13.721,0.0,0.0,,18.171,,,,,,,,183.136,2502.962,3254.918,-751.956,0.0,,243.375,0.0,,,,243.375,2746.337,,86.442,86.442,,,,0.828,,,,,,109.543,,,,109.543,196.813,1745.108,,,,,212.938,,,,,212.938,1958.046,2154.859,0.0,2349.457,,,-10.384,-1574.884,10.425,774.614,0.0,774.614,2929.473,
