Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/28/1990,17.850998,,,-11.417,,6.433998,,-6.319,,,,0.115,-0.352,,,,,0.0,,0.352,-0.237,0.0,-0.237,0.0,,,-0.237,0.0,-0.237,0.0,,-0.237,-0.237,,498.944,-0.000625,-0.000625,,498.944,-0.000625,-0.000625,-0.000625,
03/31/1991,20.940998,,,-13.379,,7.561998,,-7.75,,,,-0.188,-0.359,,,,,0.0,,0.359,-0.547,0.0,-0.547,0.0,,,-0.547,0.0,-0.547,0.0,,-0.547,-0.547,,499.455994,-0.00125,-0.00125,,499.455994,-0.00125,-0.00125,-0.00125,
06/30/1991,22.240999,,,-12.913,,9.327999,,-9.851,,,,-0.523,-0.381,,,,,0.0,,0.381,-0.904,0.0,-0.904,0.0,,,-0.904,0.0,-0.904,0.0,,-0.904,-0.904,,500.895966,-0.001875,-0.001875,,500.895966,-0.001875,-0.001875,-0.001875,
09/29/1991,29.214001,,,-21.961,,7.253001,,-12.984,,,,-5.731,-0.952,,,,,0.0,,0.952,-6.683,0.0,-6.683,0.0,,,-6.683,0.0,-6.683,0.0,,-6.683,-6.683,,503.936,-0.013125,-0.013125,-0.013125,503.936,-0.013125,-0.013125,-0.013125,
12/29/1991,25.107,,,-15.933,,9.174,,-9.976,,,,-0.802,-0.74,,,,,0.0,,0.74,-1.542,-0.123,-1.665,0.0,,,-1.665,0.0,-1.665,0.0,,-1.665,-1.665,,546.336,-0.003125,-0.003125,-0.003125,546.336,-0.003125,-0.003125,-0.003125,
03/29/1992,26.292999,,,-17.566,,8.726999,,-10.242,,,,-1.515,0.273,,,,,0.0,,-0.273,-1.242,-0.001,-1.243,0.0,,,-1.243,0.0,-1.243,0.0,,-1.243,-1.243,,670.047968,-0.001875,-0.001875,-0.001875,670.047968,-0.001875,-0.001875,-0.001875,
06/28/1992,27.087999,,,-15.583,,11.504999,,-12.154,,,,-0.649,0.12,,,,,0.0,,-0.12,-0.529,-0.078,-0.607,0.0,,,-0.607,0.0,-0.607,0.0,,-0.607,-0.607,,676.288032,-0.000937,-0.000937,-0.000937,676.288032,-0.000937,-0.000937,-0.000937,
09/27/1992,29.033001,,,-16.011999,,13.021002,,-12.012,,,,1.009,-1.24,,,,,0.0,,1.24,-0.231,-0.378,-0.609,0.0,,,-0.609,0.0,-0.609,0.0,,-0.609,-0.609,,663.487968,-0.000937,-0.000937,-0.000937,663.487968,-0.000937,-0.000937,-0.000937,
12/27/1992,30.018,,,-19.777,,10.241,,-12.012,,,,-1.771,0.176,,0.324,,,0.0,,-0.5,-1.595,-0.022,-1.617,0.0,,,-1.617,0.0,-1.617,0.0,,-1.617,-1.617,,658.976,-0.0025,-0.0025,-0.0025,658.976,-0.0025,-0.0025,-0.0025,
03/28/1993,36.806999,,,-24.101,,12.705999,,-12.363,,,,0.343,0.115,,0.443,,,0.0,,-0.558,0.458,-0.071,0.387,0.0,,,0.387,0.0,0.387,0.0,,0.387,0.387,,760.607968,0.000625,0.000625,0.000625,760.607968,0.000625,0.000625,0.000625,
06/27/1993,49.137001,,,-28.226999,,20.910002,,-13.842,,,,7.068,-0.064,,0.594,,,0.0,,-0.53,7.004,-0.946,6.058,0.0,,,6.058,0.0,6.058,0.0,,6.058,6.058,,779.136,0.007812,0.007812,0.007812,779.136,0.007812,0.007812,0.007812,
09/26/1993,52.745998,,,-28.517,,24.228998,,-17.944,,,,6.285,0.908,,0.652,,,0.0,,-1.56,7.193,0.039,7.232,0.0,,,7.232,0.0,7.232,0.0,,7.232,7.232,,875.840032,0.008438,0.008438,0.008438,875.840032,0.008438,0.008438,0.008438,
12/26/1993,53.673,,,-30.148001,,23.524999,,-18.235001,,,,5.29,1.234,,,,,0.0,,-1.234,6.524,-1.505,5.019,0.0,,,5.019,0.0,5.019,0.0,,5.019,5.019,,873.504032,0.005625,0.005625,0.005625,873.504032,0.005625,0.005625,0.005625,
03/27/1994,67.652,,,-41.136002,,26.515998,,-20.848,,,,5.668,0.945,,,,,0.0,,-0.945,6.613,-1.393,5.22,0.0,,,5.22,0.266,5.486,0.0,,5.486,5.486,,865.359984,0.00625,0.00625,0.00625,865.359984,0.00625,0.00625,0.00625,
06/26/1994,71.621002,,,-41.483002,,30.138,,-26.523001,,,,3.615,1.128,,,,,0.0,,-1.128,4.743,0.761,5.504,0.0,,,5.504,0.9,6.404,0.0,,6.404,6.404,,863.247984,0.0075,0.0075,0.0075,863.247984,0.0075,0.0075,0.0075,
09/25/1994,78.677002,,,-43.919998,,34.757004,,-26.363001,,,,8.394,-11.854,,,,,0.0,,11.854,-3.46,0.017,-3.443,0.0,,,-3.443,1.727,-1.716,0.0,,-1.716,-1.716,,861.616032,-0.001875,-0.001875,-0.001875,861.616032,-0.001875,-0.001875,-0.001875,
12/25/1994,75.885002,,,-40.073002,,35.812,,-31.798,,,,4.014,1.061,,,,,0.0,,-1.061,5.075,-1.073,4.002,0.0,,,4.002,1.945,5.947,0.0,,5.947,5.947,,885.424016,0.006875,0.006875,0.006875,885.424016,0.006875,0.006875,0.006875,
03/26/1995,89.752998,,,-49.993,,39.759998,,-35.502998,,,,4.257,0.939,,,,,0.0,,-0.939,5.196,-1.106,4.09,0.0,,,4.09,1.957,6.047,0.0,,6.047,6.047,,881.888,0.006875,0.006875,0.006875,881.888,0.006875,0.006875,0.006875,
06/25/1995,99.468002,,,-53.814999,,45.653003,,-42.298,,,,3.355,1.236,,,,,0.0,,-1.236,4.591,-0.834,3.757,0.0,,,3.757,3.506,7.263,0.0,,7.263,7.263,,892.0,0.008125,0.008125,0.008125,892.0,0.008125,0.008125,0.008125,
09/25/1995,121.505997,,,-69.289001,,52.216996,,-43.243999,,,,8.973,4.029,,,,,0.0,,-4.029,13.002,-6.687,6.315,0.0,,,6.315,4.608,10.923,0.0,,10.923,10.923,,1015.616032,0.010625,0.010625,0.010625,1015.616032,0.010625,0.010625,0.010625,
12/31/1995,146.602997,,,-85.055,,61.547997,,-59.000999,,,,2.547,7.185,,0.692,,,0.0,,-7.877,9.732,-3.933,5.799,0.0,,,5.799,4.315,10.114,0.0,,10.114,10.114,,1107.008064,0.009375,0.009375,0.009375,1107.008064,0.009375,0.009375,0.009375,
