Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/30/1990,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,-1.092,,,-1.092,-1.092,,5.099999,-0.2,-0.2,,5.099999,-0.2,-0.2,-0.2,
03/31/1991,0.0,,,-1.489,,-1.489,,-0.408,,,,-1.897,0.094,,0.012,,0.0,-0.106,-1.803,0.0,-1.803,0.0,,,-1.803,0.0,-1.803,0.0,,-1.803,-1.803,,5.727,-0.31,-0.31,,5.727,-0.31,-0.31,-0.31,
06/30/1991,5.039999,,,-1.788,,3.251999,,-0.504,,,,2.748,0.609,,0.009,,0.0,-0.618,3.357,0.0,3.357,0.0,,,3.357,0.0,3.357,0.0,,3.357,3.357,,8.748,0.38,0.38,,8.748,0.38,0.38,0.38,
09/30/1991,0.0,,,-1.905,,-1.905,,-0.62,,,,-2.525,0.966,,0.009,,0.0,-0.975,-1.559,0.0,-1.559,0.0,,,-1.559,0.0,-1.559,0.0,,-1.559,-1.559,,8.619999,-0.18,-0.18,,8.619999,-0.18,-0.18,-0.18,
12/31/1991,0.0,,,-2.533,,-2.533,,-0.449,,,,-2.982,1.026,,0.005,,0.0,-1.031,-1.956,0.0,-1.956,0.0,,,-1.956,0.0,-1.956,0.0,,-1.956,-1.956,,7.244,-0.27,-0.27,-0.27,7.244,-0.27,-0.27,-0.27,
03/31/1992,0.0,,,-3.252,,-3.252,,-0.623,,,,-3.875,0.877,,0.0,,0.0,-0.877,-2.998,0.0,-2.998,0.0,,,-2.998,0.0,-2.998,0.0,,-2.998,-2.998,,8.855,-0.34,-0.34,,8.855,-0.34,-0.34,-0.34,
06/30/1992,4.0,,,-3.455,,0.545,,-0.745,,,,-0.2,0.81,,0.0,,0.0,-0.81,0.61,0.0,0.61,0.0,,,0.61,0.0,0.61,0.0,,0.61,0.61,,9.814,0.06,0.06,,9.814,0.06,0.06,0.06,
09/30/1992,1.93,,,-3.711,,-1.781,,-0.805,,,,-2.586,0.814,,0.0,,0.0,-0.814,-1.772,0.0,-1.772,0.0,,,-1.772,0.0,-1.772,0.0,,-1.772,-1.772,,8.915,-0.2,-0.2,,8.915,-0.2,-0.2,-0.2,
12/31/1992,3.127,,,-5.853,,-2.726,,-0.87,,,,-3.596,0.601,,0.212,,0.0,-0.813,-2.995,0.0,-2.995,0.0,,,-2.995,0.0,-2.995,0.0,,-2.995,-2.995,,9.0035,-0.32,-0.32,-0.32,9.0035,-0.32,-0.32,-0.32,
03/31/1993,1.975,,,-7.384,,-5.409,,-0.976,,,,-6.385,0.559,,0.152,,0.0,-0.711,-5.826,0.0,-5.826,0.0,,,-5.826,0.0,-5.826,0.0,,-5.826,-5.826,,9.103,-0.64,-0.64,,9.103,-0.64,-0.64,-0.64,
