Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net",LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
06/30/2001,45591.5,16053.20044,1685.800049,14367.400391,796.900024,,,,,,,,2518.399902,,,,,19368.5,366.100006,3664.600098,,22192.300781,7488.899902,,,14703.400879,26223.000885,,3163.5,3163.5,,,,490.399994,,,,,4755.399811,,,4755.399811,8409.299805,1595.0,,,,25529.099609,,,,,,25529.099609,27124.099609,35533.399414,,3874.5,,,,,6183.600098,10058.100098,,10058.100098,45591.499512,
09/30/2001,44508.5,15887.400024,1611.400024,14276.0,755.900024,,,,,,,,2506.0,,,,,19149.300781,349.5,3665.399902,,21344.300781,7387.299805,,,13957.000976,25359.200683,,3025.100098,3025.100098,,,,222.800003,,,,,4884.099899,,,4884.099899,8132.0,1595.199951,,,,24674.900391,,,,,,24674.900391,26270.100342,34402.100342,,3888.699951,,,,,6217.700195,10106.400146,,10106.400146,44508.500488,
12/31/2001,43255.101562,15658.29956,1398.199951,14260.099609,604.900024,,,,,,,,2488.0,,,,,18751.199219,327.0,3463.399902,,20713.5,7286.799805,6583.799805,703.0,13426.700195,24503.899902,,2986.699951,2986.699951,,,,109.699997,,,,,5042.20015,,,5042.20015,8138.600098,1591.300049,,,,23634.900391,,,,,,23634.900391,25226.20044,33364.800538,,3913.800049,,,,,5976.5,9890.300049,,9890.300049,43255.100587,
03/31/2002,39599.699219,15340.600219,1559.400024,13781.200195,895.400024,,,,,,,,1878.0,,,,,18114.0,308.5,3641.600098,,17535.599609,4246.899902,3618.399902,628.5,13288.699707,21485.699707,,2627.300049,2627.300049,,,,,,,,,4765.800049,,,4765.800049,7393.100098,1590.300049,,,,23588.5,,,,,,23588.5,25178.800049,32571.900147,,3952.199951,,,,,3075.600098,7027.800049,,7027.800049,39599.700196,
06/30/2002,39060.101562,16165.199829,1375.400024,14789.799805,897.0,,,,,,,,1206.699951,,,,,18268.900391,292.100006,3703.199951,,16795.900391,4197.799805,3618.399902,579.399903,12598.100586,20791.200348,,2413.100098,2413.100098,,,,,,,,,4820.299804,,,4820.299804,7233.399902,1603.0,,,,22876.5,,,,,,22876.5,24479.5,31712.899902,,4077.600098,,,,,3269.600098,7347.200196,,7347.200196,39060.100098,
09/30/2002,39166.0,15541.900146,1834.199951,13707.700195,911.400024,,,,,,,,2466.800049,,,,,18920.099609,285.5,3612.399902,,16348.0,4177.799805,3618.399902,559.399903,12170.200195,20245.899902,,2265.300049,2265.300049,,,,,,,,,5169.400146,,,5169.400146,7434.700195,1623.300049,,,,22478.900391,,,,,,22478.900391,24102.20044,31536.900635,,4097.0,,,,,3532.100098,7629.100098,,7629.100098,39166.000733,
12/31/2002,40047.5,16174.400024,1802.900024,14371.5,678.200012,,,,,,,,2606.699951,,,,,19459.300781,244.800003,3578.600098,,16764.800781,4165.299805,3618.399902,546.899903,12599.500976,20588.200882,,2194.100098,2194.100098,,,,,,,,,5524.699707,,,5524.699707,7718.799805,1633.199951,,,,23715.5,,,,,,23715.5,25348.699951,33067.499756,,3600.5,,,,3379.5,0.0,6980.0,,6980.0,40047.499756,
03/31/2003,40230.0,16425.400024,1923.400024,14502.0,919.5,,,,,,,,2185.5,,,,,19530.400391,230.800003,3414.199951,,17054.599609,4849.600098,3618.399902,1231.200196,12204.999511,20699.599563,,1961.599976,1961.599976,,,,,,,,,5636.299926,,,5636.299926,7597.899902,1633.199951,,,,23626.599609,,,,,,23626.599609,25259.79956,32857.699462,,4113.700195,,,,,3258.600098,7372.300293,,7372.300293,40229.999755,
06/30/2003,40578.1875,16676.898438,1866.5,14810.398438,681.299805,,,,,,,,2306.699219,,,,,19664.890625,226.899902,3417.0,,17269.390625,4139.898438,3618.398438,521.5,13129.492187,20913.290527,,1904.399414,1904.399414,,,,,,,,,5434.600586,,,5434.600586,7339.0,1640.399414,,,,23901.6875,,,,,,23901.6875,25542.086914,32881.086914,,4162.898438,,,,3847.898438,-313.699219,7697.097657,,7697.097657,40578.184571,
09/30/2003,41055.300781,16717.800049,1780.300049,14937.5,737.200012,,,,,,,,2461.800049,,,,,19916.800781,274.299988,3257.199951,,17607.0,4127.200195,3618.399902,508.800293,13479.799805,21138.499939,,1899.0,1899.0,,,,,,,,,5945.100098,,,5945.100098,7844.100098,1626.699951,,,,23892.5,,,,,,23892.5,25519.199951,33363.300049,,4058.600098,,,,4057.699951,-424.300049,7692.0,,7692.0,41055.300049,
