Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
08/31/1989,37.757999,,-11.871,,25.886999,,-16.798,,,,,9.089,0.883,,,,,,-0.883,9.972,-3.458,,,,6.514,0.0,,,6.514,0.0,6.514,0.0,,6.514,6.514,,249.353994,0.026667,0.026667,,249.353994,0.026667,0.026667,0.026667,
11/30/1989,38.174,,-11.971,,26.203,,-16.551001,,,,,9.652,0.7,,,,,,-0.7,10.352,-3.408,,,,6.944,0.0,,,6.944,0.0,6.944,0.0,,6.944,6.944,,249.651003,0.027778,0.027778,,249.651003,0.027778,0.027778,0.027778,
02/28/1990,41.308998,,-12.909,,28.399998,,-17.801001,,,,,10.599,0.973,,,,,,-0.973,11.572,-3.784,,,,7.788,0.0,,,7.788,0.0,7.788,0.0,,7.788,7.788,,249.840002,0.031111,0.031111,,249.840002,0.031111,0.031111,0.031111,
05/31/1990,45.138,,-14.677,,30.461,,-19.684999,,,,,10.776,1.156,,0.366,,,,-1.522,11.932,-3.245,,,,8.687,0.0,,,8.687,0.0,8.687,0.0,,8.687,8.687,,248.822991,0.034444,0.034444,0.034444,248.822991,0.034444,0.034444,0.034444,
08/31/1990,46.110001,,-14.33,,31.780001,,-19.775999,,,,,12.004,0.962,,,,,,-0.962,12.966,-4.17,,,,8.796,0.0,,,8.796,0.0,8.796,0.0,,8.796,8.796,,250.982992,0.035556,0.035556,,250.982992,0.035556,0.035556,0.035556,
11/30/1990,48.960999,,-13.943,,35.017999,,-21.872,,,,,13.146,1.188,,,,,,-1.188,14.334,-4.816,,,,9.518,0.0,,,9.518,0.0,9.518,0.0,,9.518,9.518,,251.261993,0.037778,0.037778,,251.261993,0.037778,0.037778,0.037778,
02/28/1991,53.317001,,-16.434999,,36.882002,,-23.552999,,,,,13.329,1.396,,,,,,-1.396,14.725001,-4.807,,,,9.918,0.0,,,9.918,0.0,9.918,0.0,,9.918,9.918,,251.491505,0.04,0.04,,251.491505,0.04,0.04,0.04,
05/31/1991,61.301998,,-18.944,,42.357998,,-27.882999,,,,,14.475,2.587,,,,,,-2.587,17.062,-5.333,,,,11.242,0.0,,,11.729,0.0,11.242,0.0,,11.242,11.242,,252.648005,0.044444,0.044444,0.044444,252.648005,0.044444,0.044444,0.044444,
08/31/1991,63.43,,-19.364,,44.066,,-27.577,,,,,16.489,1.204,,,,,,-1.204,17.693,-6.0,,,,11.693,0.0,,,11.693,0.0,11.693,0.0,,11.693,11.693,,253.286997,0.045556,0.045556,,253.286997,0.045556,0.045556,0.045556,
11/30/1991,66.119003,,-20.754999,,45.364004,,-28.934,,,,,16.43,1.704,,,,,,-1.704,18.134,-5.749,,,,12.385,0.0,,,12.385,0.0,12.385,0.0,,12.385,12.385,,253.651503,0.048889,0.048889,,253.651503,0.048889,0.048889,0.048889,
02/29/1992,69.224998,,-21.003,,48.221998,,-30.620001,,,,,17.601999,2.014,,,,,,-2.014,19.615999,-6.441,,,,13.175,0.0,,,13.174999,0.0,13.175,0.0,,13.175,13.175,,253.966501,0.053333,0.053333,,253.966501,0.053333,0.053333,0.053333,
05/31/1992,76.021004,,-24.535,,51.486004,,-32.183998,,,,,19.302,2.594,,,,,,-2.594,21.896,-6.512,,,,14.556,0.0,,,15.384,0.0,14.556,0.0,,14.556,14.556,,255.104993,0.057778,0.057778,0.057778,255.104993,0.057778,0.057778,0.057778,
08/31/1992,78.129997,,-24.339001,,53.790997,,-33.442001,,,,,20.349001,1.246,,,,,,-1.246,21.595001,-6.992,,,,14.603,0.0,,,14.603001,0.0,14.603,0.0,,14.603,14.603,,257.926506,0.057778,0.057778,,257.926506,0.057778,0.057778,0.057778,
11/30/1992,82.424004,,-26.087999,,56.336004,,-34.137001,,,,,22.198999,0.994,,,,,,-0.994,23.192999,-7.319,,,,15.874,0.0,,,15.874,0.0,15.874,0.0,,15.874,15.874,,258.162746,0.062222,0.062222,,258.162746,0.062222,0.062222,0.062222,
02/28/1993,84.050003,,-26.403999,,57.646004,,-35.187,,,,,22.459,0.95,,,,,,-0.95,23.409,-7.377,,,,16.032,0.0,,,16.032,0.0,16.032,0.0,,16.032,16.032,,258.380997,0.062222,0.062222,,258.380997,0.062222,0.062222,0.062222,
05/31/1993,90.768997,,-27.91,,62.858997,,-37.398998,,,,,25.459999,0.615,,,,0.0,,-0.615,26.074999,-8.623,,,,17.452,0.0,,,17.451999,0.0,17.452,0.0,,17.452,17.452,,259.24162,0.066667,0.066667,0.066667,259.24162,0.066667,0.066667,0.066667,
08/31/1993,86.892998,,-26.969999,,59.922998,,-37.300999,,,,,22.622,0.752,,,,0.0,,-0.752,23.374,-8.043,,,,15.331,0.0,,,15.330999,0.0,15.331,0.0,,15.331,15.331,,259.557753,0.057778,0.057778,,259.557753,0.057778,0.057778,0.057778,
