Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Other Investment (Inc) Loss,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,997.710999,,,-858.257996,,,139.453003,,-179.468002,,,-40.014999,-7.847,,10.631,,,,-2.784,-47.861999,13.976,-33.886002,0.0,,,-33.885999,0.0,-33.886002,-3.188,,-37.074002,-37.074002,,34.983002,-1.06,-1.06,,34.983002,-1.06,-1.06,-1.06,
06/30/1990,1044.243042,,,-863.817017,,,180.426025,,-171.216995,,,9.209,-10.85,,10.571,,,,0.279,-1.641,-1.952,-3.593,0.0,,,-3.593001,0.0,-3.593,-3.187,,-6.78,-6.78,,34.985001,-0.19,-0.19,,34.985001,-0.19,-0.19,-0.19,
09/30/1990,1078.706055,,,-875.88501,,,202.821045,,-175.459,,,27.362,-8.028,,9.376,,,,-1.348,19.333999,-7.959,11.375,0.0,,,11.374999,0.0,11.375,-3.187,,8.188,8.188,,34.990002,0.23,0.23,,34.990002,0.23,0.23,0.23,
12/31/1990,1087.866943,,,-932.43103,,,155.435913,,-145.947998,,,9.488,-11.997,,9.6,,,,2.397,-2.509,0.632,-1.877,0.0,,,-1.877,0.0,-1.877,-3.184,,-5.061,-5.061,,34.993999,-0.14,-0.14,-0.14,34.993999,-0.14,-0.14,-0.14,
03/31/1991,1046.483032,,,-881.539978,,,164.943054,,-166.488007,,,-1.545,-10.823,,11.422,,,,-0.599,-12.368,1.275,-11.093,0.0,,,-11.093,0.0,-11.093,-3.181,,-14.274,-14.274,,35.004002,-0.41,-0.41,,35.004002,-0.41,-0.41,-0.41,
06/30/1991,1013.072998,,,-854.021973,,,159.051025,,-156.483002,,,2.568,-11.015,,11.472,,,,-0.457,-8.447,1.411,-7.036,0.0,,,-7.036,0.0,-7.036,-3.175,,-10.211,-10.211,,35.014999,-0.29,-0.29,,35.014999,-0.29,-0.29,-0.29,
09/30/1991,1016.366028,,,-866.969971,,,149.396057,,-154.162994,,,-4.767,-11.806,,11.745,,,,0.061,-16.573,1.015,-15.558,0.0,,,-15.558,0.0,-15.558,-3.171,,-18.729,-18.729,,35.037998,-0.53,-0.53,,35.037998,-0.53,-0.53,-0.53,
12/31/1991,1006.335022,,,-853.776001,,,152.559021,,-147.078995,,,5.48,-11.429,,12.064,,,,-0.635,-5.949,-0.785,-6.734,0.0,,,-6.734,0.0,-6.734,-3.164,,-9.898,-9.898,,35.0765,-0.28,-0.28,-0.28,35.0765,-0.28,-0.28,-0.28,
03/31/1992,990.627014,,,-835.594971,,,155.032043,,-143.938995,,,11.093,-12.745,,11.65,,,,1.095,-1.651999,0.833,-0.819,69.991001,,,-70.81,0.0,-70.809998,-2.53,,-73.339998,-73.339998,,35.131001,-2.09,-0.1,,35.131001,-2.09,-0.1,-0.1,
06/30/1992,1002.767029,,,-814.340027,,,188.427002,,-172.220993,,,16.205999,-10.918,,11.14,,,,-0.222,5.287999,4.51,9.798,7.428,,,2.369999,0.0,2.37,-4.865,,-2.495,-2.495,,35.200001,-0.07,0.14,,35.200001,-0.07,0.14,0.14,
09/30/1992,1037.843018,,,-847.687988,,,190.15503,,-172.335999,,,17.819,-9.485,,8.296,,,,1.189,8.334,-6.771,1.563,0.0,,,1.563,0.0,1.563,-4.832,,-3.269,-3.269,,35.214001,-0.09,-0.09,,1.563,-0.09,-0.09,-0.09,
12/31/1992,1024.352051,,,-947.804016,,,76.548035,,-73.084999,,,3.463,-26.165999,,7.807,,,,18.358999,-22.702999,8.505,-14.198,0.0,,,-14.197999,0.0,-14.198,-4.426,,-18.624,-18.624,,35.238297,-0.53,-0.53,-0.53,35.238297,-0.53,-0.53,-0.53,
03/31/1993,992.981018,,,-843.369995,,,149.611023,,-128.261002,,,21.35,-5.869,,7.707,,,,-1.838,15.481001,-7.213,8.268,0.0,,,8.268001,0.0,8.268,-4.749,,3.519,3.519,,35.360001,0.09,0.09,,35.360001,0.09,0.09,0.09,
06/30/1993,1020.223999,,,-828.559021,,,191.664978,,-166.350006,,,25.315001,-8.378,,7.921,,,,0.457,16.937001,-8.545,8.392,0.0,,,8.392,0.0,8.392,-4.747,,3.645,3.645,,35.402,0.1,0.1,,35.402,0.1,0.1,0.1,
09/30/1993,1067.003052,,,-862.038025,,,204.965027,,-166.516998,,,38.448002,-6.77,,7.845,,,,-1.075,31.678002,-14.599,17.079,0.0,,,17.079002,0.0,17.079,-4.697,,12.382,12.382,,35.432411,0.35,0.35,,35.432411,0.35,0.35,0.35,
12/31/1993,1111.603027,,,-1009.664978,,,101.938049,,-66.893997,,,35.043999,-7.699,,6.86,,,,0.839,27.344999,-10.51,16.834999,0.0,,,16.834999,0.0,16.834999,-4.777,,12.057999,12.057999,,36.520569,0.33,0.33,0.33,36.520569,0.33,0.33,0.33,
03/31/1994,1103.220947,,,-930.323975,,,172.896973,,-137.412994,,,35.484001,-6.726,,6.876,,,,-0.15,28.758001,-13.502,15.256,0.0,,,15.256001,0.0,15.256,-4.734,,10.521999,10.521999,,37.159641,0.28,0.28,,37.159641,0.28,0.28,0.28,
06/30/1994,1059.775024,,,-866.968994,,,192.80603,,-174.834,,,17.972,-7.167,,6.783,,,0.0,0.384,10.805,-5.598,5.207,0.0,,,5.207,0.0,5.207,-4.763,,0.444,0.444,,37.314468,0.01,0.01,,37.314468,0.01,0.01,0.01,
09/30/1994,1236.483032,,,-1040.331055,,,196.151978,,-147.787003,,,48.365002,-6.452,,7.206,,,0.0,-0.754,41.913002,-21.632,20.281,5.522,,,14.759002,0.0,14.759,-4.768,,9.991,9.991,,37.219002,0.27,0.42,,37.219002,0.27,0.42,0.42,
12/31/1994,1281.0,,,-1120.250977,,,160.749023,,-120.335999,,,40.412998,-9.969,,7.08,,,0.0,2.889,30.443998,-10.893,19.551001,0.0,,,19.550998,0.0,19.551001,-4.798,,14.753001,14.753001,,37.099998,0.4,0.4,0.4,37.099998,0.4,0.4,0.4,
