Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Depreciation & Amortization,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
12/31/1989,50.635998,,,,,,,,,,,,,,50.635998,,,,,,,,,,,,50.635998,,,,,,1.74,,,1.74,1.74,,175.131988,0.01,0.01,,175.131988,0.01,0.01,0.01,
03/31/1990,61.280998,,,-30.188999,,,31.091999,,-16.063,,,,,,15.029,0.764,,4.363,,,,-5.127,15.793,-5.382,,,10.411,,,,10.411,,10.411,,,10.411,10.411,,175.619996,0.06,0.06,,175.619996,0.06,0.06,0.06,
06/30/1990,43.639,,,-30.308001,,,13.330999,,-8.979,,,,,,4.352,-2.063,,4.703,,,,-2.64,2.289,-0.485,,,1.804,,,,1.804,,1.804,,,1.804,1.804,,175.796005,0.01,0.01,,175.796005,0.01,0.01,0.01,
09/30/1990,48.131001,,,-27.149,,,20.982,,-14.039,,,,,,6.943,1.615,,4.427,,,,-6.042,8.558,-2.898,,,5.66,,,,5.66,,5.66,,,5.66,5.66,,176.003998,0.0325,0.0325,,176.003998,0.0325,0.0325,0.0325,
12/31/1990,69.806999,,,-35.367001,,,34.439998,,-21.068001,,,,,,13.372,2.077,,4.452,,,,-6.529,15.449,-4.77,,,10.679,,,,10.679,,10.679,,,10.679,10.679,,176.339996,0.06,0.06,,176.339996,0.06,0.06,0.06,
04/01/1991,58.577,,,-30.584999,,,27.992001,,-22.601999,,,,,,5.39,8.161,,4.71,,,,-12.871,13.551,-4.612,,,8.939,,,,8.939,,8.939,,,8.939,8.939,,176.404008,0.05,0.05,,176.404008,0.05,0.05,0.05,
07/01/1991,48.695,,,-31.027,,,17.667999,,-11.492,,,,,,6.176,-0.155,,4.625,,,,-4.47,6.021,-2.052,,,3.969,,,,3.969,,3.969,,,3.969,3.969,,176.5,0.0225,0.0225,,176.5,0.0225,0.0225,0.0225,
10/01/1991,51.323002,,,-37.703999,,,13.619003,,-9.786,,,,,,3.833,-2.287,,4.782,,,,-2.495,1.546,-0.534,,,1.012,,,,1.012,,1.012,,,1.012,1.012,,176.507996,0.005,0.005,,176.507996,0.005,0.005,0.005,
12/31/1991,67.858002,,,-40.758999,,,27.099003,,-18.797001,,,,,,8.302,-0.82,,4.948,,,,-4.128,7.482,-2.094,,,5.388,,,,5.388,,5.388,,,5.388,5.388,,176.744004,0.0325,0.0325,,176.744004,0.0325,0.0325,0.0325,
03/31/1992,56.887001,,,-40.709,,,16.178001,,-12.366,,,,,,3.812,0.042,,4.602,,,,-4.644,3.854,-1.303,,,2.551,,,,2.551,,2.551,,,2.551,2.551,,176.796004,0.015,0.015,,176.796004,0.015,0.015,0.015,
06/30/1992,61.307999,,,-43.506001,,,17.801998,,-12.219,,,,,,5.583,30.832998,,4.802,,,,-35.634998,36.415998,-12.33,,,24.086,,,,24.085999,,24.086,,,24.086,24.086,,176.815994,0.135,0.135,,176.815994,0.135,0.135,0.135,
09/30/1992,67.685997,,,-39.868,,,27.817997,,-14.325,,,,,,13.493,-4.081,,4.888,,,,-0.807,9.412,-2.893,,,6.519,,,,6.519,,6.519,,,6.519,6.519,,177.451996,0.0375,0.0375,,177.451996,0.0375,0.0375,0.0375,
12/31/1992,73.884003,,,-39.106998,,,34.777005,,-21.138,,,,,,13.639,-1.999,,4.93,,0.0,,-2.931,11.64,-3.556,,,8.084,0.0,,,8.084,0.0,8.083,0.0,,8.083,8.083,,182.387984,0.045,0.045,0.045,182.387984,0.045,0.045,0.045,
03/31/1993,66.888,,,-39.096001,,,27.792,,-18.931,,,,,,8.861,-1.88,,4.846,,0.0,,-2.966,6.981,-2.493,,,4.488,0.0,,,4.488,0.0,4.488,0.0,,4.488,4.488,,178.627991,0.025,0.025,,178.627991,0.025,0.025,0.025,
06/30/1993,64.128998,,,-40.324001,,,23.804996,,-16.093,,,,,,7.712,-1.592,,3.79,,0.0,,-2.198,6.12,-2.118,,,4.002,0.0,,,4.002,0.0,4.002,0.0,,4.002,4.002,,191.779999,0.02,0.02,,191.779999,0.02,0.02,0.02,
09/30/1993,63.355999,,,-48.016998,,,15.339001,,-6.964,,,,,,8.375,0.145,,0.845,,0.0,,-0.99,8.52,-4.255,,,4.265,0.0,,,4.265,0.0,4.265,0.0,,4.265,4.265,,199.432007,0.0225,0.0225,,199.432007,0.0225,0.0225,0.0225,
12/31/1993,83.630997,,,-54.888,,,28.742997,,-26.268999,,,,,,2.474,-3.436,,5.861,,0.0,,-2.425,-0.962,0.832,,,-0.13,0.0,,,-0.13,0.0,-0.13,0.0,,-0.13,-0.13,,199.731996,-0.0025,-0.0025,-0.0025,199.731996,-0.0025,-0.0025,-0.0025,
03/31/1994,80.902,,,-51.763,,,29.139,,-13.228,,,,,,15.911,-2.933,,5.572,,0.0,,-2.639,12.978,-4.561,,,8.417,0.0,,,8.417,0.0,8.417,0.0,,8.417,8.417,,199.764008,0.0425,0.0425,,199.764008,0.0425,0.0425,0.0425,
06/30/1994,89.475998,,,-57.558998,,,31.917,,-23.193001,,,,,,8.724,-1.976,,4.532,,0.0,,-2.556,6.748,-2.371,,,4.377,0.0,,,4.377,0.0,4.377,0.0,,4.377,4.377,,199.820007,0.0225,0.0225,,199.820007,0.0225,0.0225,0.0225,
09/30/1994,95.738998,,,-82.420998,,,13.318001,,-8.445,,,,,,4.873,-1.713,,3.415,,0.0,,-1.702,3.16,-1.109,,,2.051,0.0,,,2.051,0.0,2.051,0.0,,2.051,2.051,,199.927994,0.01,0.01,,199.927994,0.01,0.01,0.01,
