Date,Revenue From Electric,Revenue from Gas,Revenue from Water,Other Revenue,Revenue,Electric Production Fuel Cost,Purchased Power Cost,Purchased Gas/Water Cost,Fuel Expense & Purchased Power,Maintenance Expenses,Depreciation Expense,Taxes Other Than Income Taxes,Other Operating Expense,"Depreciation, Operating & Maintenance",Operating Income or Losses,AFUDC - Equity,Net Non-Operating Losses (Gains),Interest Expenses on Bonds,AFUDC - Debts,Other Interest Expenses,Total Interest Expense,Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Other Adjustments,Net Income Available to Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,0,407.029999,0,0.0,407.029999,0.0,0.0,-224.873993,-224.873993,-6.947,-12.752,-47.985001,-43.174999,-110.859001,71.296997,0.517,2.336,-9.29,0,-2.248,-11.538,62.611997,-23.448999,39.162998,0.0,0,39.162998,-0.542,,38.620998,,,38.620998,1.18,1.18,1.18,32.630001,1.18,1.18,1.18,32.630001,
03/31/1990,0,457.151001,0,0.0,457.151001,0.0,0.0,-262.436005,-262.436005,-7.695,-13.856,-54.353001,-45.729,-121.633003,73.082001,0.058,2.386,-9.195,0,-2.143,-11.338,64.188,-24.024,40.164001,0.0,0,40.164001,-0.532,,39.632001,,,39.632,1.22,1.22,1.22,32.672001,1.22,1.22,1.22,32.672001,
06/30/1990,0,203.167007,0,0.0,203.167007,0.0,0.0,-91.352997,-91.352997,-8.668,-14.147,-28.183001,-40.890999,-91.889,19.924999,0.062,3.661,-9.086,0,-1.127,-10.213,13.434999,-4.395,9.04,0.0,0,9.04,-0.532,,8.508,,,8.507999,0.26,0.26,0.26,32.692001,0.26,0.26,0.26,32.692001,
09/30/1990,0,97.82,0,0.0,97.82,0.0,0.0,-41.417999,-41.417999,-10.8,-14.059,-16.586,-39.826,-81.271004,-24.868999,0.068,4.242,-11.478,0,-1.223,-12.701,-33.26,14.548,-18.712,0.0,0,-18.712,-0.533,,-19.245,,,-19.244999,-0.59,-0.59,-0.59,32.694,-0.59,-0.59,-0.59,32.694,
12/31/1990,0,332.178009,0,0.0,332.178009,0.0,0.0,-175.688004,-175.688004,-8.327,-13.837,-38.487,-42.931,-103.582001,52.908001,0.011,2.879,-10.538,0,-1.836,-12.374,43.424001,-15.865,27.559,0.0,0,27.559,-0.394,,27.165,,,27.165002,0.83,0.83,0.83,32.721001,0.83,0.83,0.83,32.721001,
03/31/1991,0,489.493988,0,0.0,489.493988,0.0,0.0,-276.384003,-276.384003,-8.286,-14.625,-58.423,-42.368,-123.702003,89.407997,0.016,1.958,-11.001,0,-1.555,-12.556,78.825997,-29.518,49.307999,0.0,0,49.307999,-0.383,,48.924999,,,48.924998,1.5,1.5,1.5,32.736,1.5,1.5,1.5,32.736,
06/30/1991,0,170.817001,0,0.0,170.817001,0.0,0.0,-71.731003,-71.731003,-10.15,-12.794,-23.891001,-41.341999,-88.177002,10.909,0.126,3.11,-10.917,0,-0.887,-11.804,2.341,0.171,2.512,0.0,0,2.512,-0.383,,2.129,,,2.129,0.07,0.07,0.07,32.747002,0.07,0.07,0.07,32.747002,
09/30/1991,0,111.213997,0,0.0,111.213997,0.0,0.0,-41.096001,-41.096001,-9.967,-14.141,-17.434,-41.806999,-83.348999,-13.231,-0.032,3.66,-10.668,0,-0.833,-11.501,-21.104,10.243,-10.861,0.0,0,-10.861,-0.383,,-11.244,,,-11.244,-0.35,-0.35,-0.35,32.759998,-0.35,-0.35,-0.35,32.759998,
12/31/1991,0,345.971008,0,0.0,345.971008,0.0,0.0,-174.977005,-174.977005,-8.496,-13.556,-42.153999,-46.223,-110.429001,60.564999,0.0,1.377,-10.508,0,-1.691,-12.199,49.742998,-18.648001,31.094999,0.0,0,31.094999,-0.302,,30.792999,,,30.792998,0.94,0.94,0.94,32.782001,0.94,0.94,0.94,32.782001,
03/31/1992,0,436.770996,0,0.0,436.770996,0.0,0.0,-228.369003,-228.369003,-9.371,-14.6,-52.834,-50.455002,-127.260002,81.141998,0.0,1.691,-10.558,0,-1.269,-11.827,71.005999,-26.589001,44.417,0.0,0,44.417,-0.312,,44.105,,,44.104998,1.29,1.29,1.29,34.261002,1.29,1.29,1.29,34.261002,
06/30/1992,0,199.738007,0,0.0,199.738007,0.0,0.0,-85.223,-85.223,-9.16,-15.092,-26.885,-45.084,-96.221001,18.294001,0.0,6.268,-10.696,0,-0.73,-11.426,13.136001,-2.32,10.816,0.0,0,10.816,-0.302,,10.514,,,10.514001,0.3,0.3,0.3,34.757,0.3,0.3,0.3,34.757,
09/30/1992,0,114.272003,0,0.0,114.272003,0.0,0.0,-43.276001,-43.276001,-9.799,-14.099,-16.649,-49.601002,-90.148003,-19.152,0.216,1.314,-10.431,0,-0.659,-11.09,-28.712,13.986,-14.726,0.0,0,-14.726,-0.302,,-15.028,,,-15.028,-0.43,-0.43,-0.43,34.77,-0.43,-0.43,-0.43,34.77,
12/31/1992,0,376.126007,0,0.0,376.126007,0.0,0.0,-197.313995,-197.313995,-7.98,-14.498,-43.974998,-52.655998,-119.109001,59.702999,0.0,1.502,-10.378,0,-1.322,-11.7,49.504999,-18.215,31.290001,0.0,0,31.290001,-0.231,,31.059001,,,31.058999,0.89,0.89,0.89,34.792999,0.89,0.89,0.89,34.792999,
03/31/1993,0,522.455017,0,0.0,522.455017,0.0,0.0,-291.446991,-291.446991,-8.6,-15.246,-60.757999,-55.701,-140.304993,90.703003,0.0,1.449,-10.48,0,-0.867,-11.347,80.805003,-29.941,50.863998,0.0,0,50.863998,-0.221,,50.642998,,,50.643003,1.45,1.45,1.45,34.807999,1.45,1.45,1.45,34.807999,
06/30/1993,0,224.302994,0,0.0,224.302994,0.0,0.0,-103.679001,-103.679001,-8.911,-15.24,-29.218,-51.764999,-105.134003,15.49,0.0,1.805,-10.996,0,-0.32,-11.316,5.979,-0.892,5.087,0.0,0,5.087,-0.196,,4.891,,,4.891,0.14,0.14,0.14,34.814999,0.14,0.14,0.14,34.814999,
09/30/1993,0,136.057007,0,0.0,136.057007,0.0,0.0,-53.910999,-53.910999,-10.201,-15.823,-18.441,-52.967999,-97.432999,-15.287,0.0,1.481,-10.387,0,-0.436,-10.823,-24.629,11.482,-13.147,0.0,0,-13.147,-0.071,,-13.218,,,-13.218,-0.38,-0.38,-0.38,34.801998,-0.38,-0.38,-0.38,34.801998,
12/31/1993,0,379.282013,0,0.0,379.282013,0.0,0.0,-201.701996,-201.701996,-8.402,-15.225,-43.977001,-54.224998,-121.829002,55.750999,0.0,12.254,-10.419,0,-1.445,-11.864,56.140999,-17.153,38.987999,0.0,0,38.987999,0.0,,38.987999,,,38.987999,1.12,1.12,1.12,34.839001,1.12,1.12,1.12,34.839001,
03/31/1994,0,574.593018,0,0.0,574.593018,0.0,0.0,-334.458008,-334.458008,-9.722,-16.218,-65.709999,-59.733002,-151.382996,88.751999,0.0,2.367,-11.542,0,-0.855,-12.397,78.721999,-30.318001,48.403999,0.0,0,48.403999,0.0,,48.403999,,,48.403998,1.39,1.39,1.39,34.851002,1.39,1.39,1.39,34.851002,
06/30/1994,0,206.791,0,0.0,206.791,0.0,0.0,-92.822998,-92.822998,-9.853,-16.643,-26.864,-48.904999,-102.264999,11.703,0.0,2.956,-11.542,0,-0.37,-11.912,2.747,-0.143,2.604,0.0,0,2.604,0.0,,2.604,,,2.604,0.07,0.07,0.07,34.859001,0.07,0.07,0.07,34.859001,
09/30/1994,0,118.821999,0,0.0,118.821999,0.0,0.0,-40.056,-40.056,-9.97,-16.598,-16.632999,-57.902,-101.102997,-22.337,0.0,3.062,-11.541,0,-0.342,-11.883,-31.158,15.561,-15.597,0.0,0,-15.597,0.0,,-15.597,,,-15.597,-0.45,-0.45,-0.45,34.869999,-0.45,-0.45,-0.45,34.869999,
12/31/1994,0,307.122986,0,0.0,307.122986,0.0,0.0,-146.087006,-146.087006,-9.422,-16.518,-36.261002,-48.723999,-110.925003,50.111,0.0,1.832,-11.551,0,-1.375,-12.926,39.017,-13.89,25.127001,0.0,0,25.127001,0.0,,25.127001,,,25.127,0.72,0.72,0.72,34.886002,0.72,0.72,0.72,34.886002,
03/31/1995,0,424.385986,0,0.0,424.385986,0.0,0.0,-211.033997,-211.033997,-10.441,-16.836,-51.777,-49.675999,-128.729996,84.622002,0.0,2.203,-11.653,0,-1.996,-13.649,73.176002,-27.357,45.819,0.0,0,45.819,0.0,,45.819,,,45.819001,1.31,1.31,1.31,34.898998,1.31,1.31,1.31,34.898998,
06/30/1995,0,187.186996,0,0.0,187.186996,0.0,0.0,-68.681999,-68.681999,-10.848,-16.124001,-26.195999,-49.212002,-102.379997,16.125,0.0,3.595,-11.663,0,-2.306,-13.969,5.751,-1.188,4.563,0.0,0,4.563,0.0,,4.563,,,4.563,0.13,0.13,0.13,34.905998,0.13,0.13,0.13,34.905998,
09/30/1995,0,114.705002,0,0.0,114.705002,0.0,0.0,-31.632999,-31.632999,-11.02,-16.93,-17.186001,-51.483002,-96.619003,-13.547,0.0,3.639,-11.546,0,-1.78,-13.326,-23.234,9.879,-13.355,0.0,0,-13.355,0.0,,-13.355,,,-13.355,-0.38,-0.38,-0.38,34.912998,-0.38,-0.38,-0.38,34.912998,
12/31/1995,0,317.605011,0,0.0,317.605011,0.0,0.0,-129.871002,-129.871002,-10.055,-16.655001,-38.838001,-54.129002,-119.677002,68.056999,0.0,3.911,-10.951,0,-1.998,-12.949,59.018999,-22.903,36.116001,0.0,0,36.116001,0.0,,36.116001,,,36.115999,1.03,1.03,1.03,34.928001,1.03,1.03,1.03,34.928001,
03/31/1996,0,498.556,0,0.0,498.556,0.0,0.0,-244.033005,-244.033005,-11.108,-17.875999,-57.686001,-62.462002,-149.132004,105.390999,0.0,7.071,-9.004,0,-1.663,-10.667,101.794999,-39.779999,62.014999,0.0,0,62.014999,0.0,,62.014999,,,62.015,1.77,1.77,1.77,34.938999,1.77,1.77,1.77,34.938999,
06/30/1996,0,248.5,0,0.0,248.5,0.0,0.0,-110.346001,-110.346001,-11.381,-18.094999,-28.988001,-54.659,-113.123001,25.031,0.0,7.153,-8.936,0,-0.83,-9.766,22.418,-8.171,14.247,0.0,0,14.247,0.0,,14.247,,,14.247001,0.41,0.41,0.41,34.945999,0.41,0.41,0.41,34.945999,
09/30/1996,0,133.996002,0,0.0,133.996002,0.0,0.0,-45.625,-45.625,-13.098,-18.009001,-17.660999,-49.048,-97.816002,-9.445,0.0,1.668,-8.935,0,-0.623,-9.558,-17.335,8.395,-8.94,0.0,0,-8.94,0.0,,-8.94,,,-8.94,-0.26,-0.26,-0.26,34.956001,-0.26,-0.26,-0.26,34.956001,
12/31/1996,0,387.14801,0,0.0,387.14801,0.0,0.0,-188.593994,-188.593994,-11.526,-18.451,-44.321999,-54.159,-128.457993,70.096001,0.027,0.634,-8.927,0,-0.915,-9.842,60.915001,-23.424999,37.490002,0.0,0,37.489258,0.0,,37.489258,,,37.490001,1.07,1.07,1.07,34.973,1.07,1.07,1.07,34.973,
03/31/1997,0,567.984985,0,0.0,567.984985,0.0,0.0,-320.067993,-320.067993,-9.937,-18.392,-61.952,-49.567001,-139.848007,108.069,0.035,2.322,-8.935,0,-0.859,-9.794,100.632001,-37.374001,63.257999,0.0,0,63.257999,0.0,,63.257999,,,63.258,1.81,1.81,1.81,34.980999,1.81,1.81,1.81,34.980999,
