Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Accts Receiv,(Inc) Dec in Inventories,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
10/01/1989,-6.973,-7.29,8.252,0.003,,,0.003,-7.938,,,-7.938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1989,-8.844,9.125,8.867,0.927,,,0.927,-27.763,,,-27.763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04/01/1990,69.572998,25.830999,8.764,1.091,,,1.091,33.887001,,,33.887001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,52.884998,7.709,14.006,2.334,,,2.334,28.836,,,28.836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.884998,,,
09/30/1990,-33.452999,-3.047,8.985,0.485,,,0.485,-39.875999,,,-39.875999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/1990,-30.472,11.176,9.194,1.627,,,1.627,-52.469002,,,-52.469002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,73.457001,23.643999,9.15,1.888,,,1.888,38.775002,,,38.775002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,82.255997,4.68,9.118,-1.002,,,-1.002,69.459999,,,69.459999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.255997,,,
09/29/1991,-44.868999,-2.558,9.191,1.421,,,1.421,-52.923,,,-52.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/1991,-39.143002,18.098,9.402,0.878,,,0.878,-67.521004,,,-67.521004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,96.556999,27.76,9.641,0.803,,,0.803,58.353001,,,58.353001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,68.363998,8.203,12.879,-3.572,,,-3.572,50.854,,,50.854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.363998,,,
