Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2009,22431.0,22431.0,,,-24611.0,24611.0,-2180.0,0.0,-3482.0,2497.0,985.0,-5662.0,-399.0,1144.0,1230.0,-86.0,48.0,-1245.0,-6061.0,114.0,-5899.0,0.0,0.0,0.0,-5899.0,-76.0,-5975.0,0.0,0.0,-5975.0,-6004.25,-29.25,611.0,-9.78,-9.78,-9.826923,611.0,-9.78,-9.78,-9.827872,
06/30/2009,23047.0,23047.0,,,-29384.0,29384.0,-6337.0,0.0,-3105.0,2936.0,169.0,-9442.0,-4238.0,3288.0,3375.0,-87.0,-2.0,2830.0,-13680.0,445.0,-13237.0,0.0,0.0,0.0,-13237.0,332.0,-12905.0,0.0,0.0,-12905.0,-9738.2,3166.8,611.0,-21.12,-21.12,-15.938134,611.0,-21.12,-21.12,-15.938134,
09/30/2009,26784.0,26690.0,,94.0,-25373.0,25373.0,1411.0,0.0,-3405.0,3364.0,41.0,-1994.0,128597.0,1069.0,1188.0,-119.0,219.0,-129666.0,126603.0,746.0,127568.0,0.0,0.0,0.0,127568.0,-428.0,127140.0,-50.0,0.0,127090.0,43087.9,-84002.1,413.0,307.723971,307.723971,104.329056,413.0,307.723971,307.723971,104.329056,
12/31/2009,32327.0,32327.0,,,-32827.0,32827.0,-500.0,0.0,-3425.0,3370.0,55.0,-3925.0,-444.0,254.0,329.0,-75.0,293.0,483.0,-4369.0,861.0,-3215.0,0.0,0.0,0.0,-3215.0,-224.0,-3439.0,-81.0,0.0,-3520.0,-1315.2,2204.8,413.0,-8.523002,-8.523002,-3.184504,413.0,-8.523002,-8.523002,-3.184504,
03/31/2010,31476.0,31422.0,0.0,54.0,-27553.0,27553.0,3923.0,0.0,-2730.0,2684.0,46.0,1193.0,109.0,247.0,337.0,-90.0,403.0,-356.0,1302.0,-509.0,1196.0,0.0,0.0,0.0,1196.0,-128.0,1068.0,-203.0,0.0,865.0,980.7,115.7,1500.0,0.58,0.58,0.6538,1567.0,0.55,0.55,0.623835,
06/30/2010,33174.0,33174.0,0.0,,-28609.0,28609.0,4565.0,0.0,-2662.0,2623.0,39.0,1903.0,-341.0,136.0,250.0,-114.0,411.0,205.0,1562.0,-361.0,1612.0,0.0,0.0,0.0,1612.0,-76.0,1536.0,-202.0,0.0,1334.0,1489.35,155.35,1500.0,0.89,0.89,0.9929,1567.0,0.85,0.85,0.949138,
09/30/2010,34060.0,34060.0,0.0,,-29587.0,29587.0,4473.0,0.0,-2740.0,2710.0,30.0,1733.0,114.0,138.0,263.0,-125.0,351.0,-252.0,1847.0,25.0,2223.0,0.0,0.0,0.0,2223.0,-61.0,2162.0,-203.0,0.0,1959.0,2154.0,195.0,1500.0,1.31,1.31,1.436,1630.0,1.2,1.2,1.319632,
12/31/2010,36882.0,36601.0,281.0,,-33018.0,33018.0,3864.0,0.0,-3584.0,3429.0,155.0,280.0,746.0,112.0,248.0,-136.0,273.0,-858.0,1026.0,173.0,1472.0,0.0,0.0,0.0,1472.0,-66.0,1406.0,-202.0,-677.0,527.0,432.1,-94.9,1500.0,0.351333,0.351333,0.288067,1732.0,0.304273,0.304273,0.24948,
03/31/2011,36194.0,35899.0,295.0,,-31685.0,31685.0,4509.0,0.0,-3560.0,2994.0,566.0,949.0,455.0,22.0,149.0,-127.0,2144.0,-477.0,1404.0,-137.0,3411.0,0.0,0.0,0.0,3411.0,-45.0,3366.0,-220.0,0.0,3146.0,2399.6,-746.4,1504.0,2.09,2.09,1.595479,1817.0,1.77,1.77,1.359213,
06/30/2011,39373.0,39043.0,330.0,,-33793.0,33793.0,5580.0,0.0,-3129.0,2924.0,205.0,2451.0,143.0,31.0,155.0,-124.0,382.0,-174.0,2594.0,61.0,3037.0,0.0,0.0,0.0,3037.0,-45.0,2992.0,-215.0,-254.0,2523.0,2632.85,109.85,1505.0,1.68,1.68,1.749402,1654.0,1.54,1.54,1.606415,
09/30/2011,36719.0,36328.0,391.0,,-31734.0,31734.0,4985.0,0.0,-3179.0,2942.0,237.0,1806.0,16.0,-11.0,101.0,-112.0,377.0,-5.0,1822.0,-107.0,2092.0,0.0,0.0,0.0,2092.0,15.0,2107.0,-214.0,-156.0,1737.0,1855.3,118.3,1562.0,1.1,1.1,1.187772,1682.0,1.03,1.03,1.100333,
12/31/2011,37990.0,37596.0,394.0,,-33174.0,33174.0,4816.0,0.0,-4366.0,3245.0,1121.0,450.0,-285.0,43.0,135.0,-92.0,289.0,242.0,165.0,293.0,747.0,0.0,0.0,0.0,747.0,-22.0,725.0,-215.0,-43.0,467.0,405.75,-61.25,1572.0,0.297074,0.297074,0.258111,1668.0,0.279976,0.279976,0.243255,
03/31/2012,37759.0,37328.0,431.0,,-32910.0,32910.0,4849.0,0.0,-3853.0,2973.0,880.0,996.0,147.0,21.0,110.0,-89.0,423.0,-168.0,1143.0,-216.0,1350.0,0.0,0.0,0.0,1350.0,-35.0,1315.0,-215.0,-96.0,1004.0,1703.55,699.55,1572.0,0.64,0.64,1.083683,1692.0,0.6,0.6,1.013446,
06/30/2012,37614.0,37127.0,487.0,,-32678.0,32678.0,4936.0,0.0,-3115.0,2847.0,268.0,1821.0,21.0,32.0,118.0,-86.0,300.0,-53.0,1842.0,-241.0,1901.0,0.0,0.0,0.0,1901.0,-55.0,1846.0,-214.0,-145.0,1487.0,1800.3,313.3,1569.0,0.95,0.95,1.147419,1671.0,0.9,0.9,1.087493,
09/30/2012,37576.0,37062.0,514.0,,-32735.0,32735.0,4841.0,0.0,-3238.0,2849.0,389.0,1603.0,190.0,44.0,128.0,-84.0,418.0,137.0,1793.0,-357.0,1854.0,0.0,0.0,0.0,1854.0,-21.0,1833.0,-215.0,-142.0,1476.0,1495.5,19.5,1570.0,0.94,0.94,0.952548,1663.0,0.89,0.89,0.901726,
12/31/2012,39307.0,38778.0,529.0,,-41913.0,41913.0,-2606.0,0.0,-32177.0,5347.0,26830.0,-34783.0,1310.0,49.0,133.0,-84.0,-1141.0,-918.0,-33473.0,35645.0,1031.0,0.0,0.0,0.0,1031.0,163.0,1194.0,-215.0,383.0,1362.0,71881.35,-410.2,1554.0,0.876448,0.876448,0.612484,1675.0,0.813134,0.813134,0.568239,
03/31/2013,36884.0,36344.0,540.0,,-32617.0,32617.0,4267.0,0.0,-3308.0,2952.0,356.0,959.0,635.0,12.0,91.0,-79.0,,-92.0,1594.0,-409.0,1185.0,0.0,0.0,0.0,1185.0,-10.0,1175.0,-215.0,-95.0,865.0,1170.5,305.5,1372.0,0.63,0.63,0.853134,1507.0,0.58,0.58,0.782721,
06/30/2013,39075.0,38240.0,835.0,,-33824.0,33824.0,5251.0,0.0,-3500.0,2925.0,575.0,1751.0,379.0,-16.0,61.0,-77.0,,66.0,2130.0,-742.0,1388.0,0.0,0.0,0.0,1388.0,26.0,1414.0,-214.0,0.0,1200.0,1604.95,404.95,1376.0,0.87,0.87,1.166388,1677.0,0.75,0.75,0.991473,
09/30/2013,38983.0,38120.0,863.0,,-33166.0,33166.0,5817.0,0.0,-3561.0,2876.0,685.0,2256.0,291.0,32.0,65.0,-33.0,,113.0,2547.0,-842.0,1705.0,0.0,0.0,0.0,1705.0,12.0,1717.0,-1019.0,0.0,698.0,724.85,26.85,1386.0,0.5,0.5,0.52298,1681.0,0.45,0.45,0.465973,
12/31/2013,40485.0,39388.0,1097.0,,-35318.0,35318.0,5167.0,0.0,-5002.0,3629.0,1373.0,165.0,1022.0,60.0,117.0,-57.0,,-692.0,1187.0,-134.0,1053.0,0.0,0.0,0.0,1053.0,-13.0,1040.0,-127.0,0.0,913.0,1608.5,695.5,1438.0,0.63491,0.63491,1.118567,1688.0,0.540877,0.540877,0.952903,
03/31/2014,37408.0,36315.0,1093.0,,-34127.0,34127.0,3281.0,0.0,-3816.0,2941.0,875.0,-535.0,591.0,50.0,103.0,-53.0,,-36.0,56.0,224.0,280.0,0.0,0.0,0.0,280.0,-67.0,213.0,-88.0,0.0,125.0,1263.8,1138.8,1587.0,0.08,0.08,0.796345,1691.0,0.06,0.06,0.733448,
06/30/2014,39649.0,38462.0,1187.0,,-35851.0,35851.0,3798.0,0.0,-4269.0,3343.0,926.0,-471.0,504.0,48.0,100.0,-52.0,,-29.0,33.0,254.0,287.0,0.0,0.0,0.0,287.0,-9.0,278.0,-73.0,-15.0,190.0,1003.15,813.15,1608.0,0.12,0.12,0.62385,1688.0,0.11,0.11,0.591724,
09/30/2014,39255.0,37999.0,1256.0,,-34054.0,34054.0,5201.0,0.0,-3974.0,2921.0,1053.0,1227.0,642.0,46.0,96.0,-50.0,,-191.0,1869.0,-427.0,1442.0,0.0,0.0,0.0,1442.0,29.0,1471.0,-87.0,-15.0,1369.0,1883.15,514.15,1612.0,0.86,0.86,1.168207,1691.0,0.81,0.81,1.114051,
