Date,Revenue,Sales & Services Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/2002,57.567,,,-8.292,,49.275,0.0,-51.467,40.899,,,10.568,-2.192,-8.588,,8.588,,,-19.845,,-10.78,,-30.625,2.691,,,,46.059,12.743,,0.0,12.743,12.743,,166.2,0.076667,0.066667,0.066667,166.2,0.076667,0.066667,0.066667,
06/30/2002,70.317,,,-9.14,,61.177,0.0,-45.099,35.439,,,9.66,16.078,-8.922,,8.922,,,-16.285,,7.156,,-9.129,-6.4,,,,29.81,27.081,,0.0,27.081,27.081,,165.81,0.163333,0.116667,0.116667,165.81,0.163333,0.116667,0.116667,
09/30/2002,52.373,,,-9.103,,43.27,0.0,-60.944,51.481,,,9.463,-17.674,-8.299,,8.299,,,14.175,,-25.973,10.694,-1.104,,,,-1.104,-1.38,-2.484,,0.0,-2.484,-2.484,,186.3,-0.013333,-0.013333,-0.013333,186.3,-0.013333,-0.013333,-0.013333,
03/31/2003,56.899,,,-8.949,,47.95,0.0,-45.352,36.28,,,9.072,2.598,-6.799,,6.799,,,9.69,,-4.201,,5.489,1.112,,,,9.409,13.786,,0.0,13.786,13.786,,179.79,0.076667,0.076667,0.076667,179.79,0.076667,0.076667,0.076667,
06/30/2003,87.458,,,-10.201,,77.257,0.0,-54.844,34.474,,,20.37,22.413,-7.473,,7.473,,,-2.542,,14.94,,12.398,-0.695,,,,2.324,15.417,,0.0,15.417,15.417,,177.888462,0.086667,0.076667,0.076667,177.888462,0.086667,0.076667,0.076667,
09/30/2003,101.726,,,-10.181,,91.545,0.0,-84.325,44.208,,,40.117,7.22,-11.916,,11.916,,,50.09,,-4.696,10.696,56.09,,,,56.09,,56.09,,0.0,56.09,56.09,,179.010638,0.313333,0.313333,0.313333,180.935484,0.31,0.31,0.31,
12/31/2003,356.053,,,,,,0.0,,,,,,,43.412,,,,,,-9.407,-34.581,32.59,32.014,-7.319,,,5.328,,39.333,,,39.333,39.333,,194.838,0.203333,0.163333,0.163333,196.356,0.2,0.163333,0.163333,
03/31/2004,466.073,,,-348.259,,117.814,,-178.173,,,,,-60.359,48.68,21.003,21.003,,0.0,,-69.683,-11.679,-0.273,-11.952,0.0,,,-11.952,0.0,-11.952,0.0,0.0,-11.952,-11.952,,212.544,-0.056667,-0.056667,-0.056667,212.544,-0.056667,-0.056667,-0.056667,
06/30/2004,571.292,,,-349.626,,221.666,,-173.044,,,,,48.622,-20.592,24.743,24.743,,0.0,,-4.151,28.03,3.889,31.919,-3.056,,,34.975,0.0,33.975,0.0,0.0,33.975,33.975,,212.64,0.16,0.17,0.17,225.897,0.16,0.17,0.17,
09/30/2004,634.429,,,-343.273,,291.156,,-183.771,,,,,107.385,-30.793,26.874,26.874,,0.0,,3.919,76.592,-1.879,74.713,0.149,,,74.564,0.0,74.564,0.0,0.0,74.564,74.564,,213.435,0.35,0.35,0.35,230.145,0.333333,0.333333,0.333333,
