Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,(Inc) Dec in Inventories,Inc (Dec) in Accts Payable,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/2015,53.783,-39.317,105.225,126.299,0.994,,125.305,-138.424,-16.826,-84.139,-37.459,0,-70.296,-71.526,0.114,0.114,0.0,-71.64,-71.64,0.0,,,,0.0,0,0.0,0,1.23,1.651,-129.72,384.007,0.0,1180.45,-796.443,0,0,0,-252.636,-28.306,-43.168,-13.466,114.0,
06/30/2015,163.302,-116.89,211.453,78.277,19.976,,58.301,-9.538,16.27,-61.001,35.193,0,-3315.75,-88.43,7.022,7.022,0.0,-95.452,-95.452,0.0,,,,-3241.415,0,-3241.415,0,14.095,3433.429,,3914.857,0.0,5418.918,-1504.061,0,0,0,-481.428,2.174,283.155,41.251,48.732,
09/30/2015,253.909,7.132,229.262,-121.741,11.762,,-133.503,139.256,-28.719,42.97,125.005,0,-94.682,-105.177,16.474,16.474,0.0,-121.651,-121.651,0.0,,,,0.0,0,0.0,0,10.495,-164.661,-39.913,-206.417,,,,0,0,0,81.669,0.256,-5.178,136.21,159.342,
12/31/2015,315.003,73.501,233.888,-30.62,3.335,,-33.955,38.234,29.347,48.408,-39.521,0,119.205,93.086,206.977,206.977,0.0,-113.891,-113.891,0.0,0.0,0.0,0.0,0.0,0,0.0,0,26.119,-350.253,-69.112,-832.519,13.037,0.0,-845.556,0,0,0,551.378,-8.386,75.569,,,
03/31/2016,205.605,-92.774,224.013,64.08,9.302,,54.778,10.286,1.812,-1.785,10.259,0,-63.65,-65.167,32.504,32.504,0.0,-97.671,-97.671,0.0,,,,0.0,0,0.0,0,1.517,-272.232,0.0,-318.832,0.0,0.0,-318.832,0,0,0,46.6,8.589,-121.688,16.319,216.834,
06/30/2016,318.202,72.696,227.942,67.584,7.732,,59.852,-50.02,-8.083,-66.811,24.874,0,-483.974,-105.071,16.89,16.89,0.0,-121.961,-121.961,0.0,,,,0.0,0,0.0,0,-378.903,45.845,-80.34,82.163,,,,0,0,0,44.022,4.143,-115.784,22.423,39.497,
09/30/2016,97.19,-1.903,218.492,-60.16,7.468,,-67.628,-59.239,-40.49,-66.701,47.952,0,-143.354,-145.546,6.319,6.319,0.0,-151.865,-151.865,0.0,,,,0.0,0,0.0,0,2.192,7.312,-40.386,58.692,,,,0,0,0,-10.994,-1.261,-40.113,97.273,152.533,
12/31/2016,-339.665,233.318,212.022,-761.044,1.844,,-762.888,-23.961,-29.56,112.442,-106.843,0,374.993,-40.361,130.085,130.085,0.0,-170.446,-170.446,0.0,0.0,0.0,0.0,0.0,0,0.0,0,415.354,-93.064,-40.453,-138.765,,,,0,0,0,86.154,1.931,-55.805,-319.293,41.791,
03/31/2017,293.552,-54.79,208.162,18.274,0.849,-49.48,66.905,121.906,0.158,-14.946,136.694,0,-10.696,-11.128,160.924,160.924,0.0,-172.052,-172.052,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.432,-96.295,-13.093,-53.609,0.797,0.0,-54.406,0,0,0,-29.593,-1.885,184.676,7.933,210.936,
06/30/2017,543.224,-344.691,404.333,440.477,3.273,,437.204,43.105,1.819,-105.477,146.763,0,433.082,615.83,986.42,986.42,0.0,-370.59,-370.59,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-182.748,-798.205,-81.162,-671.615,,,-671.615,0,0,0,-45.428,22.486,200.587,21.492,245.753,
09/30/2017,-146.287,-803.614,202.744,499.872,1.829,-170.698,668.741,-45.289,14.707,44.744,-104.74,0,8.728,-176.01,5.569,5.569,0.0,-181.579,-181.579,0.0,0.0,0.0,0.0,0.0,0,0.0,0,184.738,-85.906,-40.678,8.641,0.0,938.16,-929.519,0,0,0,-53.869,-22.486,-245.951,138.121,151.802,
12/31/2017,62.435,79.729,195.363,-308.681,-0.398,,-308.283,96.024,34.88,57.702,3.442,0,38.335,-146.59,0.0,0.0,0.0,-146.59,-146.59,0.0,0.0,0.0,0.0,0.0,0,0.0,0,184.925,637.139,-40.688,670.985,0.0,824.11,-153.125,0,0,0,6.842,20.22,758.129,-136.773,19.555,
03/31/2018,77.21,-103.146,166.479,49.111,14.178,-22.914,57.847,-35.234,-11.657,-35.545,11.968,0,-131.841,-132.188,2.473,2.473,0.0,-134.661,-134.661,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.347,-463.233,-13.316,-416.39,44.429,164.681,-625.5,0,0,0,-33.527,28.707,-489.157,13.691,227.356,
06/30/2018,42.94,161.496,172.419,-298.522,2.941,13.097,-314.56,7.547,-9.13,-21.187,37.864,0,-119.603,-120.714,3.592,3.592,0.0,-124.306,-124.306,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.111,87.756,-68.237,249.948,-16.029,699.23,-433.253,0,0,0,-93.955,-6.355,4.738,-27.004,35.53,
09/30/2018,129.162,22.299,177.561,-41.469,7.825,21.632,-70.926,-29.229,-5.895,-66.325,42.991,0,-112.605,-113.211,2.135,2.135,0.0,-115.346,-115.346,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.606,-123.12,-40.841,-46.592,1.557,551.851,-600.0,0,0,0,-35.687,-22.352,-128.915,138.701,156.622,
12/31/2018,-219.686,-101.999,189.001,-269.814,8.142,-46.309,-231.647,-36.874,39.238,71.067,-147.179,0,-147.488,-147.696,11.043,11.043,0.0,-158.739,-158.739,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.208,187.052,-40.842,35.729,4.865,271.999,-241.135,0,0,0,192.165,-0.197,-180.319,365.219,23.19,
03/31/2019,146.614,40.254,173.415,-42.935,9.59,0.267,-52.792,-24.12,-20.448,-27.817,24.145,0,-115.089,-117.297,1.888,1.888,0.0,-119.185,-119.185,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2.208,9.099,-13.439,68.867,33.201,35.666,0.0,0,0,0,-46.329,-16.807,23.817,18.835,183.777,
06/30/2019,591.721,45.11,346.472,207.595,12.502,6.515,188.578,-7.456,0.802,-57.317,49.059,0,-163.029,-165.574,65.429,65.429,0.0,-231.003,-231.003,0.0,0.0,0.0,0.0,0.0,0,0.0,0,2.545,-279.688,-81.729,33.419,19.573,846.975,-833.129,0,0,0,-231.378,-3.748,145.256,49.777,211.591,
09/30/2019,196.984,103.563,175.98,-131.047,7.544,-3.925,-134.666,48.488,23.073,57.928,-32.513,0,-62.818,-66.399,35.314,35.314,0.0,-101.713,-101.713,0.0,0.0,0.0,0.0,0.0,0,0.0,0,3.581,-0.198,-40.887,64.44,-54.092,550.05,-431.518,0,0,0,-23.751,-27.343,106.625,88.232,160.256,
12/31/2019,304.43,-167.698,191.005,288.716,6.468,-70.883,353.131,-7.593,60.597,6.569,-74.759,0,-86.343,-86.068,23.3,23.3,0.0,-109.368,-109.368,0.0,0.0,0.0,0.0,0.0,0,0.0,0,-0.275,-96.388,-40.887,2.452,2.452,0.0,0.0,0,0,0,-57.953,8.894,130.593,97.376,28.175,
03/31/2020,157.268,-248.288,168.146,98.243,-12.968,-23.214,134.425,139.167,-15.478,-189.544,344.189,0,-83.039,-93.728,5.97,5.97,0.0,-99.698,-99.698,0.0,0.0,0.0,0.0,0.0,0,0.0,0,10.689,659.524,-56.445,665.682,109.936,987.711,-431.965,0,0,0,50.287,-9.803,723.95,11.035,181.987,
06/30/2020,167.831,-279.616,166.059,292.617,1.162,-13.491,304.946,-11.229,9.5,183.882,-204.611,0,-61.058,-61.266,,,,,,,0.0,0.0,0.0,0.0,0,0.0,0,0.208,-213.24,-75.818,-74.959,-35.009,487.36,-527.31,0,0,0,-62.463,18.028,-88.439,6.76,48.877,
