Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,Operating Income or Losses,Foreign Exchange Losses (Gains),Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
12/31/1989,59.958996,,,,,,,,,,,,6.325,,6.325,,,,,0.025625,0.025625,245.663986,0.025625,0.025625,0.025625,245.663986,
03/31/1990,32.754002,-34.722,-1.967999,,-1.968,0.0,0.075,-1.893,0.706,-1.187,-0.118,0.0,-1.305,0.0,-1.305,,,-1.187,,-0.005,-0.005625,229.615997,-0.005,-0.005,-0.005625,229.615997,
06/30/1990,43.101002,-23.922001,19.179001,-15.543,3.636,0.0,-0.06,3.576,-1.323,2.253,0.129,0.0,2.382,0.0,2.382,,,2.253,,0.009375,0.01,234.944,0.009375,0.009375,0.01,234.944,
09/30/1990,38.868,-22.396,16.472,-14.658,1.814,0.0,0.013,1.827,-0.655,1.172,0.327,0.0,1.499,0.0,1.499,,,1.172,,0.005625,0.006875,227.856003,0.005625,0.005625,0.006875,227.856003,
12/31/1990,59.379002,-51.191002,8.188,,8.188,0.0,-0.113,8.075,-2.525,5.55,-0.986,0.0,4.564,0.0,4.564,,,5.55,0.025,0.025,0.020625,218.416,0.025,0.025,0.020625,218.416,
03/31/1991,39.354,-23.559999,15.794001,-15.798,-0.004,0.0,-0.671,-0.675,0.238,-0.437,0.092,0.0,-0.345,0.0,-0.345,,,-0.437,,-0.001875,-0.001875,218.944,-0.001875,-0.001875,-0.001875,218.944,
06/30/1991,37.775002,-23.424,14.351002,-16.59,-2.239,0.0,-10.577,-12.816,4.303,-8.513,-1.356,0.0,-9.869,0.0,-9.869,,,-8.513,,-0.03875,-0.045,220.768005,-0.03875,-0.03875,-0.045,220.768005,
09/30/1991,43.354,-21.000999,22.353001,-18.879,3.474,0.0,-0.362,3.112,-1.012,2.1,0.724,0.0,2.824,0.0,2.824,,,2.1,,0.009375,0.0125,221.919998,0.009375,0.009375,0.0125,221.919998,
12/31/1991,50.242001,-29.577,20.665001,-24.986,-4.321,0.0,10.375,6.054,-2.059,3.995,-0.004,0.0,3.991,0.0,3.991,,,3.995,0.0175,0.0175,0.0175,230.719984,0.0175,0.0175,0.0175,230.719984,
03/31/1992,45.293999,-27.045,18.248999,-15.631,2.618,0.0,-0.412,2.206,-0.75,1.456,0.0,0.0,1.456,0.0,1.456,,,1.456,,0.00625,0.00625,236.544006,0.00625,0.00625,0.00625,236.544006,
