Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/30/2002,650.737,15.306,15.306,0.0,43.66,44.479,,4.557,0.0,0.0,0.0,4.557,2.378,,,,,,65.901,531.87,1177.043,-645.173,,52.966,52.966,52.966,0.0,0.0,584.836,,19.272,19.272,,,,0.0,,,,,,41.275,,,41.275,60.547,36.0,,,,,125.813,,,,,,125.813,161.813,222.36,0.0,232.619,,,0.0,196.073,-0.315,428.377,0.0,428.377,650.737,
12/31/2002,674.286,20.261,20.261,0.0,58.276,58.276,,3.986,0.0,0.0,0.0,3.986,5.022,,,,,,87.545,537.567,1203.278,-665.711,,49.174,45.836,45.836,0.0,3.338,586.741,,22.339,22.339,,,,0.0,,,,,,45.914,,,45.914,68.253,32.0,,,,,129.153,,,,,,129.153,161.153,229.406,0.0,243.834,,,0.0,211.86,-10.814,444.88,0.0,444.88,674.286,
03/31/2003,716.884,17.231,17.231,0.0,73.87,73.87,,5.002,5.002,0.0,0.0,0.0,5.901,,,,,,102.004,554.291,1234.634,-680.343,,60.589,45.94,45.94,0.0,14.649,614.88,,22.441,22.441,,,,0.0,,,,,,53.99,,,53.99,76.431,5.0,,,,,156.054,,,,,,156.054,161.054,237.485,0.0,245.346,,,0.0,244.608,-10.555,479.399,0.0,479.399,716.884,
06/30/2003,738.285,47.49,47.49,0.0,56.267,56.267,,5.232,5.232,0.0,0.0,0.0,5.75,,,,,,114.739,577.47,1278.134,-700.664,,46.076,44.852,44.852,0.0,1.224,623.546,,21.255,21.255,,,,0.0,,,,,,53.883,,,53.883,75.138,0.0,,,,,160.618,,,,,,160.618,160.618,235.756,0.0,246.922,,,0.0,246.506,9.101,502.529,0.0,502.529,738.285,
09/30/2003,772.565,56.858,56.858,0.0,56.51,56.51,,6.744,6.744,0.0,0.0,0.0,5.274,,,,,,125.386,601.201,1323.894,-722.693,,45.978,44.967,44.967,0.0,1.011,647.179,,18.16,18.16,,,,0.0,,,,,,61.154,,,61.154,79.314,0.0,,,,,167.471,,,,,,167.471,167.471,246.785,0.0,247.604,,,0.0,288.135,-9.959,525.78,0.0,525.78,772.565,
12/31/2003,805.508,40.42,40.42,0.0,68.293,68.293,,6.7,6.7,0.0,0.0,0.0,7.791,,,,,,123.204,636.396,1382.557,-746.161,,45.908,44.967,44.967,0.0,0.941,682.304,,18.394,18.394,,,,0.0,0.0,0.0,0.0,,,67.115,,,67.115,85.509,155.293,155.293,0.0,0.0,,29.966,,,,,,29.966,185.259,270.768,0.0,237.841,,,0.0,306.439,-9.54,534.74,0.0,534.74,805.508,
03/31/2004,862.53,38.493,38.493,0.0,81.767,81.767,,9.377,9.377,0.0,0.0,0.0,5.88,,,,,,135.517,681.181,1452.924,-771.743,,45.832,44.967,44.967,0.0,0.865,727.013,,22.208,22.208,,,,0.0,,,,,,73.872,,,73.872,96.08,0.0,,,,,195.715,,,,,,195.715,195.715,291.795,0.0,243.667,,,0.0,336.304,-9.236,570.735,0.0,570.735,862.53,
06/30/2004,947.063,58.081,58.081,0.0,90.353,90.353,,13.272,13.272,0.0,0.0,0.0,5.58,,,,,,167.286,734.036,1535.839,-801.803,,45.741,44.967,44.967,0.0,0.774,779.777,,24.676,24.676,,,,0.0,,,,,,101.266,,,101.266,125.942,0.0,,,,,213.167,,,,,,213.167,213.167,339.109,0.0,244.166,,,0.0,372.774,-8.986,607.954,0.0,607.954,947.063,
09/30/2004,1001.941,92.197,92.197,0.0,81.215,81.215,,11.322,,,,,5.542,,,,,,190.276,764.133,1597.068,-832.935,,47.532,44.967,44.967,0.0,2.565,811.665,,25.582,25.582,,,,0.0,,,,,,95.212,,,95.212,120.794,,,,,,230.231,,,,,,230.231,230.231,351.025,0.0,248.101,,,,411.956,-9.141,650.916,0.0,650.916,1001.941,
12/31/2004,1105.446,115.746,115.746,0.0,103.989,103.989,,9.742,0.0,0.0,0.0,9.742,6.97,,,,,,236.447,818.402,1685.062,-866.66,,50.597,44.967,44.967,0.0,5.63,868.999,,26.511,26.511,,,,0.0,0.0,0.0,0.0,,,116.491,,,116.491,143.002,0.0,0.0,0.0,0.0,,261.732,,,,,,261.732,261.732,404.734,0.0,250.665,,,0.0,460.031,-9.984,700.712,0.0,700.712,1105.446,
03/31/2005,1160.353,113.025,113.025,0.0,96.118,96.118,,14.034,0.0,0.0,0.0,14.034,9.41,,,,,,232.587,876.337,1780.041,-903.704,,51.429,44.967,44.967,0.0,6.462,927.766,,30.034,30.034,,,,0.0,,,,,,104.507,,,104.507,134.541,0.0,,,,,280.201,,,,,,280.201,280.201,414.742,0.0,252.449,,,0.0,503.396,-10.234,745.611,0.0,745.611,1160.353,
06/30/2005,3997.66,57.305,57.305,0.0,208.042,208.042,,24.29,0.0,0.0,0.0,24.29,52.84,,,,,,342.477,2871.954,3828.988,-957.034,,783.229,730.399,730.399,0.0,52.83,3655.183,,39.51,39.51,,,,0.758,0.0,0.758,0.758,,,275.984,,,275.984,316.252,572.489,,,,,805.313,,,,,,805.313,1377.802,1694.054,0.0,1859.102,,,-93.236,555.873,-18.133,2303.606,0.0,2303.606,3997.66,
09/30/2005,4048.505,27.473,27.473,0.0,250.193,250.193,,32.52,0.0,0.0,0.0,32.52,41.56,,,,,,351.746,2910.801,3943.536,-1032.735,,785.958,716.818,716.818,0.0,69.14,3696.759,,61.113,61.113,,,,0.0,,,,,,366.741,,,366.741,427.854,438.396,,,,,755.314,,,,,,755.314,1193.71,1621.564,0.0,1917.354,,,-93.236,619.948,-17.125,2426.941,0.0,2426.941,4048.505,
12/31/2005,4180.335,61.647,61.647,0.0,289.184,289.184,,34.784,0.0,0.0,0.0,34.784,43.413,,,,,,429.028,2963.875,4078.552,-1114.677,,787.432,717.391,717.391,0.0,70.041,3751.307,,81.947,81.947,,,,0.0,0.0,0.0,0.0,,,315.471,,,315.471,397.418,352.451,352.451,0.0,0.0,,835.013,,,,,,835.013,1187.464,1584.882,0.0,1866.432,,,-43.554,788.356,-15.781,2595.453,0.0,2595.453,4180.335,
03/31/2006,4338.483,50.675,50.675,0.0,261.003,261.003,,41.1,0.0,0.0,0.0,41.1,38.889,,,,,,391.667,3154.508,4355.898,-1201.39,,792.308,716.988,716.988,0.0,75.32,3946.816,,69.093,69.093,,,,0.0,,,,,,339.136,,,339.136,408.229,351.506,,,,,868.728,,,,,,868.728,1220.234,1628.463,0.0,1859.454,,,-41.363,891.848,0.081,2710.02,0.0,2710.02,4338.483,
06/30/2006,4455.282,5.389,5.389,0.0,251.005,251.005,,43.754,0.0,0.0,0.0,43.754,28.101,,,,,,328.249,3358.762,4650.793,-1292.031,,768.271,691.432,691.432,0.0,76.839,4127.033,,52.897,52.897,,,,0.0,,,,,,288.231,,,288.231,341.128,403.56,,,,,918.074,,,,,,918.074,1321.634,1662.762,0.0,1861.658,,,-40.628,971.376,0.114,2792.52,0.0,2792.52,4455.282,
