Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,166.151001,,-107.769997,,58.381004,,-47.215,,,,11.166,-4.566,,3.683,,,,0.883,6.6,-2.5,4.1,0.0,,,4.1,0.0,4.1,0.0,,4.1,4.1,,27.549999,0.15,0.15,,27.549999,0.15,0.15,0.15,
06/30/1990,202.804993,,-129.820999,,72.983994,,-52.129002,,,,20.855,-4.855,,4.745,,,,0.11,16.0,-6.0,10.0,0.0,,,10.0,0.0,10.0,0.0,,10.0,10.0,,27.572001,0.36,0.36,,27.572001,0.36,0.36,0.36,
09/30/1990,176.951004,,-116.769997,,60.181007,,-47.481998,,,,12.699,-5.399,,4.849,,,,0.55,7.3,-2.8,4.5,0.0,,,4.5,0.0,4.5,0.0,,4.5,4.5,,27.629999,0.165,0.165,,27.629999,0.165,0.165,0.165,
12/31/1990,162.287994,,-112.369003,,49.918991,,-47.041,,,,2.878,-4.378,,4.431,,,,-0.053,-1.5,0.6,-0.9,0.0,,,-0.9,0.0,-0.9,0.0,,-0.9,-0.9,,27.646,-0.035,-0.035,-0.035,27.646,-0.035,-0.035,-0.035,
03/31/1991,156.731003,,-105.161003,,51.57,,-49.666,,,,1.904,-5.904,,5.061,,,,0.843,-4.0,1.5,-2.5,0.0,,,-2.5,0.0,-2.5,0.0,,-2.5,-2.5,,27.65,-0.09,-0.09,,27.65,-0.09,-0.09,-0.09,
06/30/1991,177.513,,-118.396004,,59.116997,,-49.436001,,,,9.681,-3.881,,4.199,,,,-0.318,5.8,-2.2,3.6,0.0,,,3.6,0.0,3.6,0.0,,3.6,3.6,,27.65,0.13,0.13,,27.65,0.13,0.13,0.13,
09/30/1991,172.0,,-119.724998,,52.275002,,-48.360001,,,,3.915,-28.115,,3.98,,,,24.135,-24.2,5.6,-18.6,0.0,,,-18.6,0.0,-18.6,0.0,,-18.6,-18.6,,27.65,-0.675,-0.675,,27.65,-0.675,-0.675,-0.675,
12/31/1991,167.223999,,-118.344002,,48.879997,,-46.480999,,,,2.399,-5.199,,3.613,,,,1.586,-2.8,0.9,-1.9,0.0,,,-1.9,0.0,-1.9,0.0,,-1.9,-1.9,,27.646,-0.07,-0.065,-0.065,27.646,-0.07,-0.065,-0.065,
03/31/1992,175.229996,,-116.514,,58.715996,,-50.627998,,,,8.088,-4.838,,3.657,,,,1.181,3.25,-1.25,2.0,5.7,,,-3.7,0.0,-3.7,0.0,,-3.7,-3.7,,27.674,-0.135,0.07,,27.674,-0.135,0.07,0.07,
06/30/1992,217.626999,,-142.460999,,75.166,,-56.055,,,,19.111,-5.661,,4.131,,,,1.53,13.45,-5.35,8.1,0.0,,,8.1,0.0,8.1,0.0,,8.1,8.1,,27.68,0.29,0.29,,27.68,0.29,0.29,0.29,
10/01/1992,237.261993,,-160.897003,,76.36499,,-54.556,,,,21.809,-6.359,,4.222,,,,2.137,15.45,-6.05,9.4,0.0,,,9.4,0.0,9.4,0.0,,9.4,9.4,,27.708,0.34,0.34,,27.708,0.34,0.34,0.34,
12/31/1992,171.050003,,-113.296997,,57.753006,,-48.706001,,,,9.047,-4.797,,3.051,,,,1.746,4.25,-1.65,2.6,0.0,,,2.6,0.0,2.6,0.0,,2.6,2.6,,27.779998,0.095,0.095,0.095,27.779998,0.095,0.095,0.095,
03/31/1993,179.164001,,-121.776001,,57.388,,-50.762001,,,,6.626,-5.991,,,,0.0,,5.991,0.635,-0.278,0.357,31.799999,,,-31.442999,0.0,-31.443001,0.0,,-31.443001,-31.443001,,25.114,-1.25,0.015,,25.114,-1.25,0.015,0.015,
