Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
08/30/1989,4021.648926,86.165001,27.596001,58.569,689.71698,,,62.258999,,,,,118.138,,,,,,,956.278992,2409.76709,3010.312988,-600.546021,431.199005,,,224.404007,,,,,224.404007,3065.370102,,139.630005,139.630005,,,46.462002,,,,,,356.808018,,,356.808018,542.900024,1679.71106,,,,,569.442993,,,,569.442993,2249.154053,2792.054077,,,,,-88.931999,,1318.52697,1229.594971,,1229.594971,4021.649048,
11/30/1989,4115.399902,141.160004,72.536003,68.624001,691.445007,,,60.005001,,,,,117.890999,,,,,,,1010.500977,2501.571045,3135.4729,-633.901978,369.884003,,,233.444,,,,,233.444,3104.899048,,146.806,146.806,,,84.433998,,,,,,344.202019,,,344.202019,575.442017,1568.932983,,,,,579.117981,,,,579.117981,2148.050964,2723.492981,,,,,-88.919998,,1480.826981,1391.906982,,1391.906982,4115.399963,
02/28/1990,3760.274902,174.552002,101.343002,73.209,624.487,,,41.144001,,,,,114.577003,,,,,,,954.76001,2212.447021,2769.381104,-556.934021,379.878998,,,213.188995,,,,,213.188995,2805.515015,,136.432007,136.432007,,,156.335007,,,,,,339.623978,,,339.623978,632.390991,1405.098022,,,,,495.061005,,,,495.061005,1900.159027,2532.550018,,,,,-148.175003,,1375.899979,1227.724976,,1227.724976,3760.274994,
05/31/1990,3807.0,170.0,101.0,69.0,625.0,,,44.0,,,,,96.0,,,,,,,935.0,2304.0,2889.0,-585.0,343.0,,,225.0,,,,,225.0,2872.0,,126.0,126.0,,,277.0,,,,,,283.0,,,283.0,686.0,1361.0,,,,,503.0,,,,503.0,1864.0,2550.0,,738.0,,,-186.0,,705.0,1257.0,,1257.0,3807.0,
08/31/1990,3844.655029,120.143002,48.118999,72.024002,598.549011,,,44.479,,,,,109.084999,,,,,,,872.255981,2361.236084,2975.9021,-614.666016,379.510986,,,231.651993,,,,,231.651993,2972.399063,,118.213997,118.213997,,,191.464005,,,,,,277.863014,,,277.863014,587.541016,1389.484985,,,,,556.968994,,,,556.968994,1946.453979,2533.994995,,,,,-185.570999,,1496.231033,1310.660034,,1310.660034,3844.655029,
11/30/1990,3918.605957,116.532001,39.922001,76.610001,604.695984,,,45.382999,,,,,116.683998,,,,,,,883.294983,2426.336914,3067.924072,-641.586975,369.674011,,,239.300003,,,,,239.300003,3035.310928,,120.379997,120.379997,,,194.889999,,,,,,294.599998,,,294.599998,609.869995,1383.536987,,,,,558.963013,,,,558.963013,1942.5,2552.369995,,,,,-185.570999,,1551.806961,1366.235962,,1366.235962,3918.605957,
02/28/1991,3957.898926,89.133,14.648,74.485001,627.395996,,,47.389,,,,,116.070999,,,,,,,879.989014,2465.725098,3131.129883,-665.405029,363.683014,,,248.501999,,,,,248.501999,3077.91011,,124.870003,124.870003,,,122.127998,,,,,,336.173019,,,336.173019,583.171021,1383.152954,,,,,549.166992,,,,549.166992,1932.319946,2515.490967,,,,,-185.570999,,1627.978958,1442.407959,,1442.407959,3957.898926,
05/31/1991,4060.0,197.0,116.0,81.0,583.0,,,51.0,,,,,110.0,,,,,,,941.0,2515.0,3183.0,-668.0,358.0,,,246.0,,,,,246.0,3119.0,,162.0,162.0,,,103.0,,,,,,330.0,,,330.0,595.0,1140.0,,,,,563.0,,,,563.0,1703.0,2298.0,0.0,981.0,,,-133.0,,914.0,1762.0,0.0,1762.0,4060.0,
08/31/1991,4088.137939,152.332001,66.754997,85.577003,578.393982,,,51.931,,,,,132.931,,,,,,,915.588013,2535.625977,3240.083008,-704.45697,389.399994,,,247.524002,,,,,247.524002,3172.549973,,138.292007,138.292007,,,105.916,,,,,,370.356018,,,370.356018,614.564026,1059.810059,,,,,579.653015,,,,579.653015,1639.463074,2254.0271,,,,,-132.473999,,1966.584961,1834.110962,,1834.110962,4088.138062,
12/01/1991,4095.136963,212.670998,125.707001,86.963997,548.038025,,,52.359001,,,,,131.393005,,,,,,,944.460999,2560.674072,3276.738037,-716.064026,350.270996,,,239.731003,,,,,239.731003,3150.676071,,147.761993,147.761993,,,103.609001,,,,,,379.316994,,,379.316994,630.687988,1102.79895,,,,,576.978027,,,,576.978027,1679.776978,2310.464966,,,,,-230.050003,,2014.722,1784.671997,,1784.671997,4095.136963,
