Date,Total Interest Income,Total Interest Expense,Net Interest Income,Trading Account Profit,Commissions & Fees Earned,Other Operating Income,Net Revenue,Provisions for Loan Losses,Net Revenue After Provisions,Non-Interest Expense,Operating Income or Losses,Net Non-Operating Losses (Gains),Pretax Income,Income Tax Expense (Benefit),Income Before XO Items,Extraordinary Loss Net of Tax,Minority/Non Controlling Interests (Credits),Net Income/Net Profit (Losses),Total Cash Preferred Dividends,Net Inc Avail to Common Shareholders,Abnormal Losses (Gains),Tax Effect on Abnormal Items,Normalized Income,Basic EPS Before Abnormal Items,Basic EPS Before XO Items,Basic Earnings per Share,Basic Weighted Avg Shares,Diluted EPS Before Abnormal Items,Diluted EPS Before XO Items,Diluted EPS,Diluted Weighted Avg Shares,Source: Bloomberg
03/31/1990,2070,-1804,266,210,250,0,726,-10,716,-485,231,0,231,-62,169,230,0,399,-6,393,,,163,,0.86,2.09,187.638,0.86,0.86,2.09,187.638,
06/30/1990,2085,-1799,286,235,293,0,814,-10,804,-514,290,0,290,-83,207,0,0,207,-8,199,,,199,,1.06,1.06,187.735992,1.06,1.06,1.06,187.735992,
09/30/1990,2176,-1862,314,283,240,0,837,-10,827,-537,290,0,290,-82,208,0,0,208,-6,202,,,202,,1.08,1.08,187.037003,1.08,1.08,1.08,187.037003,
12/31/1990,2099,-1807,292,260,220,44,816,-20,796,-553,243,0,243,-52,191,0,0,191,-8,183,,,183,0.98,0.98,0.98,185.257996,0.98,0.98,0.98,185.257996,
03/31/1991,1999,-1680,319,447,251,0,1017,-10,1007,-623,384,0,384,-111,273,0,0,273,-6,267,,,267,,1.4,1.4,190.983002,1.4,1.4,1.4,190.983002,
06/30/1991,1850,-1496,354,273,284,0,911,-10,901,-585,316,0,316,-85,231,0,0,231,-6,225,,,225,,1.17,1.17,192.307999,1.17,1.17,1.17,192.307999,
09/30/1991,1943,-1551,392,445,267,0,1104,-10,1094,-650,444,0,444,-103,341,32,0,373,-6,367,,,335,,1.72,1.89,194.339996,1.72,1.72,1.89,194.339996,
12/31/1991,1994,-1575,419,131,363,67,980,-10,970,-629,341,0,341,-72,269,0,0,269,-6,263,,,263,1.39,1.39,1.39,189.201996,1.39,1.39,1.39,189.201996,
03/31/1992,1822,-1408,414,292,328,0,1034,-10,1024,-620,404,0,404,-140,264,452,0,716,-5,711,,,259,,1.32,3.62,196.852005,1.32,1.32,3.62,196.852005,
06/30/1992,1829,-1395,434,465,351,23,1273,-25,1248,-740,508,0,508,-183,325,0,0,325,-5,320,,,320,,1.64,1.64,196.619003,1.64,1.64,1.64,196.619003,
09/30/1992,1906,-1458,448,401,385,19,1253,-10,1243,-747,496,0,496,-176,320,0,0,320,-5,315,,,315,,1.61,1.61,197.291,1.61,1.61,1.61,197.291,
12/31/1992,1724,-1312,412,258,375,53,1098,-10,1088,-747,341,0,341,-120,221,0,0,221,-5,216,,,216,1.1,1.1,1.1,198.046997,1.1,1.1,1.1,198.046997,
03/31/1993,1833,-1401,432,591,402,23,1448,0,1448,-809,639,35,674,-242,432,-137,0,295,-5,290,,,427,,2.16,1.47,199.110992,2.16,2.16,1.47,199.110992,
06/30/1993,1829,-1405,424,705,406,5,1540,0,1540,-866,674,0,674,-243,431,0,0,431,-4,427,,,427,,2.12,2.12,200.488007,2.12,2.12,2.12,200.488007,
09/30/1993,1950,-1511,439,714,433,27,1613,0,1613,-882,731,0,731,-263,468,0,0,468,-4,464,,,464,,2.3,2.3,201.537994,2.3,2.3,2.3,201.537994,
12/31/1993,1830,-1353,477,618,470,105,1670,0,1670,-1023,647,-35,612,-220,392,0,0,392,-5,387,,,387,1.92,1.92,1.92,201.578003,1.92,1.92,1.92,201.578003,
03/31/1994,1837,-1440,397,544,444,6,1391,0,1391,-852,539,0,539,-194,345,0,0,345,-4,341,,,341,,1.69,1.69,201.292007,1.69,1.69,1.69,201.292007,
06/30/1994,2031,-1491,540,514,409,3,1466,0,1466,-936,530,0,530,-180,350,0,0,350,-5,345,,,345,,1.73,1.73,200.011002,1.73,1.73,1.73,200.011002,
09/30/1994,2290,-1616,674,255,425,24,1378,0,1378,-941,437,54,491,-164,327,0,0,327,-6,321,,,321,,1.63,1.63,198.192993,1.63,1.63,1.63,198.192993,
12/31/1994,2221,-1851,370,434,423,1,1228,0,1228,-963,265,0,265,-72,193,0,0,193,-5,188,,,188,0.96,0.96,0.96,196.197998,0.96,0.96,0.96,196.197998,
03/31/1995,2470,-1970,500,475,427,-14,1388,0,1388,-1002,386,0,386,-131,255,0,0,255,-6,249,,,249,,1.27,1.27,196.904999,1.27,1.27,1.27,196.904999,
06/30/1995,2405,-1897,508,470,436,35,1449,0,1449,-984,465,0,465,-150,315,0,0,315,-6,309,,,309,,1.56,1.56,198.240997,1.56,1.56,1.56,198.240997,
09/30/1995,2453,-1946,507,468,520,54,1549,0,1549,-1022,527,0,527,-167,360,0,0,360,-6,354,,,354,,1.78,1.78,199.300995,1.78,1.78,1.78,199.300995,
12/31/1995,2609,-2121,488,469,483,38,1478,0,1478,-990,488,40,528,-162,366,0,0,366,-6,360,0.0,0.0,360,1.8,1.8,1.8,199.830002,1.8,1.8,1.8,199.830002,
03/31/1996,2554,-2158,396,770,509,65,1740,0,1740,-1085,655,0,655,-216,439,0,0,439,-8,431,0.0,0.0,431,2.26,2.26,2.26,190.707993,2.13,2.13,2.13,202.134003,
06/30/1996,2559,-2162,397,764,524,76,1761,0,1761,-1104,657,0,657,-217,440,0,0,440,-7,433,0.0,0.0,433,2.27,2.27,2.27,190.748993,2.14,2.14,2.14,202.134003,
09/30/1996,2675,-2250,425,521,534,69,1549,0,1549,-1137,412,0,412,-136,276,0,0,276,-9,267,0.0,0.0,267,1.41,1.41,1.41,189.362,1.32,1.32,1.32,201.755997,
12/31/1996,2925,-2441,484,725,611,-15,1805,0,1805,-1197,608,0,608,-189,419,0,0,419,-9,410,0.0,0.0,410,2.17,2.17,2.17,188.9375,2.04,2.04,2.04,201.537994,
03/31/1997,2892,-2442,450,758,558,67,1833,0,1833,-1191,642,0,642,-218,424,0,0,424,-9,415,0.0,0.0,415,2.19,2.19,2.19,189.350998,2.04,2.04,2.04,203.138,
06/30/1997,3029,-2534,495,477,763,56,1791,0,1791,-1241,550,0,550,-176,374,0,0,374,-9,365,0.0,0.0,365,1.98,1.98,1.98,184.992996,1.85,1.85,1.85,198.149002,
09/30/1997,3161,-2689,472,724,685,35,1916,0,1916,-1326,590,0,590,-194,396,0,0,396,-9,387,0.0,0.0,387,2.1,2.1,2.1,184.046005,1.96,1.96,1.96,197.776001,
12/31/1997,3271,-2816,455,587,556,42,1640,0,1640,-1308,332,40,372,-101,271,0,0,271,-8,263,0.0,0.0,263,1.44,1.44,1.44,184.0,1.33,1.33,1.33,197.356995,
03/31/1998,3262,-2926,336,939,747,-25,1997,0,1997,-1417,580,-215,365,-128,237,0,0,237,-9,228,215.0,-86.0,357,1.97,1.26,1.26,181.796005,1.8,1.15,1.15,198.188995,
06/30/1998,3106,-2816,290,945,785,2,2022,0,2022,-1416,606,131,737,-256,481,0,0,481,-9,472,-131.0,52.0,393,2.14,2.57,2.57,183.470001,1.96,2.36,2.36,200.063995,
09/30/1998,3249,-2917,332,119,854,15,1320,-75,1245,-1099,146,56,202,-46,156,0,0,156,-9,147,-56.0,22.0,113,0.62,0.81,0.81,181.664001,0.58,0.75,0.75,196.395004,
12/31/1998,3024,-2701,323,564,644,8,1539,-35,1504,-1248,256,-143,113,-24,89,0,0,89,-10,79,143.0,-57.0,165,0.92,0.44,0.44,181.5,0.88,0.42,0.42,194.154999,
03/31/1999,2757,-2368,389,1093,850,159,2491,0,2491,-1567,924,0,924,-324,600,0,0,600,-9,591,0.0,0.0,591,3.24,3.24,3.23999,182.740997,3.01,3.01,3.01,196.382996,
06/30/1999,2713,-2288,425,774,908,-21,2086,105,2191,-1417,774,0,774,-270,504,0,0,504,-9,495,0.0,0.0,495,2.71,2.71,2.71,182.962997,2.52,2.52,2.52,196.539001,
09/30/1999,2783,-2394,389,695,874,-18,1940,45,1985,-1341,644,0,644,-202,442,0,0,442,-7,435,0.0,0.0,435,2.39,2.39,2.39,181.511993,2.22,2.22,2.22,194.671997,
12/31/1999,2717,-2379,338,990,879,-82,2125,25,2150,-1417,733,39,772,-263,509,0,0,509,-10,499,0.0,0.0,499,2.83,2.83,2.83,176.324997,2.63,2.63,2.63,190.097,
03/31/2000,3031,-2578,453,1107,1103,173,2836,0,2836,-1855,981,0,981,-353,628,0,0,628,-9,619,0.0,0.0,619,3.62,3.62,3.62,170.854004,3.37,3.37,3.37,183.589996,
06/30/2000,3244,-2865,379,1034,1003,59,2475,4,2479,-1660,819,0,819,-277,542,0,0,542,-10,532,0.0,0.0,532,3.1,3.1,3.099976,171.660004,2.9,2.9,2.9,183.731003,
09/30/2000,3354,-3004,350,851,917,197,2315,7,2322,-1609,713,0,713,-199,514,0,0,514,-10,504,0.0,0.0,504,2.97,2.97,2.97,169.246994,2.77,2.77,2.77,181.479004,
