Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1998,1488.199951,0.0,0.0,0,139.0,,,0.0,,,,,45.200001,,,,,,184.199997,826.5,1256.400024,-429.899994,0.0,,477.5,,,,477.5,1304.0,,38.299999,38.299999,,,,142.600006,,,,,,249.300007,,,249.300007,430.200012,61.400002,,,,,109.300003,,,,,109.300003,170.700005,600.900017,0,,,,0.0,,887.299988,887.299988,0.0,887.299988,1488.200005,
06/30/1998,1582.0,17.1,17.1,0,155.800003,,,11.8,,,,,30.299999,,,,,,215.0,861.099976,1308.199951,-447.100006,0.0,,505.899994,,,,505.899994,1366.999969,,41.0,41.0,,,,0.0,,,,,,1997.599976,,,1997.599976,2038.599976,62.400002,,,,,104.699997,,,,,104.699997,167.099998,2205.699974,0,,,,0.0,,-623.700012,-623.700012,0.0,-623.700012,1581.999962,
09/30/1998,1713.699951,21.4,21.4,0,162.5,,,12.6,,,,,27.5,,,,,,224.0,887.799988,1344.199951,-456.399994,0.0,,601.900024,,,,601.900024,1489.700012,,40.400002,40.400002,,,,3.7,,,,,,199.700001,,,199.700001,243.800003,102.199997,,,,,116.199997,,,,,116.199997,218.399994,462.199997,0,1205.300049,,,0.0,,46.200001,1251.50005,0.0,1251.50005,1713.700047,
12/31/1998,2812.100098,556.599976,556.599976,0,182.699997,,,13.3,13.3,0.0,0.0,0.0,31.4,,,,,,784.0,1096.099976,1569.099976,-473.0,0.0,,932.0,932.0,,,0.0,2028.099976,,64.699997,64.699997,,,,499.899994,,,,,,219.199997,,,219.199997,783.799988,557.200012,,,,,172.0,,,,,172.0,729.200012,1513.0,0,1205.300049,,,0.0,,93.800003,1299.100052,0.0,1299.100052,2812.100052,
03/31/1999,2788.300049,15.3,15.3,0,207.800003,,,,,,,,50.5,,,,,,273.600006,1391.400024,1884.300049,-492.899994,0.0,,1123.300049,1123.281006,,,0.019043,2514.700073,,45.0,45.0,,,,385.200012,,,,,,263.399963,,,263.399963,693.599976,557.400024,,,,,192.800003,,,,,192.800003,750.200027,1443.800003,0,1207.300049,,,0.0,,137.199997,1344.500046,0.0,1344.500046,2788.300049,
06/30/1999,3102.100098,44.900002,44.900002,0,234.300003,,,,,,,,46.599998,,,,,,325.799988,1526.099976,2046.599976,-520.5,0.0,,1250.199951,1564.699951,,,-314.5,2776.299927,,67.099998,67.099998,,,,27.0,,,,,,254.299995,,,254.299995,348.399994,1118.5,,,,,236.199997,,,,,236.199997,1354.699997,1703.099991,0,1207.300049,,,0.0,,191.699997,1399.000046,0.0,1399.000046,3102.100037,
09/30/1999,3267.6,9.8,9.8,0,249.8,249.8,,,,,,,62.5,,,,,,322.1,1564.7,2110.3,-545.6,0.0,,1380.8,1380.8,,,0.0,2945.5,,65.0,65.0,,,,76.8,,,,,,279.9,,,279.9,421.7,1153.9,,,,,240.5,,,,,240.5,1394.4,1816.1,0,1207.3,,,0.0,244.2,0.0,1451.5,0.0,1451.5,3267.6,
12/31/1999,3288.300049,13.1,13.1,0,250.899994,,,20.299999,20.299999,0.0,0.0,0.0,47.700001,,,,,,332.0,1605.5,2174.300049,-568.799988,0.0,,1350.800049,1297.300049,,,53.5,2956.300049,,76.099998,76.099998,,,,57.200001,,,,,,251.999989,,,251.999989,385.299988,1152.099976,,,,,248.199997,,,,,248.199997,1400.299973,1785.59996,0,1208.099976,,,0.0,,294.600006,1502.699982,0.0,1502.699982,3288.299942,
03/31/2000,3336.0,0.0,0.0,0,244.5,,,,,,,,69.599998,,,,,,314.100006,1639.400024,2223.399902,-584.0,0.0,,1382.5,1331.300049,,,51.199951,3021.900024,,65.099998,65.099998,,,,39.299999,,,,,,251.499996,,,251.499996,355.899994,1154.599976,,,,,272.600006,,,,,272.600006,1427.199982,1783.099976,0,1208.099976,,,0.0,,344.799988,1552.899963,0.0,1552.899963,3335.999939,
06/30/2000,3375.600098,0.0,0.0,0,246.800003,,,,,,,,92.699997,,,,,,339.5,1608.800049,2198.5,-589.700012,0.0,,1427.300049,1376.900024,,,50.400024,3036.100098,,64.900002,64.900002,,,,53.799999,,,,,,248.099987,,,248.099987,366.799988,1103.0,,,,,292.200012,,,,,292.200012,1395.200012,1762.0,0,1209.599976,,,0.0,,404.0,1613.599976,0.0,1613.599976,3375.599976,
