Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Unbilled Revenues,Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Pension Costs,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
12/31/1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/29/1997,24349.0,1847.0,1580.0,267.0,4294.0,,,,3472.0,,,,,2209.0,,,,,11822.0,9525.0,19691.0,-10166.0,0.0,,3002.0,,,,,3002.0,12527.0,,1865.0,1865.0,,,,1469.0,,,,,,4719.0,,,4719.0,8053.0,1908.0,,,,,2377.0,,,2377.0,4285.0,12338.0,0.0,,,,0.0,,12011.0,12011.0,0.0,12011.0,24349.0,
06/28/1997,25473.0,1771.0,1453.0,318.0,4659.0,,,,3663.0,,,,,2276.0,,,,,12369.0,9554.0,20220.0,-10666.0,0.0,,3550.0,,,,,3550.0,13104.0,,2085.0,2085.0,,,,1351.0,,,,,,4943.0,,,4943.0,8379.0,1907.0,,,,,2640.0,,,2640.0,4547.0,12926.0,0.0,,,,0.0,,12547.0,12547.0,0.0,12547.0,25473.0,
09/27/1997,26642.0,2059.0,1768.0,291.0,4547.0,,,,3979.0,,,,,2312.0,,,,,12897.0,9545.0,20597.0,-11052.0,0.0,,4200.0,,,,,4200.0,13745.0,,2071.0,2071.0,,,,1379.0,,,,,,5202.0,,,5202.0,8652.0,1905.0,,,,,2997.0,,,2997.0,4902.0,13554.0,0.0,,,,0.0,,13088.0,13088.0,0.0,13088.0,26642.0,
12/31/1997,27278.0,1780.0,1445.0,335.0,4847.0,4847.0,,,4096.0,,,,,2513.0,,,,,13236.0,9856.0,,,0.0,,4186.0,,,,,4186.0,14042.0,,2297.0,2297.0,,,,1282.0,,,,,,5476.0,,,5476.0,9055.0,2144.0,,,,,2807.0,,,2807.0,4951.0,14006.0,0.0,3768.0,,,,9504.0,0.0,13272.0,0.0,13272.0,27278.0,
03/28/1998,28067.0,1798.0,1509.0,289.0,4906.0,4906.0,,,4408.0,,3226.0,1182.0,,2512.0,,,,,13624.0,9927.0,21774.0,-11847.0,0.0,,4516.0,,,,,4516.0,14443.0,,2098.0,2098.0,,,,1994.0,,,,,,5386.0,,,5386.0,9478.0,2127.0,,,,,2935.0,,,2935.0,5062.0,14540.0,0.0,3519.0,,,,9612.0,396.0,13527.0,0.0,13527.0,28067.0,
06/27/1998,28672.0,1445.0,1177.0,268.0,4904.0,4904.0,,,4383.0,,3156.0,1227.0,,3020.0,,,,,13752.0,9990.0,,,,,4930.0,,,,,4930.0,14920.0,,1972.0,1972.0,,,,2973.0,,,,,,6584.0,,,6584.0,11529.0,2129.0,,,,,2942.0,,,2942.0,5071.0,16600.0,,3532.0,,,,8212.0,328.0,12072.0,,12072.0,28672.0,
09/26/1998,28930.0,1507.0,1257.0,250.0,5023.0,,,,4290.0,,3177.0,1113.0,,3400.0,,,,,14220.0,9957.0,22408.0,-12451.0,0.0,,4753.0,0.0,,,,4753.0,14710.0,,2056.0,2056.0,,,,3598.0,,,,,,6631.0,,,6631.0,12285.0,2133.0,,,,,2622.0,,,2622.0,4755.0,17040.0,0.0,3656.0,,,0.0,,8234.0,11890.0,0.0,11890.0,28930.0,
12/31/1998,28728.0,1624.0,1453.0,171.0,5057.0,5057.0,,,3745.0,,,,,3105.0,,,,,13531.0,10049.0,,,0.0,,5148.0,,,,,5148.0,15197.0,,2305.0,2305.0,,,,2909.0,,,,,,6226.0,,,6226.0,11440.0,2633.0,,,,,2433.0,,,2433.0,5066.0,16506.0,0.0,3698.0,,,,8254.0,0.0,11952.0,270.0,12222.0,28728.0,
04/03/1999,29663.0,1990.0,1714.0,276.0,4885.0,4885.0,,,3636.0,,2633.0,1003.0,,3094.0,,,,,13605.0,9568.0,22562.0,-12994.0,0.0,,6490.0,0.0,,,,6490.0,16058.0,,2206.0,2206.0,,,,2255.0,,,,,,5880.0,,,5880.0,10341.0,2629.0,,,,,3805.0,,,3805.0,6434.0,16775.0,0.0,3745.0,,,0.0,8353.0,790.0,12888.0,0.0,12888.0,29663.0,
