Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Taxes Receivable,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Deferred Tax Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/20/2006,1538.41,276.09,261.583,14.507,134.945,134.945,,454.359,0.0,0.0,0.0,454.359,98.802,,,,964.196,487.627,,,0,86.587,0.0,,,,86.587,574.214,,212.115,212.115,,,,43.947,40.237,3.71,3.71,293.678,,,,293.678,549.74,4.756,0.103,4.653,4.653,1288.227,,,,,1288.227,1292.983,1842.723,0,178.27,,,-462.628,-19.955,-304.313,0,-304.313,1538.41,
01/10/2007,1622.355,136.779,132.62,4.159,104.076,104.076,,623.739,,,624.389,-0.65,131.483,,,,996.077,234.115,241.813,-7.698,0,392.163,360.42,,,,31.743,626.278,,221.492,221.492,,,,4.093,0.0,4.093,4.093,298.382,,,,298.382,523.967,8.631,0.0,8.631,8.631,340.558,,,,,340.558,349.189,873.156,0,759.147,,,-9.949,0.001,749.199,0,749.199,1622.355,
04/04/2007,1620.641,186.499,181.674,4.825,90.125,90.125,,632.163,0.0,0.0,0.0,0.0,102.478,,,,1011.265,242.845,262.356,-19.511,0,366.531,353.725,,,,12.806,609.376,,308.142,308.142,,,,4.421,0.0,4.421,4.421,201.692,,,,201.692,514.255,9.089,0.044,9.045,9.045,329.091,,,,,329.091,338.18,852.435,0,760.307,,,7.88,0.019,768.206,0,768.206,1620.641,
06/27/2007,1670.891,206.782,201.946,4.836,94.173,94.173,,641.458,0.0,0.0,0.0,641.458,79.765,,,,1022.178,300.174,331.675,-31.501,0,348.539,331.803,,,,16.736,648.713,,262.787,262.787,,,,6.289,0.0,6.289,6.289,273.233,,,,273.233,542.309,18.636,0.014,18.622,18.622,313.005,,,,,313.005,331.641,873.95,0,762.455,,,28.465,6.021,796.941,0,796.941,1670.891,
09/19/2007,1681.076,212.356,207.447,4.909,109.265,86.311,,624.489,,,,,58.442,,,,1004.552,332.082,,,0,344.442,328.211,,,,16.231,676.524,,269.332,269.332,,,,6.287,0.0,6.287,6.287,278.345,,,,278.345,553.964,18.035,0.085,17.95,17.95,310.229,,,,,310.229,328.264,882.228,0,765.22,,,27.675,5.953,798.848,0,798.848,1681.076,
01/09/2008,1688.694,141.768,101.768,40.0,121.597,99.017,,652.424,,,,,57.818,,,,973.607,379.736,,,0,335.351,318.237,,,,17.114,715.087,,301.173,301.173,,,,7.218,0.0,7.218,7.218,254.09,,,,254.09,562.481,17.992,0.0,17.992,17.992,301.352,,,,,301.352,319.344,881.825,0,769.311,,,31.746,5.812,806.869,0,806.869,1688.694,
04/02/2008,1711.383,177.845,177.845,0.0,97.759,88.405,,662.578,,,,0.0,60.324,,,,998.506,396.318,,,0,316.559,301.147,,,,15.412,712.877,,313.761,313.761,,,,7.522,0.0,7.522,7.522,249.875,,,,249.875,571.158,17.381,0.039,17.342,17.342,297.694,,,,,297.694,315.075,886.233,0,772.654,,,46.77,5.726,825.15,0,825.15,1711.383,
06/25/2008,1775.521,201.275,201.275,0.0,82.109,79.912,,649.022,,,,,46.973,,,,979.379,446.866,537.745,-90.879,0,349.276,294.775,,,,54.501,796.142,,340.211,340.211,,,,7.92,0.0,7.92,7.92,317.205,,,,317.205,665.336,17.756,0.058,17.698,17.698,266.802,,,,,266.802,284.558,949.894,0,776.113,,,41.277,8.237,825.627,0,825.627,1775.521,
09/17/2008,1725.72,161.928,161.928,0.0,69.839,69.839,0.0,649.189,,,,,39.722,,5.245,34.477,920.678,469.245,,,0,335.797,287.738,,,38.85,9.209,805.042,,479.167,291.427,,,187.74,8.7,0.0,8.7,8.7,127.124,,,49.857,77.267,614.991,20.258,0.0,20.258,20.258,263.778,,,,,263.778,284.036,899.027,0,779.548,0.054,779.494,39.007,8.138,826.693,0,826.693,1725.72,
01/07/2009,1750.193,145.056,145.056,0.0,77.61,77.61,0.0,661.458,,,,,39.904,,6.259,33.645,924.028,518.737,,,0,307.428,263.802,,,37.645,5.981,826.165,,487.1,306.028,,,181.072,10.158,0.0,10.158,10.158,127.379,,,48.711,78.668,624.637,24.667,0.0,24.667,24.667,254.158,,,,,254.158,278.825,903.462,0,783.616,0.054,783.562,55.109,8.006,846.731,0,846.731,1750.193,
