Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
09/28/1991,45.73,30.855999,0.556,30.299999,7.189,,,5.739,,,,,0.047,,,,,,,,43.831001,1.888,,,0.0,,0.011,,,,0.011,1.899,,2.049,2.049,,,,0.049,,,,,,12.042,,,12.042,14.14,0.413,,,,,0.234,,,,,,0.234,0.647,14.787,0.0,24.591999,,,0.0,,6.351,30.942999,0.0,30.942999,45.729999,
12/28/1991,48.901001,31.192,0.765,30.427,8.536,,,7.024,,,,,0.091,,,,,,,,46.842999,2.034,4.591,-2.557,0.0,,0.024,,,,0.024,2.058,,2.819,2.819,,,,0.049,,,,,,14.184999,,,14.184999,17.052999,0.399,,,,,0.739,,,,,,0.739,1.138,18.191,0.0,24.52,,,0.0,,6.19,30.710001,0.0,30.710001,48.901,
03/28/1992,45.883999,28.143,0.427,27.716,8.143,,,7.078,,,,,0.094,,,,,,,,43.458,2.392,,,0.0,,0.034,,,,0.034,2.426,,2.504,2.504,,,,4.05,,,,,,5.154,,,5.154,11.708,0.385,,,,,0.765,,,,,,0.765,1.15,12.858,0.0,24.518,,,0.0,,8.508,33.026,0.0,33.026,45.884,
06/27/1992,47.752998,28.751001,0.818,27.933001,10.122,,,6.344,,,,,0.053,,,,,,,,45.27,2.449,,,0.0,,0.034,,,,0.034,2.483,,2.729,2.729,,,,4.05,,,,,,3.561,,,3.561,10.34,0.373,,,,,0.861,,,,,,0.861,1.234,11.574,0.0,24.518,,,0.0,,11.661,36.179,0.0,36.179,47.753,
09/26/1992,50.249001,31.054,1.676,29.378,9.003,,,6.68,,,,,0.119,,,,,,,,46.855999,3.359,,,0.0,,0.034,,,,0.034,3.393,,3.611,3.611,,,,4.051,,,,,,2.572999,,,2.572999,10.235,0.36,,,,,0.664,,,,,,0.664,1.024,11.259,0.0,24.518,,,0.0,,14.472,38.99,0.0,38.99,50.248999,
12/31/1992,54.845001,33.681002,1.038,32.643002,8.043,,,9.42,,,,,0.216,,,,,,,,51.360001,3.407,6.772,-3.365,0.0,,0.078,,,,0.078,3.485,,4.874,4.874,,,,4.052,,,,,,3.044,,,3.044,11.97,0.347,,,,,0.351,,,,,,0.351,0.698,12.668,0.0,24.52,,,0.0,,17.657,42.177,0.0,42.177,54.845,
04/03/1993,58.791,35.029001,1.004,34.025002,10.341,,,9.754,,,,,0.207,,,,,,,,55.331001,3.382,,,0.0,,0.078,,,,0.078,3.46,,3.349,3.349,,,,4.052,,,,,,4.686,,,4.686,12.087,0.333,,,,,0.352,,,,,,0.352,0.685,12.772,0.0,24.715,,,0.0,,21.304001,46.019001,0.0,46.019001,58.791001,
07/03/1993,60.981998,34.250999,0.686,33.564999,12.372,,,10.661,,,,,0.252,,,,,,,,57.535999,3.366,,,0.0,,0.08,,,,0.08,3.446,,2.464,2.464,,,,4.053,,,,,,3.475,,,3.475,9.992,0.32,,,,,0.379,,,,,,0.379,0.699,10.691,0.0,24.715,,,0.0,,25.576,50.291,0.0,50.291,60.982,
10/02/1993,70.801003,40.546,3.296,37.25,14.065,,,11.611,,,,,0.236,,,,,,,,66.458,4.264,,,0.0,,0.079,,,,0.079,4.343,,4.626,4.626,,,,4.053,,,,,,6.09,,,6.09,14.769,0.308,,,,,0.296,,,,,,0.296,0.604,15.373,0.0,24.752001,,,0.0,,30.676001,55.428001,0.0,55.428001,70.801001,
12/31/1993,76.696999,41.498001,2.368,39.130001,15.352,,,14.469,,,,,0.167,,,,,,,,71.486,4.898,9.305,-4.407,0.0,,0.313,,,,0.313,5.211,,5.265,5.265,,,,4.054,,,,,,6.195,,,6.195,15.514,0.293,,,,,0.255,,,,,,0.255,0.548,16.062,0.0,24.805,,,0.0,,35.830002,60.635002,0.0,60.635002,76.697002,
