Date,Cash From Operating Activities,Net Income,D&A and Provision for Loan Losses,Other Non-Cash Adjustments,Changes in Non-Cash Capital,Cash From Operations,Cash From Investing Activities,Disposal of Fixed Assets,Capital Expenditures,Increase in Investments,Decrease in Investments,Change in Loans,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Change in Short-Term Borrowings,Increase in Long-Term Borrowings,Decrease In Long-Term Borrowings,Increase in Capital Stocks,Decrease in Capital Stocks,Change in Deposits,Other Financing Activities,Net Changes in Cash,Direct Method Cashflow,Source: Bloomberg
03/31/1990,,64.464996,45.741001,-96.431,65.039001,78.814003,,,,,,,,,,,,,,,,,,,
06/30/1990,,67.569,51.568001,-141.354996,32.349998,10.132,,,,,,,,,,,,,,,,,,,
09/30/1990,,65.083,49.187,-91.514999,58.68,81.434998,,,,,,,,,,,,,,,,,,,
12/31/1990,,36.424,95.405998,187.457993,-0.459,318.82901,,,,,,,,,,,,,,,,,318.82901,,
03/31/1991,,51.383999,76.216003,-138.854996,24.808001,13.553,,,,,,,,,,,,,,,,,,,
06/30/1991,,74.944,92.917999,-43.301998,-48.737999,75.821999,,,,,,,,,,,,,,,,,,,
09/30/1991,,69.884003,81.352997,-17.594,6.81,140.453003,,,,,,,,,,,,,,,,,,,
12/31/1991,,49.992001,99.097,67.830002,-67.166,140.354004,,,,,,,,,,,,,,,,,,,
03/31/1992,,82.105003,64.000999,-32.522999,-87.892998,25.690001,,,,,,,,,,,,,,,,,,,
06/30/1992,,98.233002,76.195,-32.979,-59.946999,81.501999,,,,,,,,,,,,,,,,,,,
09/30/1992,,89.623001,50.056,70.348,-127.792999,82.234001,,,,,,,,,,,,,,,,,,,
12/31/1992,,90.050003,35.882,-20.628,51.549,143.764999,,,,,,,,,,,,,,,,,143.764999,,
03/31/1993,,95.321999,49.271999,61.575001,-0.422,205.746994,,,,,,,,,,,,,,,,,,,
06/30/1993,,102.454002,49.446999,-118.089996,-72.927002,-39.116001,,,,,,,,,,,,,,,,,,,
09/30/1993,,102.676003,60.313,-71.065002,-19.407,72.516998,,,,,,,,,,,,,,,,,,,
12/31/1993,,103.544998,52.388,-89.536003,-182.425995,-116.028999,,,,,,,,,,,,,,,,,-116.028999,,
03/31/1994,,103.806999,50.703999,94.950996,325.475006,574.937012,,,,,,,,,,,,,,,,,,,
06/30/1994,,105.841003,47.632999,-93.407997,124.495003,184.561005,,,,,,,,,,,,,,,,,,,
