Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Deferred Tax Liabilities,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1615,49,49,0,333,,,130,,,,,0,,,,,,512,875,1435,-560,0.0,,,228,,,,,228,1103,,137,137,,,,182.0,,,,,224,,,,224,543,2272.0,,,,213,,,,,213,2485,3028,0.0,26,,,,,-1453,-1427,14.0,-1413,1615,
06/30/1990,1587,40,40,0,313,,,139,,,,,0,,,,,,492,869,1437,-568,0.0,,,226,,,,,226,1095,,134,134,,,,167.0,,,,,220,,,,220,521,2265.0,,,,211,,,,,211,2476,2997,0.0,26,,,,,-1450,-1424,14.0,-1410,1587,
09/30/1990,1648,96,96,0,319,,,141,,,,,0,,,,,,556,869,1447,-578,0.0,,,223,,,,,223,1092,,134,134,,,,251.0,,,,,207,,,,207,592,2262.0,,,,211,,,,,211,2473,3065,0.0,28,,,,,-1458,-1430,13.0,-1417,1648,
12/31/1990,1675,175,175,0,282,,,103,,,,,137,,,,,,697,825,1400,-575,0.0,,,153,,,,,153,978,,104,104,,,,2588.0,,,,,203,,,,203,2895,72.0,,,,213,,,,,213,285,3180,0.0,28,,,,,-1546,-1518,13.0,-1505,1675,
03/31/1991,1652,154,154,0,276,,,109,,,,,139,,,,,,678,816,1401,-585,0.0,,,158,,,,,158,974,,97,97,,,,2539.0,,,,,276,,,,276,2912,75.0,,,,212,,,,,212,287,3199,0.0,29,,,,,-1588,-1559,12.0,-1547,1652,
06/30/1991,1658,151,151,0,297,,,104,,,,,143,,,,,,695,805,1402,-597,0.0,,,158,,,,,158,963,,97,97,,,,2560.0,,,,,333,,,,333,2990,69.0,,,,196,,,,,196,265,3255,0.0,30,,,,,-1639,-1609,12.0,-1597,1658,
09/30/1991,1651,179,179,0,314,,,107,,,,,84,,,,,,684,807,1418,-611,0.0,,,160,,,,,160,967,,106,106,,,,2583.0,,,,,321,,,,321,3010,70.0,,,,198,,,,,198,268,3278,0.0,30,,,,,-1668,-1638,11.0,-1627,1651,
12/31/1991,1626,155,155,0,298,,,110,,,,,84,,,,,,647,819,1443,-624,0.0,,,160,,,,,160,979,,95,95,,,,2762.0,,,,,162,,,,162,3019,76.0,,,,200,,,,,200,276,3295,0.0,29,,,,,-1709,-1680,11.0,-1669,1626,
03/31/1992,1617,160,160,0,281,,,116,,,,,85,,,,,,642,805,1435,-630,0.0,,,170,,,,,170,975,,100,100,,,,2602.0,,,,,381,,,,381,3083,72.0,,,,186,,,,,186,258,3341,0.0,29,,,,,-1764,-1735,11.0,-1724,1617,
06/30/1992,1642,149,149,0,305,,,128,,,,,86,,,,,,668,805,1446,-641,0.0,,,169,,,,,169,974,,100,100,,,,2617.0,,,,,450,,,,450,3167,73.0,,,,173,,,,,173,246,3413,0.0,30,,,,,-1811,-1781,10.0,-1771,1642,
