Date,Revenue,Cost of Revenue,Gross Profit,Operating Expenses,"Selling, General & Admin",Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
06/17/1989,3273.512939,-2956.879883,316.633057,-232.576004,,,84.056999,-15.463001,,22.325001,,,-6.862,68.593998,-27.534,41.060001,,41.059998,,41.060001,,,41.060001,41.060001,,21.401136,1.925001,1.925001,,21.401136,1.925001,1.925001,1.925001,
09/09/1989,2549.215088,-2302.754883,246.460205,-191.050003,,,55.41,-12.885,,18.636,,,-5.751,42.525,-16.868999,25.656,,25.656001,,25.656,,,25.656,25.656,,21.417707,1.19,1.19,,21.417707,1.19,1.19,1.19,
12/02/1989,2669.824951,-2395.441895,274.383057,-198.722,,,75.661003,-13.169,,19.559999,,,-6.391,62.492003,-24.968,37.523998,,37.524003,,37.523998,,,37.523998,37.523998,,21.425993,1.750001,1.750001,,21.425993,1.750001,1.750001,1.750001,
02/24/1990,2643.4729,-2364.522949,278.949951,-197.419006,,,81.530998,-11.656,,16.841,,,-5.185,69.874999,-26.368999,43.506001,,43.505999,,43.506001,,,43.506001,43.506001,,21.441565,2.030001,2.030001,,21.441565,2.030001,2.030001,2.030001,
06/16/1990,3028.60498,-2811.138916,217.466064,-151.429993,,,66.036003,-24.681,,22.414,,0.0,2.267,41.355003,0.0,41.355,0.0,41.355003,0.0,41.355,0.0,,41.355,41.355,,21.458852,1.925001,1.925001,1.925001,21.458852,1.925001,1.925001,1.925001,
09/08/1990,2334.784912,-2166.311035,168.473877,-121.483002,,,46.991001,-18.432999,,16.285999,,0.0,2.147,28.558002,0.0,28.558001,0.0,28.558002,0.0,28.558001,0.0,,28.558001,28.558001,,21.476565,1.33,1.33,1.33,21.476565,1.33,1.33,1.33,
12/01/1990,2391.01001,-2218.782959,172.227051,-124.407997,,,47.819,4.260999,,19.879,,0.0,-24.139999,52.079999,-14.078,38.001999,0.0,38.001999,0.0,38.001999,0.0,,38.001999,38.001999,,21.483137,1.785001,1.785001,1.785001,21.483137,1.785001,1.785001,1.785001,
02/23/1991,2350.499023,-2164.653076,185.845947,-134.651001,,,51.195,-3.974,,17.417,,0.0,-13.443,47.221,0.0,47.221001,0.0,47.221,0.0,47.221001,0.0,,47.221001,47.221001,,21.489707,2.205001,2.205001,2.205001,21.489707,2.205001,2.205001,2.205001,
06/15/1991,3151.716064,-2926.959961,224.756103,-156.014999,,,68.740997,-1.051001,,23.146,,0.0,-22.094999,67.689996,-22.778,44.911999,13.288,31.623996,0.0,31.624001,0.0,,31.624001,31.624001,,21.499137,1.47,2.100001,2.100001,21.499137,1.47,2.100001,2.100001,
09/07/1991,2380.460938,-2201.363037,179.097901,-125.900002,,,53.198002,-4.700001,,17.478001,,0.0,-12.778,48.498001,-17.712999,30.785,0.0,30.785002,0.0,30.785,0.0,,30.785,30.785,,21.511708,1.435,1.435,1.435,21.511708,1.435,1.435,1.435,
