Date,Revenue,Sales & Services Revenue,Financing Revenue,Other Revenue,Cost of Revenue,Cost of Goods & Services,Cost of Financing Revenue,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Research & Development,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
09/30/1988,13714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1247.0,,,1247.0,1247.0,,2375.236084,0.525,0.525,0.525,2375.236084,0.525,0.525,0.525,
12/31/1988,20002.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2347.0,,,2347.0,2347.0,,2364.736084,0.9925,0.9925,0.9925,2364.736084,0.9925,0.9925,0.9925,
03/31/1989,12730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,950.0,,,950.0,950.0,,2360.248047,0.4025,0.4025,0.4025,2360.248047,0.4025,0.4025,0.4025,
06/30/1989,15213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1340.0,,,1340.0,1340.0,,2320.3479,0.5775,0.5775,0.5775,2320.3479,0.5775,0.5775,0.5775,
09/30/1989,14305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,877.0,,,877.0,877.0,,2323.179932,0.3775,0.3775,0.3775,2323.179932,0.3775,0.3775,0.3775,
12/31/1989,20462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0,,,591.0,591.0,,2303.600098,0.26,0.26,0.26,2303.600098,0.26,0.26,0.26,
03/31/1990,14185.0,,,,-6328.0,,,7857.0,,-5721.0,,,,2136.0,-309.0,,504.0,,0.0,-195.0,1827.0,-790.0,,1037.0,0.0,,,1037.0,0.0,1037.0,0.0,,1037.0,1037.0,,2296.800049,0.4525,0.4525,0.4525,2296.800049,0.4525,0.4525,0.4525,
06/30/1990,16495.0,,,,-7388.0,,,9107.0,,-6520.0,,,,2587.0,-114.0,,237.0,,0.0,-123.0,2473.0,-1063.0,,1410.0,0.0,,,1410.0,0.0,1410.0,0.0,,1410.0,1410.0,,2293.199951,0.6125,0.6125,0.6125,2293.199951,0.6125,0.6125,0.6125,
09/30/1990,15277.0,,,,-6677.0,,,8600.0,,-6547.0,,,,2053.0,-144.0,,226.0,,0.0,-82.0,1909.0,-797.0,,1112.0,0.0,,,1112.0,0.0,1112.0,0.0,,1112.0,1112.0,,2287.600098,0.4875,0.4875,0.4875,2287.600098,0.4875,0.4875,0.4875,
12/31/1990,23061.0,,,,-10330.0,,,12731.0,,-8475.0,,,,4256.0,-262.0,,357.0,,0.0,-95.0,3994.0,-1533.0,,2461.0,0.0,,,2461.0,0.0,2461.0,0.0,,2461.0,2461.0,,2284.887939,1.075,1.075,1.075,2284.887939,1.075,1.075,1.075,
