Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Taxes Receivable,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Prepaid Expense,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Compensation,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1990,1613.334961,43.203999,43.203999,,97.679001,,,27.951,,,,,11.999,,,,,,,180.832993,309.665985,,,602.33197,520.504028,,,,,520.504028,1432.501984,,10.444,10.444,,,,8.956,,,,,,35.649999,,,35.649999,55.049999,482.942993,,,,,509.473999,,,,,,,509.473999,992.416992,1047.466991,0.1,422.269989,,,0.0,,143.498001,565.86799,,565.86799,1613.334982,
06/30/1990,1608.389038,22.493,22.493,,102.098,,,26.754999,,,,,16.497,,,,,,,167.843002,291.725006,,,610.203003,538.617981,,,,,538.617981,1440.54599,,9.754,9.754,,,,8.712,,,,,,35.66,,,35.66,54.125999,597.067993,,,,,499.135986,,,,,,,499.135986,1096.203979,1150.329979,,308.462006,,,0.0,,149.597,458.059006,,458.059006,1608.388985,
09/30/1990,1477.108032,16.101999,16.101999,,114.807999,,,27.115,,,,,12.545,,,,,,,170.570007,295.760986,,,624.481995,386.295013,,,,,386.295013,1306.537994,,11.164,11.164,,,,8.381,,,,,,42.342002,,,42.342002,61.887001,489.635986,,,,,507.701996,,,,,,,507.701996,997.337982,1059.224983,,271.566986,,,0.0,,146.315994,417.88298,,417.88298,1477.107964,
12/31/1990,1653.688965,17.788,17.788,,128.529007,,,28.233,,,,,5.608,,,,,,,180.158005,317.115997,424.973999,-107.858002,703.666016,452.748993,,,,,452.748993,1473.531006,,23.962,23.962,,,,7.205,,,,,,35.599998,,,35.599998,66.766998,577.377991,,,,,575.221008,,,,,,,575.221008,1152.598999,1219.365997,,310.761993,,,0.0,,123.560997,434.32299,,434.32299,1653.688987,
03/31/1991,1716.109009,11.407,11.407,,131.222,,,29.461,,,,,6.839,,,,,,,178.929001,326.890015,,,734.221985,476.067993,,,,,476.067993,1537.179993,,15.683,15.683,,,,6.882,,,,,,40.094001,,,40.094001,62.659,597.741028,,,,,601.705994,,,,,,,601.705994,1199.447021,1262.106022,,311.817993,,,0.0,,142.184998,454.002991,,454.002991,1716.109013,
06/30/1991,1755.687012,22.402,22.402,,137.975006,,,30.145,,,,,7.385,,,,,,,197.906998,336.919006,,,713.978027,506.882996,,,,,506.882996,1557.780029,,13.011,13.011,,,,7.477,,,,,,31.618999,,,31.618999,52.106998,619.557007,,,,,606.171021,,,,,,,606.171021,1225.728027,1277.835026,,322.375,,,0.0,,155.477005,477.852005,,477.852005,1755.687031,
09/30/1991,1905.225952,24.638,24.638,,131.011993,,,32.145,,,,,9.292,,,,,,,197.087006,383.431,,,695.620972,629.086975,,,,,629.086975,1708.138947,,17.843,17.843,,,,9.456,,,,,,47.033999,,,47.033999,74.333,647.427002,,,,,606.083008,,,,,,,606.083008,1253.51001,1327.84301,,410.747986,,,0.0,,166.634995,577.38298,,577.38298,1905.22599,
12/31/1991,2123.451904,38.422001,38.422001,,153.809006,,,34.928001,,,,,9.432,,,,,,,236.591003,447.984985,571.961975,-123.976997,718.682007,720.19397,,,,,720.19397,1886.860962,,20.84,20.84,,,,13.828,,,,,,45.54,,,45.54,80.208,786.684998,,,,,640.78302,,,,,,,640.78302,1427.468018,1507.676018,,445.923004,,,0.0,,169.852997,615.776001,,615.776001,2123.452019,
03/31/1992,2182.512939,23.316999,23.316999,,150.029999,,,35.457001,,,,,5.622,,,,,,,214.425995,454.944,,,741.088013,772.054993,,,,,772.054993,1968.087006,,22.186001,22.186001,,,,8.566,,,,,,56.961996,,,56.961996,87.713997,787.374023,,,,,667.594971,,,,,,,667.594971,1454.968994,1542.682991,,455.85199,,,0.0,,183.977997,639.829987,,639.829987,2182.512978,
06/30/1992,2246.25293,26.006001,26.006001,,162.600998,,,36.575001,,,,,8.096,,,,,,,233.278,458.084015,,,773.398987,781.492004,,,,,781.492004,2012.975006,,18.969,18.969,,,,7.832,,,,,,44.172,,,44.172,70.973,843.848022,,,,,683.710022,,,,,,,683.710022,1527.558044,1598.531044,,455.65799,,,0.0,,192.063995,647.721985,,647.721985,2246.253029,
