Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Provision for Loan Losses,Non-Cash Items,Gain on Sale of Secs & Loans,Deferred Income Taxes,Other Non - Cash Adjusted,Net Ch in Operating Capital,Net Ch in Operating Loans,Other Op Assets/Liab,Net Cash From Disc Ops,Cash from Investing Activities,Net Change in Fixed Assets,Disposal of Fixed Assets,Capital Expenditures/Prop Add,Net Change in Investments,Decrease in Investments,Dec in HTM Investments,Dec in AFS Investments,Dec in Other Investments,Increase in Investments,Inc in HTM Investments,Inc in AFS Investments,Inc in Other Investments,Net Ch in Loans & Interbank,Net Ch in Customer Loans,Net Ch in Interbank Assets,Net Ch in Loans,Net Cash from Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Net Ch in Interbank Trans,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Net Change In Deposits,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Taxes,Cash Paid for Interest,Source: Bloomberg
03/31/1990,1869.0,111,84.0,,62.0,,,62.0,1612.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,1088.0,118,87.0,,60.0,,,60.0,823.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,834.0,123,87.0,,60.0,,,60.0,564.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1990,-1688.0,62,192.0,,-111.0,,,-111.0,-1831.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,1116.0,127,97.0,,79.0,,,79.0,813.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,3037.0,133,99.0,,65.0,,,65.0,2740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,-1387.0,149,104.0,,55.0,,,55.0,-1695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1991,3113.0,146,107.0,,-88.0,,,-88.0,2948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,5718.0,141,104.0,,83.0,,,83.0,5390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,-5112.0,165,108.0,,85.0,,,85.0,-5470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,-4720.0,161,112.0,,77.0,,,77.0,-5070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1992,5701.0,155,101.0,,-139.0,,,-139.0,5584.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5701.0,,,
03/31/1993,-3923.0,202,75.0,,103.0,,,103.0,-4303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,6600.0,180,75.0,,111.0,,,111.0,6234.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,-4172.0,200,75.0,,186.0,,,186.0,-4633.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1993,12101.0,204,75.0,,-73.0,,,-73.0,11895.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12101.0,,,
03/31/1994,-643.0,233,109.0,,46.0,,,46.0,-1031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,-2028.0,249,108.0,,51.0,,,51.0,-2436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,-5034.0,249,76.0,,53.0,,,53.0,-5412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/1994,-6882.0,252,-93.0,,259.0,,,259.0,-7300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6882.0,,,
03/31/1995,-286.0,258,60.0,,73.0,,,73.0,-677.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
06/30/1995,2910.0,264,60.0,,70.0,,,70.0,2516.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
09/30/1995,2220.0,278,65.0,,65.0,,,65.0,1812.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,
12/31/1995,-3092.0,291,70.0,,60.0,,,60.0,-3513.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,-3092.0,,,
