Date,Cash from Operating Activities,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Deferred Income Taxes,Other Non-Cash Adj,Chg in Non-Cash Work Cap,Inc (Dec) in Other,Net Cash From Disc Ops,Cash from Investing Activities,Change in Fixed & Intang,Disp in Fixed & Intang,Disp of Fixed Prod Assets,Disp of Intangible Assets,Acq of Fixed & Intang,Acq of Fixed Prod Assets,Acq of Intangible Assets,Net Change in LT Investment,Dec in LT Investment,Inc in LT Investment,Net Cash From Acq & Div,Cash from Divestitures,Cash for Acq of Subs,Cash for JVs,Other Investing Activities,Cash from Financing Activities,Dividends Paid,Cash From (Repayment) Debt,Cash From (Repay) ST Debt,Cash From LT Debt,Repayments of LT Debt,Cash (Repurchase) of Equity,Increase in Capital Stock,Decrease in Capital Stock,Other Financing Activities,Effect of Foreign Exchange Rates,Net Changes in Cash,Cash Paid for Interest,Source: Bloomberg
12/31/1989,43.088001,27.743,30.604,-5.948,,,-5.948,-9.311,-9.311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1990,28.718,45.514999,31.917,-7.288,,,-7.288,-41.425999,-41.425999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1990,73.279999,46.696999,33.57,-2.904,,,-2.904,-4.083,-4.083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1990,113.877998,62.301998,39.632,11.568,,,11.568,0.376,0.376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.877998,,
12/31/1990,48.403,29.479,37.007999,3.674,,,3.674,-21.757999,-21.757999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1991,29.249001,48.993,37.380001,0.973,,,0.973,-58.097,-58.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1991,75.633003,49.029999,37.438999,6.047,,,6.047,-16.882999,-16.882999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1991,100.780998,62.286999,38.07,4.019,,,4.019,-3.595,-3.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.780998,,
12/31/1991,50.327,21.777,39.043999,-1.169,,,-1.169,-9.325,-9.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1992,45.916,51.527,40.848,-1.352,,,-1.352,-45.106998,-45.106998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1992,73.936996,55.540001,43.898998,-0.828,,,-0.828,-24.674,-24.674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1992,138.065994,71.908997,45.847,3.085,,,3.085,17.225,17.225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.065994,,
12/31/1992,82.990997,-117.712997,45.328999,151.296997,,,151.296997,4.078,4.078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1993,80.273003,58.973999,48.146,-11.188,,,-11.188,-15.659,-15.659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1993,78.184998,58.230999,46.974998,-1.816,,,-1.816,-25.205,-25.205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1993,78.390999,76.440002,49.306,-25.059002,,,-25.059002,-22.296,-22.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.390999,,
12/31/1993,114.560997,25.695999,49.724998,9.258,,,9.258,29.882,29.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1994,81.592003,57.092999,50.030998,4.12,,,4.12,-29.652,-29.652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1994,139.186005,58.074001,48.754002,17.267,,,17.267,15.091,15.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1994,144.210007,86.310997,55.195,-57.393002,,,-57.393002,60.097,60.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.210007,,
12/31/1994,105.514999,33.543999,50.27,1.231,,,1.231,20.469999,20.469999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03/31/1995,75.117996,64.929001,51.585999,6.902,,,6.902,-48.299,-48.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/30/1995,159.089996,66.650002,52.209,-0.574,,,-0.574,40.805,40.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
09/30/1995,132.475006,86.572998,53.691002,-0.05,,,-0.05,-7.739,-7.739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.475006,,
12/31/1995,88.843002,44.521999,51.035,7.981,,,7.981,-14.695,-14.695,,,-30.643,,,,-30.643,,,,,,,,,,30.643,,,,,,,,,,,,,,
03/31/1996,90.376999,74.790001,50.776001,5.599,,,5.599,-40.787998,-40.787998,,,-30.886999,,,,-30.886999,,,,,,,,,,30.886999,,,,,,,,,,,,,,
06/30/1996,119.738998,77.167,47.98,8.026,,,8.026,-13.434,-13.434,,,-38.021,,,,-38.021,,,,,,,,,,38.021,,,,,,,,,,,,,,
09/30/1996,161.483994,86.968002,50.691002,-58.818001,,,-58.818001,82.642998,82.642998,,-46.377998,-46.377998,,,,-46.377998,,,,,,,,,,0.0,,,,,,,,,,,,115.105996,,
