Date,Revenue,Rental Income,Real Estate Sales,Com & Fee Earn/Inc from REO,Mortgage Income,Other Operating Income,Operating Expenses,Property Operating Expenses,Real Estate Tax,Other Property Expense,General & Administrative,Depreciation & Amortization,Provision for Loan Losses,Cost of Real Estate Sold,Other Operating Expenses,Operating Income (Loss),Non-Operating (Income) Loss,Interest Expense,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",FFO Reconciliation,D&A of Con Real Estate,D&A of Uncon Real Estate,D&A of Non-Real Estate Assets,D&A from Disc Ops,Impairment of Assets,Disposal of Con Assets,Disposal of Uncon Assets,Disposal of Assets from Disc Ops,Income Taxes,Other FFO Adjustments,Funds from Operations,Other Abnormal Gains/(Losses),Adjusted Funds from Operations,Recurring Capital Expenditure,Accounting Adjustments,Funds Available For Distribution,AFFO Per Diluted Share,FAD Per Diluted Share,Dividend Per Share,AFFO Payout Ratio,FAD Payout Ratio,FFO Payout Ratio,Source: Bloomberg
03/31/1994,41.311001,38.969002,,1.254,0.0,1.088,-25.89,17.093,,,2.416,6.381,0.0,,0.0,15.421,-5.302,5.302,,0.0,10.119,0.0,,0.0,,,10.119,,6.984,,,6.984,6.984,,37.556,0.185,0.185,0.185,37.556,0.185,0.185,0.185,,,,,,,,,,,,16.5,,16.5,,,16.5,0.439344,0.439344,0.24,54.626908,54.626908,65.339395,
06/30/1994,50.139999,48.057999,,1.23,0.0,0.852,-31.455,21.648001,,,1.341,8.466,0.0,,0.0,18.684999,-8.216,8.216,,0.0,10.469,0.0,,0.0,,,10.469,,7.533,,,7.533,7.533,,42.768002,0.175,0.175,0.175,42.768002,0.175,0.175,0.175,,,,,,,,,,,,18.934999,,18.934999,,,18.934999,0.442738,0.442738,0.2475,55.902196,55.902196,72.817536,
09/30/1994,61.459,57.832001,,1.159,0.0,2.468,-38.406,27.179001,,,1.188,10.039,0.0,,0.0,23.053,-10.813,9.934,,0.879,12.24,0.0,,0.0,,,12.24,,9.454,,,9.454,9.454,,57.175999,0.165,0.165,0.165,57.175999,0.165,0.165,0.165,,,,,,,,,,,,23.158001,,23.158001,,,23.158001,0.40503,0.40503,0.255,62.958281,62.958281,64.750839,
12/31/1994,78.124001,75.867996,,1.096,0.0,1.16,-52.251,36.826,,,1.108,12.387,0.0,,1.93,25.873,-12.713,13.592,,-0.879,13.16,0.0,,0.0,,,13.16,,10.447,,,10.447,10.447,,67.472,0.155,0.155,0.155,67.472,0.155,0.155,0.155,,,,,,,,,,,,27.476999,,27.476999,,,27.476999,0.407236,0.407236,0.26,63.845106,63.845106,53.353715,
03/31/1995,91.706001,89.25,,1.862,0.0,0.594,-57.55,38.783001,,,2.158,16.608999,0.0,,0.0,34.156001,-20.936001,20.936001,,0.0,13.22,0.0,,0.0,,,13.22,,10.345,,,10.345,10.345,,68.194,0.15,0.15,0.15,68.194,0.15,0.15,0.15,,,,,,,,,,,,29.829,,29.829,,,29.829,0.437414,0.437414,0.265,60.583354,60.583354,60.974218,
06/30/1995,92.845001,89.824997,,1.899,0.0,1.121,-58.859,39.612,,,1.936,17.311001,0.0,,0.0,33.985999,-20.441999,20.441999,,0.0,13.544,0.0,,-2.0,,,15.544,,12.482,,,11.287024,11.287024,,68.655998,0.165,0.135,0.135,68.655998,0.165,0.135,0.135,,,,,,,,,,,,30.855,,30.855,,,30.855,0.449414,0.449414,0.265,58.96561,58.96561,58.98882,
09/30/1995,99.127998,93.556999,,1.7,1.934,1.937,-63.213,43.153999,,,1.997,18.062,0.0,,0.0,35.914999,-19.886999,19.886999,,0.0,16.028,0.0,,-1.542,,,17.57,,14.504,,,10.918,10.918,,68.802002,0.16,0.16,0.16,68.802002,0.16,0.16,0.16,,,,,,,,,,,,31.299999,,31.299999,,,31.299999,0.454929,0.454929,0.265,58.250894,58.250894,58.40256,
12/31/1995,105.233002,99.815002,,1.569,2.928,0.921,-67.732997,45.266998,,,2.038,20.427999,0.0,,0.0,37.5,1.063,20.554001,,-21.617001,38.563,0.0,,1.542,,,37.021,,30.388,,0.0,25.06,25.06,,69.197998,0.36,0.385,0.385,69.197998,0.36,0.385,0.385,,,,,,,,,,,,33.499001,,33.499001,,,33.499001,0.484104,0.484104,0.295,60.937368,60.937368,64.649689,
03/31/1997,141.386993,134.235001,,1.578,3.683,1.891,-84.735,52.882999,,,2.975,28.877001,0.0,,0.0,56.652001,-20.264,23.896,0.0,-3.632,36.388001,0.0,,0.0,,,36.388001,,32.962002,,,23.901002,23.901002,,103.582,0.23,0.23,0.23,120.334,0.225,0.225,0.225,,,,,,,,,,,,48.758999,,48.758999,,,48.758999,0.405197,0.405197,0.3125,77.122943,77.122943,68.850878,
06/30/1997,164.936996,156.563995,,1.532,4.328,2.513,-98.060998,60.931999,,,3.231,33.897999,0.0,,0.0,66.875998,-28.247999,28.247999,0.0,0.0,38.627998,0.0,,0.0,,,38.627998,,35.709,,,23.830999,23.830999,,117.879997,0.2,0.2,0.2,134.371994,0.2,0.2,0.2,,,,,,,,,,,,57.341999,,57.341999,,,57.341999,0.426741,0.426741,0.3125,73.229481,73.229481,80.255312,
