Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Investments,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/1995,346.787994,77.386003,65.121002,12.265,23.702999,,,0.0,,,,,16.525999,,,117.614998,47.667999,,,61.530998,,119.973999,,,,119.973999,229.172997,,50.914001,50.914001,,4.185,,,,,85.305997,,,85.305997,140.404999,56.991001,,,,5.329,,,5.329,62.320001,202.725,0.0,109.702003,,,0.0,,34.361,144.063004,0.0,144.063004,346.788003,
06/30/1995,358.75,79.513,69.207001,10.306,25.377001,,,0.0,,,,,18.066,,,122.956001,47.007,,,63.783001,,125.003998,,,,125.003998,235.793999,,39.797001,39.797001,,3.82,,,,,94.433002,,,94.433002,138.050003,66.449997,,,,6.761,,,6.761,73.210997,211.261,0.0,110.176003,,,0.0,,37.313,147.489002,0.0,147.489002,358.750002,
09/30/1995,381.399994,92.067003,80.300003,11.767,31.281,,,0.0,,,,,20.101999,,,143.449997,49.181999,,,63.846001,,124.921997,,,,124.921997,237.949997,,46.066002,46.066002,,3.81,,,,,102.754003,,,102.754003,152.630005,66.246002,,,,7.422,,,7.422,73.668002,226.298007,0.0,114.642998,,,0.0,,38.972,153.614998,1.487,155.101998,381.400005,
12/31/1995,385.674988,85.842999,67.434998,18.408001,32.118,,,0.0,,,,,25.475,,,143.436005,51.252998,77.639,-26.386,68.258003,,122.727997,,,,122.727997,242.238998,,9.164,9.164,,2.307,,,,,144.792,,,144.792,156.263,65.599998,,,,7.994,,,7.994,73.593998,229.856998,0.0,128.442001,,,0.0,,25.409,153.851001,1.967,155.818001,385.674999,
03/31/1996,433.778015,88.322003,80.384003,7.938,37.0,,,0.0,,,,,36.647999,,,161.970001,51.747002,,,65.966003,,154.095001,,,,154.095001,271.808006,,60.445,60.445,,1.976,,,,,113.017996,,,113.017996,175.438995,93.754997,,,,7.596,,,7.596,101.350997,276.789993,0.0,132.931,,,0.0,,24.056999,156.987999,0.0,156.987999,433.777992,
06/30/1996,434.04599,89.955998,80.016998,9.939,39.077,,,0.0,,,,,31.451,,,160.483994,53.004002,,,65.641998,,154.916,,,,154.916,273.562,,58.153,58.153,,1.731,,,,,121.095996,,,121.095996,180.979996,90.410004,,,,11.448,,,11.448,101.858004,282.837999,0.0,135.712006,,,0.0,,15.46,151.172006,0.036,151.208006,434.046005,
09/30/1996,445.803009,96.220997,88.075996,8.145,40.918999,,,0.0,,,,,37.394001,,,174.533997,54.598999,,,63.083,,153.587006,,,,153.587006,271.269005,,70.264999,70.264999,,8.606,,,,,115.552997,,,115.552997,194.423996,86.476997,,,,13.04,,,13.04,99.516997,293.940993,0.0,136.315002,,,0.0,,15.609,151.924003,-0.062,151.862003,445.802996,
12/31/1996,448.945007,98.007003,90.619003,7.388,37.921001,,,0.0,,,,,72.362999,,,208.291,24.979,48.07,-23.091,75.389,,140.285995,,,,140.285995,240.653995,,11.919,11.919,,36.467999,,,,,233.614008,,,233.614008,282.001007,57.291,,,,9.226,,,9.226,66.517,348.518007,0.0,136.472,,,0.0,,-36.044998,100.427002,0.0,100.427002,448.945009,
03/31/1997,445.908997,97.961997,91.824997,6.137,40.411999,,,0.0,,,,,69.571999,,,207.945999,24.775,,,74.778999,,138.408997,,,,138.408997,237.962996,,86.170998,86.170998,,36.400002,,,,,158.772995,,,158.772995,281.343994,57.279999,,,,7.956,,,7.956,65.235999,346.579993,0.0,141.628998,,,-5.0,,-37.299999,99.328999,0.0,99.328999,445.908991,
06/30/1997,421.86499,101.257001,94.761002,6.496,37.594002,,,0.0,,,,,49.828999,,,188.679993,23.096001,,,70.575996,,139.513,,,,139.513,233.184998,,81.639,81.639,,56.560001,,,,,125.160007,,,125.160007,263.359009,42.370998,,,,7.476,,,7.476,49.846998,313.206007,0.0,144.195007,,,-5.0,,-30.535999,108.659008,0.0,108.659008,421.865015,
09/30/1997,437.121002,146.186993,141.235992,4.951,34.976002,,,0.0,,,,,27.855,,,209.018005,22.856001,50.896,-28.040001,71.403,,133.843994,,,,133.843994,228.102995,,94.132004,94.132004,,49.172001,,,,,131.672985,,,131.672985,274.97699,42.466,,,,6.448,,,6.448,48.914,323.890989,0.0,145.834,,,-5.0,,-27.604,113.23,0.0,113.23,437.120989,
12/31/1997,469.330994,157.849004,153.979004,3.87,40.005001,,,0.0,,,,,39.27,,,237.123993,21.937,50.859001,-28.922001,76.288002,,133.981995,,,,133.981995,232.206997,,10.064,10.064,,0.765,,,,,250.031992,,,250.031992,260.860992,85.719002,,,,4.933,,,4.933,90.652002,351.512994,0.0,146.763,,,-5.0,,-23.945,117.818,0.0,117.818,469.330994,
03/31/1998,460.182007,146.294997,142.796997,3.498,43.126999,,,0.0,,,,,34.041,,,223.462997,21.495001,51.327,-29.832001,81.629997,,133.593994,,,,133.593994,236.718992,,92.300003,92.300003,,43.212002,,,,,150.558002,,,150.558002,286.070007,43.689999,,,,6.027,,,6.027,49.716999,335.787006,0.0,148.649002,,,-5.0,,-19.254,124.395002,0.0,124.395002,460.182008,
06/30/1998,1061.146973,314.504009,279.21701,35.286999,56.737999,,,0.0,,,,,105.134003,,,476.376007,42.855,64.008003,-21.153,144.772003,,397.144012,,,,397.144012,584.771015,,170.917007,170.917007,,43.476002,,,,,360.688961,,,360.688961,575.08197,43.971001,,,,18.195,,,18.195,62.166,637.247971,0.0,474.602997,,,-5.0,,-45.703999,423.898998,0.0,423.898998,1061.146969,
09/30/1998,1111.968018,353.566994,310.080994,43.486,52.609001,,,0.0,,,,,120.667999,,,526.843994,43.737999,98.945999,-55.208,159.460999,,381.924988,,,,381.924988,585.123985,,180.481003,180.481003,,45.591999,,,,,381.213009,,,381.213009,607.286011,45.414001,,,,27.313,,,27.313,72.727001,680.013012,0.0,476.246002,,,-5.0,,-39.291,431.955002,0.0,431.955002,1111.968014,
12/31/1998,1090.593018,452.511997,408.822998,43.688999,46.203999,,,0.0,0.0,0.0,0.0,,92.329002,,,591.044983,35.82,66.755997,-30.936001,162.070007,,301.65799,295.966003,,,5.691986,499.547997,,163.468994,163.468994,,0.166,,,,,402.218033,,,402.218033,565.853027,46.358002,,,,41.842999,,,41.842999,88.201,654.054028,0.0,477.02301,,,-5.0,,-35.484001,436.539009,0.0,436.539009,1090.593037,
03/31/1999,1040.68396,409.006998,383.434998,25.572001,50.849998,50.849998,,0.0,,,,,88.639999,,,548.497009,39.146999,89.93,-50.782001,155.117996,,297.92099,292.243988,292.243988,0.0,5.677002,492.185986,,118.209999,118.209999,,0.0,,,,,388.922997,,,388.922997,507.132996,47.245998,,,,42.047001,,,42.047001,89.292999,596.425995,0.0,477.303986,,,-5.0,-27.985001,-0.061001,444.257984,0.0,444.257984,1040.683979,
