Date,Revenue,Net Premiums Earned,Net Premiums Earned (NL),Other Premiums Earned (NL & L),Investment Income,Other Operating Income,Policy Charges & Fees,Other Income,Claims & Losses,Claims & Losses (NL),Claims & Losses (L),LT Charges (L),Underwriting Expense & Acq Cost,Underwriting & Acq Cost (NL),Underwriting Cost (NL),Amort Def Acq Cost (NL),Other Operating Expense,Operating Income (Loss),Interest Expense,Other Non-Op (Income) Loss,"Pretax Income (Loss), GAAP",Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
03/31/1990,54.665001,26.599001,,,27.141,0.925,,,0.0,0.0,0.0,0.0,-9.65,,,,,45.014999,-4.373,0.0,40.641999,-9.345,,,31.297001,0.0,,,31.296999,0.0,31.297001,0.0,,31.297001,31.297001,,111.938999,0.28,0.28,,111.938999,0.28,0.28,0.28,
06/30/1990,55.664001,26.563999,,,28.588001,0.512,,,0.0,0.0,0.0,0.0,-9.204,,,,,46.459999,-4.417,0.0,42.042999,-9.822,,,32.221001,0.0,,,32.221,0.0,32.221001,0.0,,32.221001,32.221001,,112.814999,0.286667,0.286667,,112.814999,0.286667,0.286667,0.286667,
09/30/1990,56.286999,26.679001,,,29.415,0.193,,,0.0,0.0,0.0,0.0,-8.291,,,,,47.995998,-4.246,0.0,43.749999,-10.46,,,33.290001,0.0,,,33.289999,0.0,33.290001,0.0,,33.290001,33.290001,,116.646,0.286667,0.286667,,116.646,0.286667,0.286667,0.286667,
12/31/1990,56.969002,26.862,,,29.924001,0.183,,,-5.0,5.0,0.0,0.0,-8.821,,,,,43.147999,-4.247,0.0,38.900999,-9.114,,,29.787001,0.0,,,29.786998,0.0,29.787001,0.0,,29.787001,29.787001,,115.133995,0.26,0.26,,115.133995,0.26,0.26,0.26,
03/31/1991,62.327,30.641001,,,31.486,0.2,,,-12.642,12.642,0.0,0.0,-9.828,,,,,39.856998,-4.389,0.0,35.467999,-7.254,,,28.214001,0.0,,,28.213998,0.0,28.214001,0.0,,28.214001,28.214001,,115.599003,0.243333,0.243333,,115.599003,0.243333,0.243333,0.243333,
06/30/1991,64.612999,31.504,,,32.688,0.421,,,-0.166,0.166,0.0,0.0,-10.568,,,,,53.879002,-4.799,0.0,49.080002,-11.996,,,37.084,0.0,,,37.084002,0.0,37.084,0.0,,37.084,37.084,,115.985996,0.32,0.32,,115.985996,0.32,0.32,0.32,
09/30/1991,67.422997,30.745001,,,36.169,0.509,,,-0.236,0.236,0.0,0.0,-10.816,,,,,56.370998,-4.661,0.0,51.709999,-12.634,,,39.076,0.0,,,39.075999,0.0,39.076,0.0,,39.076,39.076,,116.189999,0.336667,0.336667,,116.189999,0.336667,0.336667,0.336667,
12/31/1991,74.646004,39.355999,,,34.23,1.06,,,-4.153,4.153,0.0,0.0,-10.396,,,,,58.189999,-4.716,0.0,53.473999,-13.158,,,40.316002,0.0,,,40.315999,0.0,40.316002,0.0,,40.316002,40.316002,,116.868003,0.343333,0.343333,0.343333,116.868003,0.343333,0.343333,0.343333,
03/31/1992,75.358002,38.750999,,,35.966001,0.641,,,-1.093,1.093,0.0,0.0,-13.413,,,,,60.852001,-4.661,0.0,56.191001,-12.978,,,43.213001,0.0,,,43.213002,0.0,43.213001,0.0,,43.213001,43.213001,,119.016003,0.363333,0.363333,,119.016003,0.363333,0.363333,0.363333,
06/30/1992,81.296997,40.546001,,,39.960001,0.791,,,-1.633,1.633,0.0,0.0,-13.809,,,,,65.855003,-4.659,0.0,61.196003,-13.25,,,47.945999,0.0,,,47.946003,0.0,47.945999,0.0,,47.945999,47.945999,,122.034004,0.393333,0.393333,,122.034004,0.393333,0.393333,0.393333,
09/30/1992,82.317001,40.555,,,40.437,1.325,,,-1.204,1.204,0.0,0.0,-13.959,,,,,67.153999,-4.659,0.0,62.494999,-13.859,,,48.636002,0.0,,,48.635999,0.0,48.636002,0.0,,48.636002,48.636002,,122.399998,0.396667,0.396667,,122.399998,0.396667,0.396667,0.396667,
12/31/1992,88.941002,43.089001,,,43.951001,1.901,,,-1.689,1.689,0.0,0.0,-12.942,,,,,70.922997,-6.544,0.0,64.378997,-15.467,,,48.911999,0.0,,,48.911997,0.0,48.911999,0.0,,48.911999,48.911999,,126.498,0.386667,0.386667,0.386667,126.498,0.386667,0.386667,0.386667,
03/31/1993,100.313004,53.465,,,45.013999,1.834,,,-1.537,1.537,0.0,0.0,-15.65,,,,,82.098,-6.719,0.0,75.379,-15.651,,,59.728001,-12.923,,,72.651,0.0,72.651001,0.0,,72.651001,72.651001,,127.23,0.57,0.47,,127.23,0.57,0.47,0.47,
06/30/1993,108.933998,58.921001,,,47.286999,2.726,,,-2.619,2.619,0.0,0.0,-16.125999,,,,,89.147003,-6.743,0.0,82.404003,-18.563,,,63.841,0.0,,,63.841003,0.0,63.841,0.0,,63.841,63.841,,127.340996,0.5,0.5,,127.340996,0.5,0.5,0.5,
