Date,Revenue,Consensus Estimate,Comparable Actual,GAAP Actual,Adjusted Actual,Earnings Per Share,EBIT,EBITDA,Gross Margin %,Pretax Income (Loss),Net Income,Source: Bloomberg
03/31/1999,,,-7.919,-9.069,-9.069,,,,,,,
06/30/1999,,,-10.18,-10.18,-10.18,,,,,,,
09/30/1999,,,-7.986,-7.986,-7.986,,,,,,,
12/31/1999,,,-9.514,-9.514,-9.514,,,,,,,
03/31/2000,,,-9.723,-9.723,-9.723,,,,,,,
06/30/2000,,,-7.908,-7.908,-7.908,,,,,,,
09/30/2000,,,-5.905,-5.905,-5.905,,,,,,,
12/31/2000,,,-5.379,-5.379,-5.379,,,,,,,
03/31/2001,,,-17.927,-22.996,-22.996,,,,,,,
06/30/2001,,,-23.320999,-23.320999,-23.320999,,,,,,,
09/30/2001,,,-24.719,-49.118,-49.118,,,,,,,
12/31/2001,,,-29.709999,-29.709999,-29.709999,,,,,,,
03/31/2002,,,-48.053001,-163.820999,-163.820999,,,,,,,
06/30/2002,,,-25.417999,-47.335999,-47.335999,,,,,,,
09/30/2002,,,-29.724001,-31.673,-31.673,,,,,,,
12/31/2002,,,-29.598,-6.166004,-6.166004,,,,,,,
03/31/2003,,,-31.327,-33.755001,-33.755001,,,,,,,
06/30/2003,,,-29.896999,-67.582,-67.582,,,,,,,
09/30/2003,,,-30.830999,-19.666,-19.666,,,,,,,
12/31/2003,,,-27.915001,-51.168,-51.168,,,,,,,
03/31/2004,,,-36.941898,-51.424999,-51.424999,,,,,,,
06/30/2004,,,-20.722,-23.246,-23.246,,,,,,,
09/30/2004,,,-19.289,-27.372,-27.372,,,,,,,
03/31/2018,,37.93,,,,,,,,,,
06/30/2018,,52.7,,,,,,,,,,
