Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
03/31/2005,25.364787,21.751737,4.644151,17.107586,,,,,,,,,0.158052,,,21.909789,1.928612,,,,1.526386,,,,1.526386,3.454998,,1.202846,1.202846,,,0.0,,,,,,1.594835,,,1.594835,2.797681,,,,,,0.133026,,,,,0.133026,0.133026,2.930707,77.08433,6.549583,,,,-58.977854,-2.221979,22.43408,,22.43408,25.364787,
06/30/2005,70.076599,66.584464,51.490448,15.094016,,,,,,,,,0.760046,,,67.34451,2.482089,,,,0.25,,,,0.25,2.732089,,2.136014,2.136014,,,0.0,,,,,,0.732553,,,0.732553,2.868567,,,,,,0.146865,,,,,0.146865,0.146865,3.015432,,134.216526,,,,-65.377344,-1.778015,67.061167,,67.061167,70.076599,
09/30/2005,64.277435,59.4543,42.119293,17.335007,,,,,,,,,1.01267,,,60.46697,3.560465,,,,0.25,,,,0.25,3.810465,,1.969243,1.969243,,,0.0,,,,,,0.949403,,,0.949403,2.918646,,,,,,0.242008,,,,,0.242008,0.242008,3.160654,,134.208639,,,,-71.706965,-1.384893,61.116781,,61.116781,64.277435,
12/31/2005,56.726257,50.524751,37.247063,13.277688,0.0,,,0.0,,,,,0.488015,,,51.012768,5.463491,7.372295,-1.908804,0.0,0.25,,,,0.25,5.713491,,6.008194,6.008194,,,0.0,,,,,,1.065902,,,1.065902,7.074096,0.0,,,,,0.240099,,,,,0.240099,0.240099,7.314195,0.0,134.282791,,,,-83.77459,-1.096146,49.412056,0.0,49.412056,56.726251,
03/31/2006,47.487683,38.67429,20.180509,18.493781,,,,1.919521,,,1.919521,,0.567414,,,41.161225,6.026458,,,,0.3,,,,0.3,6.326458,,4.82149,4.82149,,,0.0,,,,,,2.146167,,,2.146167,6.967657,,,,,,0.238192,,,,,0.238192,0.238192,7.205849,,134.991364,,,,-94.693648,-0.015882,40.281834,,40.281834,47.487683,
06/30/2006,84.622047,72.342878,23.977873,48.365005,0.091404,0.091404,,3.207629,,,3.207629,,1.408929,,,77.050842,6.657203,,,,0.914,,,,0.914,7.571203,,2.216212,2.216212,,,0.15,,,,,,2.558134,,,2.558134,4.924346,1.35,,,,,0.340953,,,,,0.340953,1.690953,6.615299,,183.931946,,,,-105.862465,-0.062744,78.006737,,78.006737,84.622036,
09/30/2006,75.536125,64.677271,23.202978,41.474293,0.119221,0.119221,,1.937111,,,1.937111,,1.210043,,,67.943649,6.67848,,,,0.914,,,,0.914,7.59248,,3.064669,3.064669,,,0.54,,,,,,2.963377,,,2.963377,6.568046,2.16,,,,,0.462462,,,,,0.462462,2.622462,9.190508,0.0,185.643478,,,,-119.30024,0.002388,66.345627,0.0,66.345627,75.536135,
12/31/2006,64.552605,54.508516,18.167067,36.34145,0.120477,0.120477,,1.413024,1.051988,0.095875,0.265161,0.0,1.313907,,,57.355923,6.117685,10.724401,-4.606716,0.0,1.079,0.0,0.0,0.0,1.079,7.196685,,2.7633,2.7633,,,0.9078,0.9078,0.0,0.0,,,1.557578,,,1.557578,5.228678,2.1182,2.1182,0.0,0.0,,0.377463,,,,,0.377463,2.495663,7.724341,0.0,187.190231,,,0.0,-130.373886,0.011932,56.828278,0.0,56.828278,64.552619,
03/31/2007,105.460999,93.175999,55.827999,37.348,0.198,0.198,,1.457,1.105,0.085,0.267,0.0,1.251,,,96.082001,5.819,,,0.0,3.56,0.0,0.0,0.0,3.56,9.379,,3.018,3.018,,,1.289,1.289,0.0,0.0,,,2.191,,,2.191,6.498,62.148998,62.148998,0.0,0.0,,0.412,,,,,0.412,62.560998,69.058998,0.0,177.697006,,,0.0,-141.302994,0.007996,36.402008,0.0,36.402008,105.461006,
06/30/2007,96.527,84.200003,25.884001,58.316002,0.126,0.126,,1.254,0.889,0.121,0.244,0.0,1.939,,,87.518997,5.565,,,0.0,3.443,0.0,0.0,0.0,3.443,9.008,,3.966,3.966,,,1.375,1.375,0.0,0.0,,,2.106,,,2.106,7.447,61.719002,61.719002,0.0,0.0,,0.684,,,,,0.684,62.403002,69.850002,0.0,179.348999,,,0.0,-152.639008,-0.03299,26.677002,0.0,26.677002,96.527004,
