Date,Basic Shares Outstanding,Diluted Weighted Avg Shares,Basic Weighted Avg Shares,Per Share Data Items,Revenue,Operating Income,Net Income to Common - Basic,Net Income before XO - Basic,Normalized Net Income - Basic,Net Income to Common - Diluted,Net Income before XO - Diluted,Normalized Net Income - Diluted,Dividends,Cash Flow,Free Cash Flow,Cash & Equivalents,Book Value,Tangible Book Value,Source: Bloomberg
02/28/1991,,108.061996,108.061996,,1.505164,0.691353,0.69,0.69,,0.69,0.69,0.69,,0.336418,,,,,
05/31/1991,,108.225998,108.225998,,1.43338,0.57562,0.57,0.57,,0.57,0.57,0.57,,0.424861,,,,,
08/31/1991,87.150002,111.501999,111.501999,,1.297681,0.485139,0.485,0.485,,0.485,0.485,0.485,,1.197647,,1.201526,15.009087,,
11/30/1991,88.265999,114.433998,114.433998,,1.475541,0.671715,0.675,0.675,,0.675,0.675,0.675,0.45,1.192749,,1.886672,15.478168,,
02/29/1992,88.379997,115.222,115.222,,1.404359,0.629029,0.625,0.625,,0.625,0.625,0.625,,1.118467,,3.000204,16.434081,,
05/31/1992,100.110001,113.431999,113.431999,,1.362825,0.535942,0.535,0.535,,0.535,0.535,0.535,0.115,0.288437,,1.946878,14.688353,,
08/31/1992,100.129997,112.505997,112.505997,,1.584707,0.730903,0.73,0.73,,0.73,0.73,0.73,0.115,1.178959,,2.996045,15.837542,,
11/30/1992,109.466004,115.472,115.472,,1.486984,0.619873,0.615,0.615,0.615,0.615,0.615,0.615,0.115,1.165737,,2.231012,14.865912,,
02/28/1993,110.166,112.428001,112.428001,,1.670456,0.797773,0.805,0.805,,0.805,0.805,0.805,0.125,1.007125,,3.226059,15.039341,,
05/31/1993,110.166,111.202003,111.202003,,1.81182,0.877196,0.91,0.91,,0.91,0.91,0.91,0.125,0.673504,,3.084527,15.495026,,
08/31/1993,110.185997,110.832001,110.832001,,1.801934,0.823571,0.895,0.895,,0.895,0.895,0.895,0.125,1.10386,,3.919672,16.904044,,
11/30/1993,109.314002,110.442002,110.442002,,1.743177,0.754677,0.8,0.8,0.8,0.8,0.8,0.8,0.15,1.122245,,2.419489,16.860548,,
02/28/1994,108.188004,108.947998,108.947998,,1.847,0.694423,0.73,0.73,,0.73,0.73,0.73,0.15,1.377538,,3.598735,16.971114,,
05/31/1994,108.194,108.734001,108.734001,,1.271396,0.144021,0.175,0.175,,0.175,0.175,0.175,0.15,1.264545,,5.338586,15.808206,,
08/31/1994,108.194,108.718002,108.718002,,1.498583,0.399649,0.45,0.45,,0.45,0.45,0.45,0.15,1.169779,,3.757094,16.112104,,
11/30/1994,107.050004,108.372002,108.372002,,0.97671,-0.137619,-0.035,-0.035,-0.035,-0.035,-0.035,-0.035,0.165,1.168494,,4.261336,15.734637,,
02/28/1995,106.977997,107.470001,107.470001,,1.619447,0.485028,0.53,0.53,0.595,0.53,0.53,0.595,0.165,0.88327,,3.322141,16.996307,,
