Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",Selling & Marketing,General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
04/01/1990,2282.50293,,-1751.088013,,531.414917,,-250.968994,,,,,,,280.446014,-80.288004,,110.063004,,0.0,,-29.775,200.15801,-70.099998,130.057999,0.0,,,130.058012,0.0,130.057999,,,130.057999,130.057999,,500.30244,0.249651,0.249651,,500.30244,0.249651,0.249651,0.249651,
07/01/1990,2392.417969,,-1873.646973,,518.770996,,-255.25,,,,,,,263.520996,-87.864998,,101.837997,,0.0,,-13.973,175.655998,-61.400002,114.255997,0.0,,,114.255997,0.0,114.255997,,,114.255997,114.255997,,500.322014,0.221003,0.221003,,500.322014,0.221003,0.221003,0.221003,
09/30/1990,2263.508057,,-1787.145996,,476.362061,,-244.764999,,,,,,,231.597,-96.130998,,105.018997,,0.0,,-8.888,135.466002,-44.900002,90.566002,0.0,,,90.566001,0.0,90.566002,,,90.566002,90.566002,,499.491227,0.171891,0.171891,,499.491227,0.171891,0.171891,0.171891,
12/30/1990,2085.885986,,-1639.249023,,446.636963,,-219.266998,,,,,,,227.369995,-138.852005,,106.161003,,0.0,,32.691002,88.51799,-29.700001,58.818001,0.0,,,58.817989,0.0,58.818001,-13.115,,45.703001,45.703001,,492.412667,0.122779,0.122779,0.122779,492.412667,0.122779,0.122779,0.122779,
03/31/1991,2062.665039,,-1653.405029,,409.26001,,-235.455002,,,,,,,173.804993,-98.901999,,103.349998,,0.0,,-4.448,74.902994,-22.5,52.403,0.0,,,52.402994,0.0,52.403,0.0,,52.403,52.403,,491.471968,0.106409,0.106409,,491.471968,0.106409,0.106409,0.106409,
06/30/1991,2296.621094,,-1867.892944,,428.728149,,-241.647003,,,,,,,187.080994,-87.653001,,98.873001,,0.0,,-11.22,99.427993,-29.799999,69.627998,0.0,,,69.627994,0.0,69.627998,0.0,,69.627998,69.627998,,491.77251,0.143243,0.143243,,491.77251,0.143243,0.143243,0.143243,
09/29/1991,2213.448975,,-1820.464966,,392.984009,,-241.014008,,,,,,,151.970001,-91.666002,,96.247002,,0.0,,-4.581,60.303999,-9.9,50.403999,0.0,,,50.404,0.0,50.403999,0.0,,50.403999,50.403999,,492.151235,0.102316,0.102316,,492.151235,0.102316,0.102316,0.102316,
12/29/1991,2128.863037,,-1748.400024,,380.463013,,-272.921997,,,,,,,107.541,-520.024002,,92.903,,0.0,,427.121002,-412.483002,139.100006,-273.382996,61.0,,,-334.382996,0.0,-334.382996,0.0,,-334.382996,-334.382996,,493.7822,-0.679379,-0.5566,-0.5566,493.7822,-0.679379,-0.5566,-0.5566,
03/29/1992,2204.904053,,-1741.029053,,463.875,,-247.391006,,,,,,,216.483994,-83.190997,,88.921997,,0.0,,-5.731,133.292996,-46.700001,86.593002,0.0,,,86.592996,0.0,86.593002,0.0,,86.593002,86.593002,,495.21284,0.175984,0.175984,,495.21284,0.175984,0.175984,0.175984,
06/28/1992,2352.355957,,-1856.040039,,496.315918,,-269.304993,,,,,,,227.011002,-84.106999,,81.139999,,0.0,,2.967,142.904002,-50.0,92.903999,0.0,,,92.904002,0.0,92.903999,0.0,,92.903999,92.903999,,495.928756,0.184169,0.184169,,495.928756,0.184169,0.184169,0.184169,
