Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Prepaid Expenses,Derivative & Hedging Assets,Assets Held-for-Sale,Deferred Tax Assets,Discontinued Operations,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,LT Marketable Securities,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Investments in Affiliates,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Interest & Dividends Payable,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
11/30/1994,47.262001,4.165,4.165,0.0,14.251,,,2.56,,,,,13.131,,,,,,,34.106998,8.278,,,1.414,,3.463,,,,,3.463,13.155,,2.959,2.959,,,,0.183,,,,,32.527998,,,32.527998,35.669998,1.31,,,,0.336,,,,,,0.336,1.646,37.315998,0.0,1.992,,,0.0,,7.954,9.946,0.0,9.946,47.261998,
02/28/1995,87.126999,39.429001,39.429001,0.0,17.274,,,3.698,,,,,13.889,,,,,,,74.290001,9.248,,,1.414,,2.175,,,,,2.175,12.837,,4.373,4.373,,,,0.154,,,,,35.403,,,35.403,39.93,1.167,,,,0.376,,,,,,0.376,1.543,41.473,0.0,36.849998,,,0.0,,8.804,45.653998,0.0,45.653998,87.126999,
05/31/1995,94.026001,46.348999,46.348999,0.0,14.98,,,3.54,,,,,15.549,,,,,,,80.417999,9.744,,,1.31,,2.554,,,,,2.554,13.608,,2.839,2.839,,,,0.151,,,,,38.615,,,38.615,41.605,1.121,,,,0.396,,,,,,0.396,1.517,43.122,0.0,37.053001,,,0.0,,13.851,50.904001,0.0,50.904001,94.026001,
08/31/1995,102.132004,50.726002,50.726002,0.0,15.883,,,2.723,,,,,14.712,,,,,,,84.043999,13.39,21.072,-7.682,0.0,,4.698,,,,,4.698,18.088,,6.261,6.261,,,,0.118,,,,,38.685999,,,38.685999,45.064999,1.201,,,,0.514,,,,,,0.514,1.715,46.779999,0.0,37.396999,,,0.0,,17.955,55.351999,0.0,55.351999,102.131998,
11/30/1995,108.475998,52.609001,52.609001,0.0,17.386,,,2.813,,,,,14.736,,,,,,,87.543999,14.843,,,0.0,,6.089,,,,,6.089,20.932001,,3.569,3.569,,,,0.118,,,,,42.450001,,,42.450001,46.137001,1.723,,,,0.303,,,,,,0.303,2.026,48.163001,0.0,37.769001,,,0.0,,22.544001,60.313002,0.0,60.313002,108.476003,
02/29/1996,114.718002,52.783001,52.783001,0.0,18.714001,,,2.949,,,,,15.619,,,,,,,90.065002,15.921,,,0.0,,8.732,,,,,8.732,24.653,,3.614,3.614,,,,0.162,,,,,45.147,,,45.147,48.923,1.693,,,,0.326,,,,,,0.326,2.019,50.942,0.0,38.346001,,,0.0,,25.43,63.776001,0.0,63.776001,114.718001,
05/31/1996,123.234001,59.225001,47.393002,11.832,19.872,,,2.903,,,,,16.025,,,,,,,98.025002,16.642,,,0.0,,8.567,,,,,8.567,25.209001,,3.122,3.122,,,,0.175,,,,,45.585,,,45.585,48.882,1.738,,,,0.327,,,,,,0.327,2.065,50.947,0.0,39.157001,,,0.0,,33.130001,72.287003,0.0,72.287003,123.234003,
08/31/1996,137.850006,65.254998,51.981998,13.273,25.985001,,,3.112,,,,,14.789,,,,,,,109.140999,18.924999,28.899999,-9.975,0.0,,9.784,,,,,9.784,28.708999,,7.742,7.742,,,,0.14,,,,,46.922001,,,46.922001,54.804001,1.773,,,,0.659,,,,,,0.659,2.432,57.236001,0.0,41.266998,,,0.0,,39.347,80.613998,0.0,80.613998,137.849999,
11/30/1996,153.328003,74.828,60.291,14.537,27.879999,,,2.821,,,,,17.283001,,,,,,,122.811996,20.187,,,0.0,,10.329,,,,,10.329,30.516001,,5.439,5.439,,,,0.14,,,,,54.638998,,,54.638998,60.217999,2.07,,,,1.035,,,,,,1.035,3.105,63.322998,0.0,43.352001,,,0.0,,46.653,90.005001,0.0,90.005001,153.327999,
02/28/1997,166.638,84.654999,64.433998,20.221001,27.952,,,3.034,,,,,18.902,,,,,,,134.542999,21.187,,,0.0,,10.908,,,,,10.908,32.095,,5.883,5.883,,,,0.281,,,,,58.638002,,,58.638002,64.802002,2.509,,,,1.035,,,,,,1.035,3.544,68.346002,0.0,46.542,,,0.0,,51.75,98.292,0.0,98.292,166.638002,
