Date,Price/T12M FFO per Share,Average,High,Low,Price/T12M Sales per Share,Price/T12M EBITDA per Share,P/Sales,P/Book,Price/Cash Flow per Share,Price/Free Cash Flow per Share,Source: Bloomberg
03/31/2007,,,,,,,,2.432958,,,
06/30/2007,,,,,,,,2.139035,,,
09/30/2007,,,,,,,,2.396465,,,
12/31/2007,16.514618,,,,8.453942,15.782668,8.453942,2.255842,23.263179,,
03/31/2008,15.246832,,,,7.966433,14.915326,7.966433,2.159198,21.710771,,
06/30/2008,12.955883,,,,6.906053,12.47943,6.906053,1.990719,20.875426,,
09/30/2008,12.587725,,,,6.211781,11.365483,6.211781,1.80795,16.73988,,
12/31/2008,,,,,3.19849,,3.19849,,,,
03/31/2009,,,,,2.008692,,2.008692,0.793783,,,
06/30/2009,,,,,3.116633,,3.116633,1.042529,,,
09/30/2009,,,,,4.234797,,4.234797,1.247057,,,
12/31/2009,,,,,5.304152,41.946047,5.304152,1.408506,15.573404,,
03/31/2010,,,,,6.483619,13.518695,6.483619,1.531436,18.320245,,
06/30/2010,,,,,5.633709,9.849181,5.633709,1.279296,17.115164,,
09/30/2010,,,,,6.264326,10.14639,6.264326,1.436913,19.488113,,
12/31/2010,,,,,7.688549,,7.688549,1.732589,23.140403,,
03/31/2011,,,,,9.014265,,9.014265,1.98641,39.566627,,
06/30/2011,,,,,8.952252,,8.952252,1.194217,46.446283,,
09/30/2011,16.275168,,,,6.133613,,6.133613,0.83383,52.374379,,
12/31/2011,18.809211,,,,7.209689,14.509389,7.209689,1.004216,65.489227,,
03/31/2012,22.09816,,,,8.770313,17.148035,8.770313,1.26019,61.883188,,
06/30/2012,19.432749,,,,7.999323,13.607539,7.999323,1.187956,39.803284,,
09/30/2012,19.903409,,,,8.308906,14.461069,8.308906,1.251611,33.857065,,
12/31/2012,20.971264,,,,8.449442,18.893886,8.449442,1.349422,36.213254,,
03/31/2013,22.977011,,,,9.266049,20.91402,9.266049,1.490908,35.320356,,
06/30/2013,21.930233,,,,9.268144,21.89453,9.268144,1.372837,34.534309,,
09/30/2013,22.939024,,,,9.812751,23.532787,9.812751,1.37386,42.405252,,
12/31/2013,22.393939,,,,10.231281,18.294019,10.231281,1.354082,37.023155,,
03/31/2014,24.303571,,,,11.858793,21.546247,11.858793,1.514416,47.30941,,
06/30/2014,25.842767,,,,11.673832,20.85818,11.673832,1.522024,34.881593,,
09/30/2014,22.710843,,,,10.765939,19.217013,10.765939,1.410598,31.161173,,
12/31/2014,25.163743,,,,12.208678,22.508731,12.208678,1.577554,30.528788,,
03/31/2015,24.610169,,,,12.258865,22.584518,12.258865,1.570301,30.606196,,
06/30/2015,18.832487,,,,10.28681,19.29584,10.28681,1.291806,25.079936,,
09/30/2015,18.792271,,,,10.015094,18.621264,10.015094,1.401112,19.904417,,
12/31/2015,19.246637,,,,10.188607,18.220127,10.188607,1.54301,18.351872,,
03/31/2016,18.8,,,,9.886511,17.080483,9.886511,1.59404,16.232822,,
06/30/2016,20.18107,,,,10.566702,17.668661,10.566702,1.764231,17.566585,,
09/30/2016,20.751938,,,,10.998034,17.962034,10.998034,1.922515,18.980288,,
12/31/2016,11.7051,,,,10.96467,12.214384,10.96467,1.871443,11.44176,,
03/31/2017,11.452539,,,,10.701535,11.972331,10.701535,1.875257,10.946247,,
06/30/2017,12.293501,,,,11.395005,12.846873,11.395005,2.10966,12.002478,,
09/30/2017,13.473461,,,,12.834074,14.318637,12.834074,2.183302,12.089854,,
12/31/2017,22.957295,,,,13.067625,20.778847,13.067625,2.20607,20.282922,,
03/31/2018,21.137584,,,,12.473064,19.691369,12.473064,2.151056,19.873868,,
06/30/2018,23.049123,,,,13.768676,21.958908,13.768676,2.250066,20.367503,,
09/30/2018,23.375862,,,,14.052468,22.398314,14.052468,1.943173,23.066585,,
12/31/2018,19.379538,,,,11.884556,18.655078,11.884556,1.663179,18.548003,,
03/31/2019,24.307432,,,,14.793676,23.445122,14.793676,2.038216,21.832262,,
06/30/2019,26.523179,,,,16.177985,25.577091,16.177985,2.270584,24.224698,,
09/30/2019,26.061162,,,,16.211796,25.172104,16.211796,2.398276,24.658704,,
12/31/2019,26.930514,383.116133,383.116133,383.116133,16.87618,26.366762,16.87618,2.49371,24.827835,383.116133,
03/31/2020,23.568915,373.310021,426.482094,211.590433,14.728313,22.844338,14.728313,1.84397,21.279487,211.590433,
06/30/2020,24.888,234.891917,257.399485,192.871906,15.769329,23.848278,15.769329,2.142907,24.015394,248.524951,
09/12/2020,26.722666422526,,,,16.9317947829111,25.6062998148791,16.9317947829111,2.30087583331843,25.785735009789,266.845441607288,
09/30/2020,,,,,17.9926228918381,,17.9926228918381,,,,
12/31/2020,,,,,17.8238448852832,,17.8238448852832,1.96374681559867,,,
