Date,Total Assets,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,ST Investments,Accounts & Notes Receiv,"Accounts Receivable, Net","Notes Receivable, Net",Inventories,Raw Materials,Work In Process,Finished Goods,Other Inventory,Other ST Assets,Derivative & Hedging Assets,Deferred Tax Assets,Misc ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",Accumulated Depreciation,LT Investments & Receivables,Other LT Assets,Total Intangible Assets,Goodwill,Other Intangible Assets,Misc LT Assets,Total Noncurrent Assets,Liabilities & Shareholders' Equity,Payables & Accruals,Accounts Payable,Accrued Taxes,Other Payables & Accruals,ST Debt,ST Borrowings,ST Lease Liabilities,ST Finance Leases,ST Operating Leases,Current Portion of LT Debt,Other ST Liabilities,Deferred Revenue,Derivatives & Hedging,Misc ST Liabilities,Total Current Liabilities,LT Debt,LT Borrowings,LT Lease Liabilities,LT Finance Leases,LT Operating Leases,Other LT Liabilities,Accrued Liabilities,Pension Liabilities,Pensions,Other Post-Ret Benefits,Deferred Tax Liabilities,Misc LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Preferred Equity and Hybrid Capital,Share Capital & APIC,Common Stock,Additional Paid in Capital,Treasury Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Minority/Non Controlling Interest,Total Equity,Total Liabilities & Equity,Source: Bloomberg
04/01/1990,1918.337036,19.082001,19.082001,0.0,141.899994,,,357.270996,,,,,57.213001,,,,575.466003,874.695984,1206.796997,-332.101013,0.0,468.174988,,,,468.174988,1342.870972,,97.626999,97.626999,,,70.666,,,,,,193.415009,,,193.415009,361.708008,213.968002,,,,,198.541,,,,,,198.541,412.509003,774.21701,0.0,139.817993,,,0.0,,1004.302002,1144.119995,0.0,1144.119995,1918.337006,
07/01/1990,2004.776001,12.764,12.764,0.0,87.969002,,,452.790985,,,,,93.382004,,,,646.906006,919.929016,1266.91803,-346.989014,0.0,437.94101,,,,437.94101,1357.870026,,79.905998,79.905998,,,141.371002,,,,,,172.881997,,,172.881997,394.158997,213.335999,,,,,203.927002,,,,,,203.927002,417.263001,811.421998,0.0,139.529007,,,0.0,,1053.824951,1193.353958,0.0,1193.353958,2004.775956,
09/30/1990,2146.439941,24.261,24.261,0.0,216.363998,,,434.481995,,,,,82.498001,,,,757.60498,940.426025,1298.284058,-357.858002,0.0,448.408997,,,,448.408997,1388.835022,,91.166,91.166,,,219.285004,,,,,,203.871017,,,203.871017,514.322021,202.720993,,,,,211.154007,,,,,,211.154007,413.875,928.197021,0.0,139.559006,,,0.0,,1078.68396,1218.242966,0.0,1218.242966,2146.439987,
12/31/1990,2078.827881,26.625999,26.625999,0.0,142.970993,,,379.108002,,,,,113.080002,,,,661.784973,952.093994,1323.642944,-371.549011,0.0,464.949005,,,,464.949005,1417.042999,,127.571999,127.571999,,,24.356001,,,,,,189.305002,,,189.305002,341.233002,273.441986,,,,,220.615997,,,,,,220.615997,494.057983,835.290985,0.0,139.434998,,,0.0,,1104.102051,1243.537049,0.0,1243.537049,2078.828034,
03/31/1991,2137.208984,32.441002,32.441002,0.0,124.013,,,398.317993,,,,,139.033997,,,,693.80603,982.283997,1366.769043,-384.484985,0.0,461.118988,,,,461.118988,1443.402985,,93.511002,93.511002,,,35.106998,,,,,,223.378002,,,223.378002,351.996002,292.306,,,,,220.643997,,,,,,220.643997,512.949997,864.945999,0.0,139.179993,,,0.0,,1133.083008,1272.263,0.0,1272.263,2137.209,
06/30/1991,2328.907959,12.213,12.213,0.0,106.128998,,,532.551025,,,,,154.544006,,,,805.437012,1048.322998,1449.700989,-401.377991,0.0,475.14801,,,,475.14801,1523.471008,,84.235001,84.235001,,,243.972,,,,,,187.204986,,,187.204986,515.411987,303.541992,,,,,227.567993,,,,,,227.567993,531.109985,1046.521972,0.0,139.078995,,,0.0,,1143.307007,1282.386002,0.0,1282.386002,2328.907974,
09/29/1991,2419.533936,12.74,12.74,0.0,255.417007,,,492.248993,,,,,86.763,,,,847.169006,1081.515015,1500.129028,-418.614014,0.0,490.850006,,,,490.850006,1572.365021,,113.440002,113.440002,,,214.457993,,,,,,235.343033,,,235.343033,563.241028,291.614014,,,,,238.466003,,,,,,238.466003,530.080017,1093.321045,0.0,139.022003,,,0.0,,1187.19104,1326.213043,0.0,1326.213043,2419.534088,
12/31/1991,2341.822021,71.124001,71.124001,0.0,159.804993,,,436.916992,,,,,76.633003,,,,744.479004,1145.666016,1581.296021,-435.630005,0.0,451.677002,,,,451.677002,1597.343018,,137.889999,137.889999,,,84.574997,,,,,,248.266999,,,248.266999,470.731995,282.933014,,,,,252.906006,,,,,,252.906006,535.83902,1006.571015,0.0,142.695007,,,0.0,,1192.55603,1335.251037,0.0,1335.251037,2341.822052,
03/29/1992,2404.7771,35.771,35.771,0.0,215.199005,,,449.259003,,,,,96.327003,,,,796.55603,1169.087036,1622.126037,-453.039001,0.0,439.134003,,,,439.134003,1608.221039,,117.968002,117.968002,,,139.436996,,,,,,248.036988,,,248.036988,505.441986,274.141998,,,,,260.235992,,,,,,260.235992,534.37799,1039.819976,0.0,142.406998,,,0.0,,1222.550049,1364.957047,0.0,1364.957047,2404.777023,
06/28/1992,2635.398926,18.025999,18.025999,0.0,118.277,,,545.559998,,,,,129.225006,,,,811.088013,1210.319946,1681.145935,-470.825989,178.697998,435.292999,,,,435.292999,1824.310943,,101.348,101.348,,,411.966003,,,,,,202.203026,,,202.203026,715.517029,273.562988,,,,,267.406006,,,,,,267.406006,540.968994,1256.486023,0.0,142.494995,,,0.0,,1236.417969,1378.912964,0.0,1378.912964,2635.398987,
09/27/1992,2754.011963,20.596001,20.596001,0.0,291.178009,,,483.992004,,,,,91.206001,,,,886.971985,1257.536011,1741.389038,-483.852997,178.729996,430.773987,,,,430.773987,1867.039993,,119.000999,119.000999,,,445.768005,,,,,,217.670998,,,217.670998,782.440002,274.233002,,,,,281.084991,,,,,,281.084991,555.317993,1337.757996,0.0,97.084,,,0.0,,1319.170044,1416.254044,0.0,1416.254044,2754.012039,
12/31/1992,2672.908936,24.114,24.114,0.0,173.645996,,,457.178986,,,,,285.041992,,,,939.981018,1295.989014,1797.437012,-501.447998,0.0,436.938995,,,,436.938995,1732.928009,,127.175003,127.175003,,,363.269012,,,,,,246.498002,,,246.498002,736.942017,174.272995,,,,,296.415009,,,,,,296.415009,470.688004,1207.630021,0.0,142.315002,,,0.0,,1322.963989,1465.278991,0.0,1465.278991,2672.909012,
