Date,Revenue,Sales & Services Revenue,Cost of Revenue,Cost of Goods & Services,Gross Profit,Other Operating Income,Operating Expenses,"Selling, General & Admin",General & Administrative,Research & Development,Depreciation & Amortization,Other Operating Expense,Operating Income (Loss),Non-Operating (Income) Loss,"Interest Expense, Net",Interest Expense,Interest Income,Foreign Exch (Gain) Loss,(Income) Loss from Affiliates,Other Non-Op (Income) Loss,Pretax Income,Income Tax Expense (Benefit),Current Income Tax,Deferred Income Tax,Tax Allowance/Credit,Income (Loss) from Cont Ops,Net Extraordinary Losses (Gains),Discontinued Operations,XO & Accounting Changes,Income (Loss) Incl. MI,Minority Interest,"Net Income, GAAP",Preferred Dividends,Other Adjustments,"Net Income Avail to Common, GAAP","Net Income Avail to Common, Adj",Net Abnormal Losses (Gains),Basic Weighted Avg Shares,"Basic EPS, GAAP",Basic EPS from Cont Ops,"Basic EPS from Cont Ops, Adjusted",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",Diluted EPS from Cont Ops,"Diluted EPS from Cont Ops, Adjusted",Source: Bloomberg
10/31/1989,107.388,,-94.987999,,12.400002,,-2.579,,,,,,9.821,-1.445,,1.62,,0.0,,-0.175,8.376,-3.191,,,,5.185,0.0,,,5.185,0.0,5.185,0.0,,5.185,5.185,,132.063995,0.039375,0.039375,,132.063995,0.039375,0.039375,0.039375,
01/31/1990,108.999001,,-98.518997,,10.480003,,-3.08,,,,,,7.4,-0.732,,1.434,,0.0,,-0.702,6.668,-2.407,,,,4.261,0.0,,,4.261,0.0,4.261,0.0,,4.261,4.261,,132.063995,0.031875,0.031875,,132.063995,0.031875,0.031875,0.031875,
04/30/1990,107.405998,,-100.622002,,6.783997,,-2.859,,,,,,3.925,-1.173,,1.228,,0.0,,-0.055,2.752,-0.894,,,,1.858,0.0,,,1.858,0.0,1.858,0.0,,1.858,1.858,,132.063995,0.014375,0.014375,,132.063995,0.014375,0.014375,0.014375,
07/31/1990,115.088997,,-90.238998,,24.849998,,-4.224,,,,,,20.625999,-1.02,,1.115,,0.0,,-0.095,19.605999,-6.955,,,,12.651,0.0,,,12.651,0.0,12.651,0.0,,12.651,12.651,,132.063995,0.095625,0.095625,,132.063995,0.095625,0.095625,0.095625,
10/31/1990,137.270004,,-129.751007,,7.518997,,-2.649,,,,,,4.87,-0.571,,0.705,,0.0,,-0.134,4.299,-1.468,,,,2.831,0.0,,,2.831,0.0,2.831,0.0,,2.831,2.831,,132.063995,0.02125,0.02125,,132.063995,0.02125,0.02125,0.02125,
01/31/1991,123.431,,-116.686996,,6.744003,,-3.368,,,,,,3.376,0.68,,0.888,,0.0,,-1.568,4.056,-1.36,,,,2.696,0.0,,,2.696,0.0,2.696,0.0,,2.696,2.696,,132.063995,0.020625,0.020625,,132.063995,0.020625,0.020625,0.020625,
04/30/1991,112.327003,,-102.212997,,10.114006,,-3.523,,,,,,6.591,-0.946,,0.965,,0.0,,-0.019,5.645,-2.061,,,,3.584,0.0,,,3.584,0.0,3.584,0.0,,3.584,3.584,,132.063995,0.026875,0.026875,,132.063995,0.026875,0.026875,0.026875,
07/31/1991,116.305,,-106.689003,,9.615997,,-3.623,,,,,,5.993,-1.577,,1.75,,0.0,,-0.173,4.416,-1.793,,,,2.623,0.0,,,2.623,0.0,2.623,0.0,,2.623,2.623,,132.063995,0.02,0.02,,132.063995,0.02,0.02,0.02,
10/31/1991,117.178001,,-111.134003,,6.043999,,-3.31,,,,,,2.734,-2.084,,2.369,,0.0,,-0.285,0.65,-0.253,,,,0.397,0.0,,,0.397,0.0,0.397,0.0,,0.397,0.397,,132.063995,0.003125,0.003125,,132.063995,0.003125,0.003125,0.003125,
01/31/1992,110.008003,,-119.599998,,-9.591995,,-2.872,,,,,,-12.464,-3.068,,2.458,,0.0,,0.61,-15.532,6.05,,,,-9.482,0.0,,,-9.482,0.0,-9.482,0.0,,-9.482,-9.482,,132.063995,-0.071875,-0.071875,,132.063995,-0.071875,-0.071875,-0.071875,
04/30/1992,123.530998,,-114.207001,,9.323997,,-2.994,,,,,,6.33,-2.606,,2.63,,0.0,,-0.024,3.724,-1.451,,,,2.273,0.0,,,2.273,0.0,2.273,0.0,,2.273,2.273,,132.063995,0.016875,0.016875,,132.063995,0.016875,0.016875,0.016875,
07/31/1992,155.951004,,-139.294998,,16.656006,,-2.24,,,,,,14.416,-2.596,,2.629,,0.0,,-0.033,11.82,-2.249,,,,9.571,0.0,,,9.571,0.0,9.571,0.0,,9.571,9.571,,132.063995,0.0725,0.0725,,132.063995,0.0725,0.0725,0.0725,
10/31/1992,151.910004,,-142.095001,,9.815002,,-3.316,,,,,,6.499,-2.29,,2.35,,0.0,,-0.06,4.209,-1.653,,,,2.556,0.958,,,1.598,0.0,1.598,0.0,,1.598,1.598,,132.063995,0.011875,0.019375,,132.063995,0.011875,0.019375,0.019375,
01/31/1993,149.871002,,-141.076996,,8.794006,,-3.631,,,,,,5.163,-2.333,,2.368,,0.0,,-0.035,2.83,-0.778,,,,2.052,0.0,,,2.052,0.0,2.052,0.0,,2.052,2.052,,132.063995,0.015625,0.015625,,132.063995,0.015625,0.015625,0.015625,
04/30/1993,161.445999,,-147.811996,,13.634003,,-3.704,,,,,,9.93,-2.201,,2.421,,0.0,,-0.22,7.729,-3.036,,,,4.693,0.0,,,4.693,0.0,4.693,0.0,,4.693,4.693,,132.063995,0.035625,0.035625,,132.063995,0.035625,0.035625,0.035625,
07/31/1993,166.656998,,-145.998001,,20.658997,,-4.167,,,,,,16.492001,2.057,,2.384,,0.0,,-4.441,18.549001,-7.917,,,,10.632,0.0,,,10.632001,0.0,10.632,0.0,,10.632,10.632,,132.063995,0.080625,0.080625,,132.063995,0.080625,0.080625,0.080625,
10/31/1993,135.326996,,-115.500999,,19.825996,,-3.96,,,,,,15.866,-2.031,,2.29,,0.0,,-0.259,13.835,-5.562,,,,8.273,0.0,,,8.273,0.0,8.273,0.0,,8.273,8.273,,132.063995,0.0625,0.0625,,132.063995,0.0625,0.0625,0.0625,
01/31/1994,120.583,,-107.416,,13.167,,-3.934,,,,,,9.233,-2.099,,2.26,,0.0,,-0.161,7.134,-2.868,,,,4.266,0.0,,,4.266,0.0,4.266,0.0,,4.266,4.266,,132.063995,0.0325,0.0325,,132.063995,0.0325,0.0325,0.0325,
