Date,Last Price,Period-over-Period % Change,Open Price,High Price,Low Price,Market Capitalization,Current Shares Outstanding,Equity Float,Market Cap (Listed Shares),Listed Shares Outstanding,Source: Bloomberg
12/31/1982,4.703125,27.813163,3.664062,5.0625,3.601562,,,,,,
03/31/1983,5.828125,23.920266,4.6875,5.96875,4.375,,,,,,
06/30/1983,6.015625,3.217158,5.78125,6.734375,5.40625,,,,,,
09/30/1983,6.234375,3.636364,5.984375,6.3125,4.9375,,,,,,
12/31/1983,5.28125,-15.288221,6.234375,6.328125,5.0625,,,,,,
03/31/1984,4.65625,-11.83432,5.25,5.65625,4.25,,,,,,
06/30/1984,5.3125,14.09396,4.6875,5.625,4.5,,,,,,
09/30/1984,5.609375,5.588235,5.328125,6.09375,4.859375,,,,,,
12/31/1984,5.34375,-4.735376,5.625,5.625,4.703125,,,,,,
03/31/1985,5.484375,2.631579,5.40625,5.9375,5.03125,,,,,,
06/30/1985,6.15625,12.250712,5.515625,6.5,5.453125,,,,,,
09/30/1985,5.34375,-13.19797,6.15625,6.3125,5.203125,,,,,,
12/31/1985,6.0,12.280702,5.3125,6.171875,4.96875,,,,,,
03/31/1986,7.46875,24.479167,6.0,7.75,5.8125,,,,,,
06/30/1986,7.46875,0.0,7.46875,7.875,6.5625,,,,,,
09/30/1986,6.75,-9.623431,7.484375,7.65625,6.5625,,,,,,
12/31/1986,6.828125,1.157407,6.734375,8.0,6.703125,,,,,,
03/31/1987,8.0625,18.077803,6.875,9.34375,6.84375,,,,,,
06/30/1987,8.578125,6.395349,7.96875,8.96875,7.3125,,,,,,
09/30/1987,9.8125,14.3898,8.515625,10.5625,8.34375,,,,,,
12/31/1987,6.03125,-38.535032,9.78125,9.96875,5.375,,,,,,
03/31/1988,6.734375,11.658031,6.109375,7.75,5.84375,,409.772003,,,,
06/30/1988,7.21875,7.192575,6.703125,7.765625,5.953125,,409.772003,,,,
09/30/1988,8.6875,20.34632,7.125,8.9375,6.84375,,409.772003,,,,
12/31/1988,7.78125,-10.431655,8.625,9.5,7.15625,,409.772003,,,,
03/31/1989,8.4375,8.433735,7.78125,8.84375,7.765625,,409.772003,,,,
06/30/1989,8.703125,3.148148,8.46875,10.28125,8.453125,,388.243195,,,,
09/30/1989,9.234375,6.104129,8.71875,10.765625,8.578125,,388.243195,,,,
12/31/1989,7.09375,-23.181049,9.234375,9.5625,6.6875,,388.243195,,,,
03/31/1990,6.609375,-6.828194,7.125,7.640625,6.078125,2586.539211,389.447205,,,,
06/30/1990,7.03125,6.382979,6.5625,7.171875,6.484375,2752.087426,391.343994,,,,
09/30/1990,5.5,-21.777778,7.03125,7.1875,5.171875,2152.832062,391.40799,,,,
12/31/1990,6.578125,19.602273,5.5,6.6875,4.984375,2574.802373,391.424011,,,,
03/31/1991,7.3125,11.163895,6.5625,7.46875,6.21875,2868.196461,391.419189,,,,
06/30/1991,7.421875,1.495726,7.34375,8.09375,7.25,2912.165678,392.231995,,,,
09/30/1991,6.421875,-13.473684,7.46875,7.71875,6.34375,2519.892364,392.376007,,,,
12/31/1991,7.171875,11.678832,6.4375,7.28125,6.265625,2813.95808,392.391998,,,,
03/31/1992,7.75,8.061002,7.15625,7.921875,7.0625,3045.005936,392.359985,,,,
06/30/1992,7.234375,-6.653226,7.71875,8.3125,7.1875,2842.646409,392.359985,,,,
09/30/1992,7.328125,1.295896,7.234375,7.421875,6.625,2879.308157,392.903992,,,,
12/31/1992,7.671875,4.690832,7.359375,7.90625,7.1875,3015.599189,392.936005,,,,
03/31/1993,7.9375,3.462322,7.640625,7.984375,7.0625,3119.755068,393.071991,,,,
06/30/1993,7.375,-7.086614,7.9375,8.046875,6.90625,2901.507484,393.040009,,,,
09/30/1993,8.46875,14.830508,7.375,8.734375,7.296875,3343.715932,393.424805,,,,
12/31/1993,8.453125,-0.184502,8.46875,9.40625,8.21875,3341.621818,394.82959,,,,
03/31/1994,8.171875,-3.327172,8.4375,9.125,8.0625,3237.500708,394.82959,,,,
06/30/1994,8.3125,1.720841,8.046875,8.734375,7.8125,3295.40752,396.175995,,,,
09/30/1994,9.15625,10.150376,8.328125,9.65625,8.296875,3637.594989,396.440002,,,,
12/31/1994,8.359375,-8.703072,9.1875,9.34375,7.984375,3321.815067,397.279999,,,,
03/31/1995,8.96875,7.28972,8.359375,9.171875,7.953125,3575.732895,397.279999,,,,
06/30/1995,9.484375,5.749129,8.96875,9.703125,8.90625,3788.514606,398.687988,,,,
09/30/1995,10.21875,7.742998,9.5,10.59375,9.421875,4089.543875,399.447998,,,,
12/31/1995,10.890625,6.574924,10.25,10.953125,9.875,4362.522913,400.200012,,,,
03/31/1996,10.84375,-0.430416,10.828125,11.546875,10.671875,4359.621343,400.200012,,,,
06/30/1996,11.4375,5.475504,10.875,12.3125,10.515625,4547.55007,402.040009,,,,
09/30/1996,10.65625,-6.830601,11.40625,11.46875,9.3125,4241.1875,397.600006,,,,
12/31/1996,11.53125,8.211144,10.6875,12.0625,10.625,4590.867283,398.0,,,,
03/31/1997,12.78125,10.840108,11.59375,13.28125,11.21875,5112.5,398.123993,,,,
06/30/1997,14.703125,15.036675,12.75,15.71875,12.46875,5816.55634,400.0,,,,
09/30/1997,16.921875,15.090329,14.796875,17.40625,14.75,6701.0625,395.600006,,,,
12/31/1997,18.5,9.325946,16.9375,18.84375,15.78125,7333.547778,396.0,,,,
03/31/1998,19.015625,2.787162,18.375,19.5,17.125,7568.21875,396.40799,,,,
06/30/1998,20.375,7.148726,19.0,20.75,18.1875,8092.950249,398.0,,,,
09/30/1998,19.8125,-2.760736,20.453125,21.75,18.515625,7798.200121,397.200012,,,,
12/31/1998,25.46875,28.548896,19.828125,25.828125,18.0625,10040.392475,393.600006,,,,
03/31/1999,27.25,6.993865,25.46875,29.5625,24.4375,10780.100166,394.223999,,,,
06/30/1999,26.96875,-1.03211,27.125,30.375,25.21875,10614.900165,395.600006,,,,
09/30/1999,24.1875,-10.312862,26.84375,27.0625,23.5625,9486.337795,393.600006,,,,
12/31/1999,30.8125,27.390181,24.75,31.5625,24.5,12060.567102,392.200012,,,,
03/31/2000,22.75,-26.166329,30.5,30.84375,21.75,8849.75,391.417999,,,,
06/30/2000,27.0,18.681319,22.4375,29.9375,20.9375,10513.799835,389.0,,,,
09/30/2000,31.78125,17.708333,27.3125,33.84375,27.125,12420.112112,389.399994,,,,
12/31/2000,29.3125,-7.767945,31.9375,33.0,26.0,,390.799988,,,,
03/31/2001,29.825,1.748401,29.25,32.37,27.045,11643.679818,389.830597,,,,
06/30/2001,33.075,10.896899,29.525,35.435,28.92,12879.404798,390.399994,,,,
09/30/2001,29.1,-12.018141,33.1,33.975,25.275,11250.060178,389.399994,,,,
12/31/2001,30.49,4.776632,29.0,30.9,24.35,11782.433781,386.600006,,,,
03/31/2002,34.125,11.921942,30.26,34.85,29.44,13260.975205,387.21521,,,,
06/30/2002,29.85,-12.527473,34.025,34.365,28.15,11551.95,388.600006,,,,
09/30/2002,30.61,2.546064,29.8,32.99,25.355,11864.436,387.0,,,,
12/31/2002,30.22,-1.274093,30.655,33.15,27.755,11594.386097,387.600006,,,,
03/31/2003,27.795,-8.024487,30.32,31.29,25.87,10601.01283,381.944,,,,
06/30/2003,31.0,11.530851,27.875,33.075,27.73,11854.399811,381.399994,,,,
09/30/2003,31.065,0.209677,31.0,32.255,29.3,11904.108379,382.399994,,,,
12/31/2003,34.96,12.538226,31.03,35.0,30.995,13312.502724,383.200012,381.2598,,,
03/31/2004,38.07,8.895881,35.0,40.185,34.55,14504.67,382.789398,380.884,,,
06/30/2004,38.285,0.564749,37.975,40.67,37.825,14548.3,381.0,378.9704,,,
09/30/2004,39.845,4.074703,38.2,39.885,36.415,15133.130522,380.0,377.9526,,,
12/31/2004,45.77,14.870122,39.925,46.055,39.425,17375.524037,379.799988,377.504,,,
03/31/2005,43.625,-4.686476,45.75,47.995,42.81,16341.925,380.566406,378.373,,,
06/30/2005,44.25,1.432665,43.475,45.675,40.51,16540.65,374.600006,372.3326,,,
09/30/2005,48.04,8.564972,44.75,48.75,43.01,18010.196,373.799988,371.3142,,,
12/31/2005,51.63,7.472939,48.09,53.97,45.6,19242.403368,374.899994,372.362,,,
03/31/2006,57.62,11.601782,51.71,59.57,46.37,20616.436,367.182007,364.4807,,,
06/30/2006,50.23,-12.825408,57.62,58.75,47.8,17675.937,357.799988,355.1335,,,
